,eventairport_conv,lat,lon
0,abbeville chris crusta memorial,29.97583333333333,-92.08416666666666
1,aberdeen municipal,42.92111111111111,-112.88083333333333
2,aberdeen regional,45.448278,-98.42275
3,abi,32.41325,-99.683111
4,abilene regional,32.41325,-99.683111
5,abraham lincoln capital,39.84417,-89.67806
6,abrams municipal,42.77417,-84.73306
7,acadiana regional,30.03777777777778,-91.88388888888889
8,accomack county,37.64666666666667,-75.76083333333334
9,ada,40.79056,-83.82917
10,adams,13.074722222222222,-59.4925
11,adams strip,13.074722222222222,-59.4925
12,addington field,37.68611,-85.925
13,addison,32.968611111111116,-96.83638888888889
14,adirondack helicopters,44.38527777777778,-74.20611111111111
15,adirondack regional,44.38527777777778,-74.20611111111111
16,aero country,33.20861111111111,-96.74194444444444
17,afton municipal,42.70888888888889,-110.94222222222223
18,aiken municipal,33.64944,-81.685
19,ainsworth regional,42.57916666666667,-99.99305555555556
20,air harbor,33.43416666666666,-112.01166666666667
21,air logistics sabine,52.36666666666667,13.503333333333334
22,air logistics venice n,50.03333333333333,8.570555555555556
23,air park south,37.059444444444445,-93.23416666666667
24,airlake,44.62777777777778,-93.22805555555556
25,airpark east,32.81389,-96.35222
26,aitkin municipal steve kurtz field,46.54833,-93.67667
27,akhiok,56.93861111111111,-154.1825
28,akiak,60.90278,-161.23056
29,akron,43.02111111111111,-78.4825
30,akron canton regional,40.915,-81.44366666666667
31,akron fulton international,41.0375,-81.46694444444445
32,akron municipal,40.915,-81.44366666666667
33,alakanuk,62.683055555555555,-164.72219444444445
34,alameda,35.198,-106.658
35,alamogordo white sands regional,32.84,-105.99055555555556
36,alamosa municipal,37.30305555555555,-108.62805555555555
37,albany,42.74917,-73.80194
38,albany international,42.74917,-73.80194
39,albert j ellis,34.82916666666667,-77.61222222222221
40,albert lea municipal,43.68111,-93.36806
41,albertville regional thomas j brumlik field,34.22917,-86.25583
42,albuquerque international sunport,35.039333,-106.610778
43,albuquerque municipal,35.039333,-106.610778
44,alexander field south wood county,44.36028,-89.83889
45,alexander municipal,44.67666666666666,-74.94833333333334
46,algona municipal,43.07778,-94.27194
47,alice international,27.740833333333335,-98.02694444444444
48,allegheny county,40.35416666666667,-79.93
49,allen,26.175833333333333,-98.23861111111111
50,allen county,37.86833,-95.38694
51,allen parish,30.750555555555554,-92.68861111111111
52,allentown municipal,40.57028,-75.48833
53,allentown queen city municipal,40.57028,-75.48833
54,alpena county regional,45.07805555555556,-83.56027777777777
55,altoona blair county,40.296388888888885,-78.32
56,altoona municipal,40.315555555555555,-78.83472222222221
57,altus quartz mountain regional,34.69880555555555,-99.33847222222222
58,alva regional,36.77361111111111,-98.67027777777778
59,amarillo municipal,35.21944444444445,-101.70583333333333
60,ambler,67.106639,-157.857111
61,american falls municipal,43.10722222222223,-78.94611111111111
62,amery municipal,45.28111111111111,-92.37527777777777
63,ames municipal,41.99194,-93.62167
64,anaktuvuk pass,68.13361111111112,-151.7433333333333
65,anderson municipal darlington field,40.10861111111111,-85.61305555555555
66,anderson regional,34.49472222222222,-82.7088888888889
67,angel fire,36.42200027777778,-105.289905
68,angel fire municipal,33.8720139,-117.9797833
69,angelina county,31.23389,-94.75
70,aniak,61.58166666666667,-159.54305555555555
71,aniak municipal,61.174166666666665,-149.9983333333333
