,d2v_cos_sim_replace,d2v_num_comp_replace,d2v_cos_sim_other_tracon_replace,d2v_num_comp_other_tracon_replace,d2v_cos_sim,d2v_num_comp,d2v_cos_sim_other_tracon,d2v_num_comp_other_tracon
08A 1996/7,,0.0,2.7350579960186637e-05,2968.0,,0.0,3.0140067462265825e-05,2968.0
13KK 1997/5,,0.0,1.5727076561843132e-05,2768.0,,0.0,1.4944791738060268e-05,2768.0
1B9 1993/3,,0.0,1.6383289962198453e-05,2332.0,,0.0,1.549336013283731e-05,2332.0
2DT 1991/12,,0.0,3.7016672514458493e-06,2353.0,,0.0,4.194137625597558e-06,2353.0
73J 1989/3,,0.0,1.1637076062131495e-07,3007.0,,0.0,1.4404612434227997e-07,3007.0
A11 1999/12,0.4960677297491776,20.0,3.8912083724012006e-05,2201.0,0.5036118356805098,20.0,3.9503851468652934e-05,2201.0
A11 1999/2,0.5042330423990885,16.0,1.5260797948384088e-05,2816.0,0.510936419169108,16.0,1.546367810469521e-05,2816.0
A11 1999/3,0.5366020621834221,14.0,1.4012507936952309e-05,2640.0,0.4952654995761075,14.0,1.2933069462071218e-05,2640.0
A11 1999/4,0.5393104916527158,15.0,1.717386817611896e-05,2568.0,0.5088421049572173,15.0,1.6203629204790996e-05,2568.0
A11 1999/5,0.48709869384765625,16.0,1.8220396650270516e-05,2533.0,0.4679515838623047,16.0,1.750418052601096e-05,2533.0
A11 1999/7,0.5027730305989583,16.0,2.183121752651116e-05,2351.0,0.5003175099690755,16.0,2.1724594852363453e-05,2351.0
A11 1999/8,0.5002797444661459,16.0,2.2579044273033168e-05,2306.0,0.5066853841145833,16.0,2.28681489645963e-05,2306.0
A11 1999/9,0.4712890425538705,18.0,2.8974078235732624e-05,2231.0,0.4821501588509753,18.0,2.964180187219662e-05,2231.0
A11 2000/1,0.500729429955576,18.0,3.186011070884586e-05,2193.0,0.5251369600981669,18.0,3.3413098342389645e-05,2193.0
A11 2000/11,0.47415539134632456,11.0,7.455246807736637e-06,2645.0,0.4767534776167436,11.0,7.496097074816313e-06,2645.0
A11 2000/12,0.500525850238222,12.0,8.409191598197859e-06,2803.0,0.44730325178666547,12.0,7.515013949790537e-06,2803.0
A11 2000/2,0.49692630767822266,17.0,2.4186105830348017e-05,2364.0,0.5282999487484202,17.0,2.571310528979001e-05,2364.0
A11 2000/4,0.4891876220703125,15.0,1.842904286185988e-05,2361.0,0.5235323951357886,15.0,1.9722904902411546e-05,2361.0
A11 2000/5,0.49529942103794644,15.0,1.8285647705210106e-05,2385.0,0.5238343738374256,15.0,1.933911167470685e-05,2385.0
A11 2000/6,0.5108385330591446,13.0,1.3732026961511352e-05,2409.0,0.5360351953751001,13.0,1.4409347139750017e-05,2409.0
A11 2000/7,0.4678131797096946,11.0,7.951167899074776e-06,2544.0,0.49848147305575286,11.0,8.472420313818433e-06,2544.0
A11 2000/8,0.4969175066266741,15.0,1.541306492073465e-05,2602.0,0.5005809602283297,15.0,1.552669554844131e-05,2602.0
A11 2000/9,0.510537118622751,12.0,9.984422739201163e-06,2598.0,0.5084820371685606,12.0,9.944232121802997e-06,2598.0
A11 2001/1,0.5241447795521129,12.0,8.547924042843815e-06,2845.0,0.4550508441347064,12.0,7.421117605367076e-06,2845.0
A11 2001/11,0.640785026550293,6.0,4.495029442969218e-06,2068.0,0.5641962687174479,6.0,3.957768572014617e-06,2068.0
A11 2001/12,0.55819091796875,5.0,3.1653488913655794e-06,1878.0,0.6201765060424804,5.0,3.5168523038607477e-06,1878.0
A11 2001/5,0.6026315477159289,10.0,7.401467919772036e-06,2707.0,0.5367977142333984,10.0,6.592902539477255e-06,2707.0
A11 2001/8,0.5909756342569987,6.0,3.4588998309127115e-06,2264.0,0.5576801935831706,6.0,3.2640261551787537e-06,2264.0
A11 2002/1,0.502957820892334,4.0,1.8341643430880022e-06,1814.0,0.6590603192647299,4.0,2.4034320321232864e-06,1814.0
A11 2002/12,0.48791817256382536,8.0,3.3334375610163248e-06,2863.0,0.5009867804391044,8.0,3.4227217705646998e-06,2863.0
A11 2002/3,0.4819403489430745,3.0,7.60458144288875e-07,1950.0,0.7634633382161459,3.0,1.2046758788420448e-06,1950.0
A11 2002/8,0.5275028228759766,6.0,2.5019006733008385e-06,2515.0,0.5983330408732096,6.0,2.8378423259561976e-06,2515.0
A11 2002/9,0.4793581485748291,5.0,1.4425281070020453e-06,2578.0,0.5422735214233398,5.0,1.6318587650211458e-06,2578.0
A11 2003/10,0.5493662697928292,7.0,5.803112278485111e-06,1994.0,0.47622249239966985,7.0,5.030473738363066e-06,1994.0
A11 2003/11,0.5146827061971029,6.0,4.410758254249175e-06,1871.0,0.4427824020385742,6.0,3.794582781027025e-06,1871.0
A11 2003/12,0.5006655375162761,6.0,4.708754454983416e-06,1786.0,0.38257109324137367,6.0,3.5980773683461925e-06,1786.0
A11 2003/6,0.5123728665438565,11.0,9.223205290814438e-06,2472.0,0.5159290660511363,11.0,9.287220308494786e-06,2472.0
A11 2003/7,0.4549666510687934,10.0,8.72780770307152e-06,2166.0,0.46769464280870227,10.0,8.971973872374795e-06,2166.0
A11 2003/8,0.47230709923638237,9.0,7.845046453942518e-06,2082.0,0.45409170786539715,9.0,7.542487818442095e-06,2082.0
A11 2004/1,0.3896064758300781,4.0,1.868075628779257e-06,1582.0,0.17462430397669473,4.0,8.372843540559554e-07,1582.0
A11 2004/12,0.3047926425933838,3.0,2.2984021591529875e-06,892.0,0.30341196060180664,3.0,2.2879906136394757e-06,892.0
A11 2004/3,0.36665940284729004,3.0,1.0803541161981882e-06,1427.0,0.12441563606262207,3.0,3.665880200968176e-07,1427.0
A11 2004/5,0.4620242516199748,3.0,1.7572629149001028e-06,1256.0,0.12468099594116211,3.0,4.742116665781146e-07,1256.0
A11 2004/7,0.4603012800216675,2.0,7.677926315492463e-07,1095.0,0.024705052375793457,2.0,4.1208569255509196e-08,1095.0
A11 2005/11,0.501978232643821,11.0,2.2007322909819595e-05,1584.0,0.4614267175847834,11.0,2.0229496246527048e-05,1584.0
A11 2005/4,0.46845141324129974,11.0,4.9625954226461675e-05,1019.0,0.5214909640225497,11.0,5.52447617374694e-05,1019.0
A11 2006/1,0.524312314120206,11.0,2.0410202615586617e-05,1681.0,0.4920282537286932,11.0,1.9153462699129988e-05,1681.0
A11 2006/10,0.464869635445731,8.0,1.3769361763946282e-05,1375.0,0.412569488797869,8.0,1.2220240064888946e-05,1375.0
A11 2006/12,0.4368651072184245,6.0,7.766946455852957e-06,1299.0,0.4096970240275065,6.0,7.283929973269659e-06,1299.0
A11 2006/2,0.523306401570638,6.0,5.4258611395790425e-06,1701.0,0.3720911661783854,6.0,3.857997901207459e-06,1701.0
A11 2006/4,0.4807673772176107,6.0,4.785824886295207e-06,1736.0,0.3720438003540039,6.0,3.703530153877537e-06,1736.0
A11 2006/7,0.4335129601614816,8.0,1.0521425025838163e-05,1519.0,0.37434468950544086,8.0,9.08540215956874e-06,1519.0
A11 2007/2,0.3943183422088623,5.0,4.3724509836322066e-06,1343.0,0.38878698348999025,5.0,4.31111578239436e-06,1343.0
A11 2007/3,0.4052589734395345,4.0,2.749227023163782e-06,1330.0,0.3425622781117757,4.0,2.3239003546505223e-06,1330.0
A11 2007/5,0.598420778910319,3.0,1.8936078048813737e-06,1377.0,0.46874109903971356,3.0,1.4832569905519515e-06,1377.0
A11 2007/6,0.5404844284057617,4.0,3.309088337178133e-06,1400.0,0.46669896443684894,4.0,2.857340598592953e-06,1400.0
A11 2007/7,0.38528919219970703,4.0,2.286487755403081e-06,1422.0,0.47198907534281415,4.0,2.8010057466028954e-06,1422.0
A11 2007/9,0.31948461532592776,6.0,4.429409767065987e-06,1471.0,0.42476876576741535,6.0,5.889093964400555e-06,1471.0
A11 2008/11,0.4686929702758789,5.0,7.212880428991673e-06,1140.0,0.4498410224914551,5.0,6.922761195621039e-06,1140.0
A11 2008/12,0.5166014035542806,4.0,4.663137411173963e-06,1153.0,0.49077415466308594,4.0,4.430006007148312e-06,1153.0
A11 2008/6,0.3963507218794389,11.0,2.840074457110435e-05,1239.0,0.3856998790394176,11.0,2.7637552150179653e-05,1239.0
A11 2008/7,0.3911807590060764,10.0,2.2640555977841206e-05,1247.0,0.3742193857828776,10.0,2.1658874463401167e-05,1247.0
A11 2008/8,0.45707266671316965,7.0,1.2627238638149144e-05,1233.0,0.46469979059128536,7.0,1.2837948051215252e-05,1233.0
A11 2009/1,0.33730562527974445,3.0,1.4584255145108446e-06,1178.0,0.3769410451253255,3.0,1.629799198341952e-06,1178.0
A11 2009/6,0.31936105092366535,3.0,1.116581962322704e-06,1310.0,0.4916478792826335,3.0,1.7189483571445724e-06,1310.0
A11 2010/1,0.3262492815653483,6.0,5.354481661487939e-06,1352.0,0.4461598078409831,6.0,7.322482053340598e-06,1352.0
A11 2010/11,0.522635555267334,5.0,5.340642634735359e-06,1399.0,0.6149749755859375,5.0,6.284229116845306e-06,1399.0
A11 2010/4,0.39924227396647133,6.0,7.739573243526574e-06,1244.0,0.4932017644246419,6.0,9.56103957047801e-06,1244.0
A11 2010/7,0.5724495569864909,6.0,1.1369849407950874e-05,1229.0,0.6610759099324545,6.0,1.313012378369869e-05,1229.0
A11 2010/9,0.5311112403869629,5.0,6.19920781598352e-06,1309.0,0.6141830444335937,5.0,7.1688340218957055e-06,1309.0
A11 2011/11,0.4280402660369873,4.0,2.970396097930488e-06,1315.0,0.36581023534138996,4.0,2.538549248418615e-06,1315.0
A11 2011/3,0.5695791244506836,5.0,5.947190898153584e-06,1384.0,0.6106361389160156,5.0,6.375882702771723e-06,1384.0
A11 2011/4,0.5269805590311686,4.0,3.359445632970756e-06,1372.0,0.5538180669148763,4.0,3.53053192280561e-06,1372.0
A11 2011/5,0.4532039960225423,4.0,2.8392445205060874e-06,1384.0,0.39512793223063153,4.0,2.475408042141181e-06,1384.0
A11 2011/6,0.4613304138183594,5.0,4.437226130858853e-06,1442.0,0.4278271198272705,5.0,4.114980540465936e-06,1442.0
A11 2012/1,0.5298106670379639,3.0,2.008679587193809e-06,1258.0,0.4976650873819987,3.0,1.8868055410662648e-06,1258.0
A11 2012/5,0.8993123769760132,2.0,1.0512961602745901e-06,1308.0,0.8862433433532715,2.0,1.0360184600918266e-06,1308.0
A11 2012/6,,1.0,7.466336716595057e-07,1252.0,,1.0,9.047976437580063e-07,1252.0
A11 2013/6,0.39416925112406415,4.0,4.185982990231386e-06,1063.0,0.49286993344624835,4.0,5.234160584365572e-06,1063.0
A11 2014/4,0.2308253526687622,5.0,2.6375081789624945e-06,1323.0,0.5067896366119384,5.0,5.79079289221556e-06,1323.0
A11 2014/6,0.3220887978871663,3.0,1.1667284206134009e-06,1287.0,0.40957148869832355,3.0,1.4836240790487756e-06,1287.0
A11 2014/9,0.2535731792449951,3.0,8.410271143129424e-07,1345.0,0.3634171485900879,3.0,1.2053470192731043e-06,1345.0
A11 2015/11,0.47243165969848633,5.0,6.890570799713345e-06,1171.0,0.599903678894043,5.0,8.749792033552715e-06,1171.0
A11 2015/4,0.5177313486735026,6.0,7.024311782683765e-06,1487.0,0.5076554616292318,6.0,6.8876073465560315e-06,1487.0
A11 2015/6,0.5498621463775635,5.0,5.138012617240891e-06,1463.0,0.5778037071228027,5.0,5.39910367906471e-06,1463.0
A11 2015/7,0.5638618469238281,5.0,5.803328539856488e-06,1394.0,0.6508090972900391,5.0,6.698199264423252e-06,1394.0
A11 2016/10,0.33250672476632254,8.0,1.0416591799764966e-05,1337.0,0.41046483176095144,8.0,1.2858821437725359e-05,1337.0
A11 2016/3,0.4744988759358724,6.0,9.378535507460794e-06,1232.0,0.5747004826863606,6.0,1.1359034038591313e-05,1232.0
A11 2016/4,0.45110650062561036,5.0,6.254938822499574e-06,1201.0,0.5514265060424804,5.0,7.645952908275584e-06,1201.0
A11 2016/7,0.3976992198399135,7.0,9.557429851893345e-06,1322.0,0.5434723354521251,7.0,1.3060620849644019e-05,1322.0
A11 2017/1,0.3544588543119885,7.0,9.856241906240307e-06,1229.0,0.42810235704694477,7.0,1.1904006178309302e-05,1229.0
A11 2017/10,0.4466897964477539,5.0,5.005219311912334e-06,1336.0,0.46066083908081057,5.0,5.161766725689458e-06,1336.0
A11 2017/12,0.4469335079193115,4.0,2.5473542071233644e-06,1451.0,0.4863155682881673,4.0,2.771817254507815e-06,1451.0
A11 2017/5,0.3419385486178928,9.0,1.4065684508734234e-05,1323.0,0.3865994347466363,9.0,1.590281558596002e-05,1323.0
A11 2017/7,0.402860300881522,8.0,1.4232822707082625e-05,1259.0,0.3825704370226179,8.0,1.351599348756726e-05,1259.0
A11 2017/8,0.38576089768182664,7.0,1.043593605646365e-05,1246.0,0.41432348887125653,7.0,1.1208635874021764e-05,1246.0
A11 2017/9,0.4190244674682617,6.0,7.280645862754142e-06,1314.0,0.4675931930541992,6.0,8.124538566998868e-06,1314.0
A11 2018/4,0.20998469988505045,3.0,6.230741152742926e-07,1422.0,0.2341076135635376,3.0,6.946524879190111e-07,1422.0
A11 2018/5,0.5770740509033203,2.0,5.65193402976062e-07,1429.0,0.2631429433822632,2.0,2.5772542606369137e-07,1429.0
A11 2019/3,0.5808993021647135,6.0,9.042594769091798e-05,439.0,0.7083447138468425,6.0,0.00011026479426427464,439.0
A11 2019/5,0.671967887878418,5.0,0.0001857265344255657,269.0,0.7229044914245606,5.0,0.0001998050030885589,269.0
A11 2019/6,0.7066836357116699,2.0,6.540641729942801e-05,147.0,0.8842155933380127,2.0,8.183771514998498e-05,147.0
A11 2019/7,,0.0,0.0009787861990466341,38.0,,0.0,0.0012246753370332587,38.0
A80 2001/10,0.48621590427620703,28.0,8.079216483430241e-05,2133.0,0.5009122979704035,28.0,8.323419408790908e-05,2133.0
A80 2001/11,0.5064773324819711,26.0,7.848984387237579e-05,2048.0,0.5222113506610577,26.0,8.092817733995616e-05,2048.0
A80 2001/12,0.5164486238326149,30.0,0.00013085657182701203,1853.0,0.5443168903219289,30.0,0.00013791776948979284,1853.0
A80 2001/4,0.5306955973307291,40.0,0.00011027294099791378,2740.0,0.5228824322040264,40.0,0.00010864944779134228,2740.0
A80 2001/5,0.5242001830028886,35.0,8.67214603520581e-05,2682.0,0.5218960289193803,35.0,8.634027084950328e-05,2682.0
A80 2001/6,0.5087377438600036,30.0,6.413469986696425e-05,2627.0,0.5134006193314475,30.0,6.472253146091883e-05,2627.0
A80 2001/7,0.49115572415865383,26.0,6.008840927778902e-05,2305.0,0.5022990534855769,26.0,6.145169367086076e-05,2305.0
A80 2001/8,0.4831089241794808,28.0,7.266004106974217e-05,2242.0,0.46829219596095817,28.0,7.043159107224824e-05,2242.0
A80 2001/9,0.49017811291323504,29.0,8.291348881196424e-05,2191.0,0.46772743563346675,29.0,7.911596311585755e-05,2191.0
