,d2v_cos_sim,d2v_num_comp
08A 1996/7,,1.0
13KK 1997/5,0.7819147109985352,2.0
1B9 1993/3,0.8539309501647949,2.0
2DT 1991/12,,1.0
73J 1989/3,,1.0
A11 1999/12,,1.0
A11 1999/2,0.35535675287246704,2.0
A11 1999/3,0.6852825880050659,2.0
A11 1999/4,,1.0
A11 1999/5,0.494425892829895,2.0
A11 1999/7,0.6294581890106201,4.0
A11 1999/8,,1.0
A11 1999/9,,1.0
A11 2000/1,0.48741332689921063,3.0
A11 2000/11,0.6785318851470947,2.0
A11 2000/12,,1.0
A11 2000/2,,1.0
A11 2000/4,0.8946294784545898,2.0
A11 2000/5,0.5267274379730225,3.0
A11 2000/6,0.507056474685669,2.0
A11 2000/7,0.8858237266540527,2.0
A11 2000/8,,1.0
A11 2000/9,0.3444754679997762,3.0
A11 2001/1,,1.0
A11 2001/11,,1.0
A11 2001/12,0.8569270372390747,2.0
A11 2001/5,0.5105572541554769,3.0
A11 2001/8,0.5088322639465332,5.0
A11 2002/1,,1.0
A11 2002/12,,1.0
A11 2002/3,,1.0
A11 2002/8,,1.0
A11 2002/9,,1.0
A11 2003/10,0.47308969497680664,2.0
A11 2003/11,,1.0
A11 2003/12,,1.0
A11 2003/6,,1.0
A11 2003/7,0.9355580806732178,2.0
A11 2003/8,,1.0
A11 2004/1,0.8539133071899414,2.0
A11 2004/12,,1.0
A11 2004/3,,1.0
A11 2004/5,,1.0
A11 2004/7,,1.0
A11 2005/11,0.19129592180252075,2.0
A11 2005/4,,1.0
A11 2006/1,0.5305824875831604,2.0
A11 2006/10,,1.0
A11 2006/12,0.4495069980621338,2.0
A11 2006/2,0.6345681508382162,6.0
A11 2006/4,,1.0
A11 2006/7,,1.0
A11 2007/2,,1.0
A11 2007/3,,1.0
A11 2007/5,,1.0
A11 2007/6,,1.0
A11 2007/7,,1.0
A11 2007/9,,1.0
A11 2008/11,0.7008669376373291,2.0
A11 2008/12,,1.0
A11 2008/6,0.6084287166595459,2.0
A11 2008/7,,1.0
A11 2008/8,0.28293657302856445,3.0
A11 2009/1,0.4047677516937256,2.0
A11 2009/6,0.8646166920661926,2.0
A11 2010/1,,1.0
A11 2010/11,,1.0
A11 2010/4,0.25117021799087524,2.0
A11 2010/7,0.3443000316619873,2.0
A11 2010/9,,1.0
A11 2011/11,,1.0
A11 2011/3,,1.0
A11 2011/4,,1.0
A11 2011/5,,1.0
A11 2011/6,,1.0
A11 2012/1,,1.0
A11 2012/5,,1.0
A11 2012/6,0.8339917659759521,2.0
A11 2013/6,,1.0
A11 2014/4,,1.0
A11 2014/6,0.5616494019826254,3.0
A11 2014/9,,1.0
A11 2015/11,0.8509289026260376,2.0
A11 2015/4,,1.0
A11 2015/6,,1.0
A11 2015/7,,1.0
A11 2016/10,0.5916194915771484,2.0
A11 2016/3,,1.0
A11 2016/4,,1.0
A11 2016/7,,1.0
A11 2017/1,0.5851702690124512,2.0
A11 2017/10,,1.0
A11 2017/12,,1.0
A11 2017/5,0.4385814666748047,2.0
A11 2017/7,,1.0
A11 2017/8,,1.0
A11 2017/9,,1.0
A11 2018/4,0.9271752834320068,2.0
A11 2018/5,-0.014016807079315186,2.0
A11 2019/3,,1.0
A11 2019/5,,1.0
A11 2019/6,0.7062681516011556,3.0
A11 2019/7,0.7033305168151855,2.0
A80 2001/10,0.5399776458740234,5.0
A80 2001/11,0.2507370114326477,2.0
A80 2001/12,0.8809576034545898,2.0
A80 2001/4,0.6690500350225539,7.0
A80 2001/5,0.5472666263580322,5.0
A80 2001/6,0.6337224006652832,5.0
A80 2001/7,0.7366783142089843,5.0
A80 2001/8,0.5481047630310059,5.0
A80 2001/9,0.5771881937980652,2.0
A80 2002/1,0.3858536720275879,5.0
A80 2002/10,0.605616569519043,4.0
A80 2002/12,0.6223861694335937,6.0
A80 2002/2,0.6632623672485352,3.0
A80 2002/3,,1.0
A80 2002/7,,1.0
A80 2002/8,0.5200306120372954,7.0
A80 2002/9,0.6149652798970541,3.0
A80 2003/1,0.6306395530700684,3.0
A80 2003/10,0.6743299393426805,7.0
A80 2003/11,0.4912589073181152,5.0
A80 2003/12,0.5683187757219587,7.0
A80 2003/2,0.5978668212890625,6.0
A80 2003/3,0.5758317311604818,7.0
A80 2003/4,0.7305946350097656,3.0
A80 2003/5,0.5523919264475504,4.0
A80 2003/6,0.5631939570109049,4.0
A80 2003/7,0.5986339705330985,8.0
A80 2003/8,0.511115482875279,8.0
A80 2003/9,0.4128744125366211,6.0
A80 2004/1,0.6529465357462565,16.0
A80 2004/10,0.7272813320159912,2.0
A80 2004/11,,1.0
A80 2004/12,,1.0
A80 2004/2,0.4405044714609782,3.0
A80 2004/3,0.7145794232686361,4.0
A80 2004/4,0.21095561981201172,2.0
A80 2004/5,0.43928961753845214,5.0
A80 2004/6,0.3323017358779907,5.0
A80 2004/7,0.6089518070220947,4.0
A80 2004/8,0.6167824268341064,2.0
A80 2004/9,0.8017933368682861,2.0
A80 2005/10,0.7978778680165609,4.0
A80 2005/11,0.2519712448120117,2.0
A80 2005/12,,1.0
A80 2005/2,,1.0
A80 2005/3,,1.0
A80 2005/4,0.4589233994483948,2.0
A80 2005/5,0.3799041748046875,5.0
A80 2005/6,,1.0
A80 2005/8,0.5970598459243774,2.0
A80 2006/1,,1.0
A80 2006/10,0.49797366914295016,7.0
A80 2006/11,,1.0
A80 2006/12,0.4193269411722819,4.0
A80 2006/2,0.3793650468190511,3.0
A80 2006/3,0.49528735876083374,2.0
A80 2006/4,0.4922165870666504,3.0
A80 2006/5,0.6062437295913696,2.0
A80 2006/6,0.6531758308410645,3.0
A80 2006/7,0.640368382136027,3.0
A80 2006/8,0.6834017634391785,2.0
A80 2006/9,0.16686230897903442,2.0
A80 2007/1,,1.0
A80 2007/10,0.6441910266876221,2.0
A80 2007/11,,1.0
A80 2007/12,,1.0
A80 2007/2,0.5471715132395426,3.0
A80 2007/3,0.44827977816263836,4.0
A80 2007/4,0.4046025276184082,2.0
A80 2007/5,0.4225454330444336,2.0
A80 2007/6,0.4875851313273112,6.0
A80 2007/7,0.3815793037414551,5.0
A80 2007/8,0.6077612241109213,3.0
A80 2007/9,0.4382697423299154,6.0
A80 2008/1,0.8680529594421387,2.0
A80 2008/10,,1.0
A80 2008/11,0.33896811803181964,4.0
A80 2008/12,,1.0
A80 2008/2,0.45870052239833736,13.0
A80 2008/3,0.4123922174627131,11.0
A80 2008/4,0.4303935368855794,3.0
A80 2008/5,0.4538149833679199,5.0
A80 2008/6,0.21682226657867432,2.0
A80 2008/7,,1.0
A80 2008/8,,1.0
A80 2008/9,0.7530152797698975,2.0
A80 2009/10,0.4835651715596517,4.0
A80 2009/11,0.49739253520965576,2.0
A80 2009/2,0.6261913776397705,2.0
A80 2009/3,0.5082989374796549,6.0
A80 2009/4,,1.0
A80 2009/6,0.8075572649637858,3.0
A80 2009/7,0.3101462125778198,3.0
A80 2009/8,,1.0
A80 2009/9,0.3045126597086589,3.0
A80 2010/1,0.4691396951675415,2.0
A80 2010/11,0.5241258144378662,2.0
A80 2010/12,,1.0
A80 2010/3,0.759934663772583,2.0
A80 2010/4,0.310955286026001,2.0
A80 2010/5,,1.0
A80 2010/7,,1.0
A80 2010/9,0.3586150010426839,3.0
A80 2011/10,,1.0
A80 2011/11,0.33823922475179036,6.0
A80 2011/12,0.5888659477233886,5.0
A80 2011/2,,1.0
A80 2011/3,,1.0
A80 2011/4,,1.0
A80 2011/5,,1.0
A80 2011/6,,1.0
A80 2011/7,0.5356019735336304,2.0
A80 2011/8,,1.0
A80 2011/9,0.7402749061584473,2.0
A80 2012/10,0.3298491477966309,5.0
A80 2012/11,,1.0
A80 2012/2,0.6853389739990234,2.0
A80 2012/4,0.3228283882141113,5.0
A80 2012/6,0.5167044639587403,5.0
A80 2012/7,,1.0
A80 2012/8,0.2833976745605469,2.0
A80 2013/1,,1.0
A80 2013/10,0.6503965059916178,3.0
A80 2013/11,0.22816002368927002,2.0
A80 2013/12,,1.0
A80 2013/2,,1.0
A80 2013/3,0.36203622817993164,3.0
A80 2013/4,0.4302952289581299,4.0
A80 2013/5,0.6791770458221436,2.0
A80 2013/6,,1.0
A80 2013/7,0.5697658856709799,4.0
A80 2013/8,,1.0
A80 2013/9,,1.0
A80 2014/1,,1.0
A80 2014/10,0.4941220283508301,3.0
A80 2014/11,,1.0
A80 2014/12,0.35923965771993,3.0
A80 2014/2,,1.0
A80 2014/3,,1.0
A80 2014/4,0.6459674040476481,4.0
A80 2014/5,0.6234365701675415,2.0
A80 2014/6,0.306394100189209,2.0
A80 2014/7,0.3654402494430542,2.0
A80 2014/8,0.28785447279612225,4.0
A80 2014/9,0.4001798152923584,5.0
A80 2015/1,0.6348762512207031,2.0
A80 2015/10,0.49198492368062335,3.0
A80 2015/11,0.4838743209838867,8.0
A80 2015/12,0.503335158030192,3.0
A80 2015/2,,1.0
A80 2015/3,0.46434266226632254,8.0
A80 2015/4,0.43947045008341473,4.0
A80 2015/5,,1.0
A80 2015/6,0.6181756337483724,6.0
A80 2015/7,0.4166084925333659,7.0
A80 2015/8,0.5679071744283041,4.0
A80 2015/9,0.2922751188278198,5.0
A80 2016/1,,1.0
A80 2016/10,,1.0
A80 2016/11,0.5193610872541156,8.0
A80 2016/12,0.5128363305395776,14.0
A80 2016/2,,1.0
A80 2016/3,0.6723425388336182,2.0
A80 2016/5,0.17773103713989258,2.0
A80 2016/6,0.5604343414306641,4.0
A80 2016/7,0.43644213676452637,2.0
A80 2016/9,,1.0
A80 2017/1,0.517115592956543,4.0
A80 2017/10,0.4650634129842122,3.0
A80 2017/3,0.41801023483276367,2.0
A80 2017/4,,1.0
A80 2017/5,0.5511772632598877,2.0
A80 2017/6,,1.0
A80 2017/7,0.5355706214904785,2.0
A80 2017/8,0.30032821496327716,3.0
A80 2017/9,0.5020622412363688,3.0
A80 2018/10,,1.0
A80 2018/11,,1.0
A80 2018/12,,1.0
A80 2018/2,0.6097551584243774,2.0
A80 2018/4,0.7723507881164551,2.0
A80 2018/5,0.598355213801066,3.0
A80 2018/6,0.4875168800354004,3.0
A80 2018/7,,1.0
A80 2018/8,,1.0
A80 2018/9,0.22730094194412231,2.0
A80 2019/1,0.6316627661387125,4.0
A80 2019/2,0.24638315041859946,3.0
A80 2019/3,0.6863082647323608,2.0
A80 2019/4,,1.0
A80 2019/6,,1.0
A80 2019/7,0.7121100425720215,3.0
A90 1999/1,,1.0
A90 1999/10,0.5799792607625326,6.0
A90 1999/11,0.5986598786853609,7.0
A90 1999/12,0.8206480344136556,3.0
A90 1999/2,0.567333459854126,3.0
A90 1999/3,0.9320015907287598,2.0
A90 1999/4,,1.0
A90 1999/5,0.46549304326375324,4.0
A90 1999/6,0.43172967433929443,2.0
A90 1999/7,0.7672998110453287,4.0
A90 1999/8,0.4631940841674805,5.0
A90 1999/9,0.6102643013000488,4.0
A90 2000/1,,1.0
A90 2000/10,,1.0
A90 2000/11,0.5861783027648926,3.0
A90 2000/12,0.518430233001709,2.0
A90 2000/2,0.5067633390426636,2.0
A90 2000/4,,1.0
A90 2000/5,0.5456709861755371,3.0
A90 2000/6,0.4408987760543823,2.0
A90 2000/7,0.6251641909281412,3.0
A90 2000/9,,1.0
A90 2001/1,0.7072849273681641,2.0
A90 2001/10,0.5066943963368734,3.0
A90 2001/11,0.43103909492492676,2.0
A90 2001/12,0.8165106773376465,2.0
A90 2001/2,0.5252962748209635,6.0
A90 2001/3,0.5443047205607097,6.0
A90 2001/4,,1.0
A90 2001/5,0.5352806091308594,5.0
A90 2001/6,0.742287794748942,3.0
A90 2001/7,,1.0
A90 2001/8,0.5055786768595377,3.0
A90 2001/9,0.21694636344909668,2.0
A90 2002/1,,1.0
A90 2002/11,0.2928684949874878,2.0
A90 2002/12,,1.0
A90 2002/2,0.6191679000854492,6.0
A90 2002/3,0.6225738525390625,4.0
A90 2002/4,0.7128942807515463,3.0
A90 2002/5,0.8802301088968912,3.0
A90 2002/6,0.8127399682998657,2.0
A90 2002/7,0.5542632102966308,5.0
A90 2002/8,0.6940872669219971,2.0
A90 2002/9,,1.0
A90 2003/10,0.343042532602946,3.0
A90 2003/12,,1.0
A90 2003/2,0.6488520940144856,6.0
A90 2003/3,,1.0
A90 2003/6,0.7891685962677002,2.0
A90 2003/7,0.9162286520004272,2.0
A90 2003/8,0.524941086769104,2.0
A90 2004/1,0.8525694012641907,2.0
A90 2004/11,0.527440071105957,3.0
A90 2004/3,0.5826882521311442,4.0
A90 2004/5,,1.0
A90 2004/6,0.13189148902893066,2.0
A90 2004/7,0.6438637971878052,2.0
A90 2004/8,0.7916557788848877,2.0
A90 2004/9,0.6236886183420817,4.0
A90 2005/3,,1.0
A90 2005/4,,1.0
A90 2005/6,,1.0
A90 2005/8,0.5393314361572266,2.0
A90 2005/9,,1.0
A90 2006/10,,1.0
A90 2006/11,0.4335172772407532,2.0
A90 2006/12,,1.0
A90 2006/2,0.6984838843345642,2.0
A90 2006/6,0.5879654884338379,2.0
A90 2006/7,0.4890316009521484,6.0
A90 2006/8,0.7309802770614624,2.0
A90 2006/9,,1.0
A90 2007/12,0.45576345920562744,2.0
A90 2007/2,0.6257792711257935,2.0
A90 2007/6,,1.0
A90 2008/10,,1.0
A90 2008/12,,1.0
A90 2008/2,0.4611865282058716,3.0
A90 2008/4,,1.0
A90 2008/5,,1.0
A90 2009/11,0.04821193218231201,2.0
A90 2009/6,0.554548422495524,4.0
A90 2009/7,,1.0
A90 2009/9,,1.0
A90 2010/11,0.5734209418296814,2.0
A90 2010/2,,1.0
A90 2010/3,0.553106689453125,6.0
A90 2010/4,,1.0
A90 2010/5,,1.0
A90 2010/6,,1.0
A90 2010/7,,1.0
A90 2010/8,,1.0
A90 2010/9,,1.0
A90 2011/1,,1.0
A90 2011/10,,1.0
A90 2011/12,0.5829117298126221,2.0
A90 2011/3,,1.0
A90 2011/4,0.5068439245223999,3.0
A90 2011/6,,1.0
A90 2011/8,,1.0
A90 2011/9,0.7508958180745443,3.0
A90 2012/1,,1.0
A90 2012/10,,1.0
A90 2012/11,,1.0
A90 2012/12,,1.0
A90 2012/5,,1.0
A90 2012/6,0.9322071075439453,2.0
A90 2012/7,,1.0
A90 2012/8,,1.0
A90 2012/9,,1.0
A90 2013/2,,1.0
A90 2013/4,0.7161731719970703,2.0
A90 2013/6,0.28942012786865234,2.0
A90 2013/8,,1.0
A90 2013/9,,1.0
A90 2014/12,,1.0
A90 2014/4,0.8716151714324951,2.0
A90 2014/5,0.7624334096908569,2.0
A90 2014/7,,1.0
A90 2015/1,0.5314945379892985,3.0
A90 2015/10,0.1762667496999105,3.0
A90 2015/11,0.7756134271621704,2.0
A90 2015/12,0.5266755421956381,4.0
A90 2015/3,0.36347055435180664,4.0
A90 2015/4,0.5136795441309611,4.0
A90 2015/7,,1.0
A90 2015/8,0.12754559516906738,2.0
A90 2016/1,,1.0
A90 2016/10,,1.0
A90 2016/3,0.5961456894874573,2.0
A90 2016/6,0.34067344665527344,3.0
A90 2016/7,0.39653754234313965,2.0
A90 2016/8,0.8729915618896484,2.0
A90 2016/9,,1.0
A90 2017/1,,1.0
A90 2017/10,,1.0
A90 2017/11,,1.0
A90 2017/2,,1.0
A90 2017/5,0.5460116863250732,2.0
A90 2017/6,0.8293727040290833,2.0
A90 2017/7,,1.0
A90 2017/8,0.8230540752410889,2.0
A90 2018/10,,1.0
A90 2018/11,,1.0
A90 2018/2,,1.0
A90 2018/4,0.7346559166908264,2.0
A90 2018/5,,1.0
A90 2018/7,,1.0
A90 2018/8,0.4722507794698079,3.0
A90 2018/9,,1.0
A90 2019/2,,1.0
A90 2019/3,,1.0
A90 2019/5,,1.0
A90 2019/6,0.7143585681915283,2.0
ABC 1992/3,,1.0
ABE 1988/1,,1.0
ABE 1988/10,,1.0
ABE 1988/11,,1.0
ABE 1988/3,,1.0
ABE 1988/4,,1.0
ABE 1988/7,,1.0
ABE 1988/8,0.4964820146560669,2.0
ABE 1988/9,0.3219825029373169,2.0
ABE 1989/1,,1.0
ABE 1989/10,,1.0
ABE 1989/12,,1.0
ABE 1989/4,0.45892709493637085,2.0
ABE 1989/8,0.4210628271102905,2.0
ABE 1990/1,,1.0
ABE 1990/11,,1.0
ABE 1990/2,,1.0
ABE 1990/3,,1.0
ABE 1990/6,,1.0
ABE 1990/8,,1.0
ABE 1991/10,0.7012539704640707,3.0
ABE 1991/11,0.8824465274810791,2.0
ABE 1991/12,0.7785525321960449,2.0
ABE 1991/2,,1.0
ABE 1991/5,,1.0
ABE 1991/6,,1.0
ABE 1991/9,0.4154670238494873,3.0
ABE 1992/1,,1.0
ABE 1992/10,,1.0
ABE 1992/11,,1.0
ABE 1992/4,,1.0
ABE 1992/5,,1.0
ABE 1992/6,0.7894489765167236,2.0
ABE 1992/9,,1.0
ABE 1993/11,,1.0
ABE 1993/4,,1.0
ABE 1993/7,,1.0
ABE 1993/8,,1.0
ABE 1993/9,0.6229345798492432,2.0
ABE 1994/11,,1.0
ABE 1994/3,,1.0
ABE 1994/6,0.5511548519134521,4.0
ABE 1994/8,,1.0
ABE 1995/1,,1.0
ABE 1995/12,,1.0
ABE 1995/3,0.4288609027862549,2.0
ABE 1995/5,,1.0
ABE 1995/7,0.5212161540985107,3.0
ABE 1995/8,,1.0
ABE 1996/11,0.7754168510437012,3.0
ABE 1996/2,,1.0
ABE 1996/4,0.4766421318054199,2.0
ABE 1996/5,0.5805504322052002,4.0
ABE 1996/8,0.6840378046035767,2.0
ABE 1997/1,,1.0
ABE 1997/12,,1.0
ABE 1997/2,,1.0
ABE 1997/4,,1.0
ABE 1997/6,,1.0
ABE 1997/7,,1.0
ABE 1997/8,,1.0
