,Achieve,Adj,Adverb,Affect,Affiliation,Anger,Anx,Article,Assent,Auxverb,Bio,Body,Cause,Certain,CogProc,Compare,Conj,Death,Differ,Discrep,Drives,Family,Feel,Female,Filler,FocusFuture,FocusPast,FocusPresent,Friend,Function,Health,Hear,Home,I,Informal,Ingest,Insight,Interrog,Ipron,Leisure,Male,Money,Motion,Negate,Negemo,Netspeak,Nonflu,Number,Percept,Posemo,Power,Ppron,Prep,Pronoun,Quant,Relativ,Relig,Reward,Risk,Sad,See,Sexual,SheHe,Social,Space,Swear,Tentat,They,Time,Verb,We,Work,You
,Achieve_count,Adj_count,Adverb_count,Affect_count,Affiliation_count,Anger_count,Anx_count,Article_count,Assent_count,Auxverb_count,Bio_count,Body_count,Cause_count,Certain_count,CogProc_count,Compare_count,Conj_count,Death_count,Differ_count,Discrep_count,Drives_count,Family_count,Feel_count,Female_count,Filler_count,FocusFuture_count,FocusPast_count,FocusPresent_count,Friend_count,Function_count,Health_count,Hear_count,Home_count,I_count,Informal_count,Ingest_count,Insight_count,Interrog_count,Ipron_count,Leisure_count,Male_count,Money_count,Motion_count,Negate_count,Negemo_count,Netspeak_count,Nonflu_count,Number_count,Percept_count,Posemo_count,Power_count,Ppron_count,Prep_count,Pronoun_count,Quant_count,Relativ_count,Relig_count,Reward_count,Risk_count,Sad_count,See_count,Sexual_count,SheHe_count,Social_count,Space_count,Swear_count,Tentat_count,They_count,Time_count,Verb_count,We_count,Work_count,You_count
08A 1996/7,1,12,18,3,2,0,0,3,1,14,0,0,1,0,8,2,1,0,0,2,0,1,0,0,0,0,7,15,0,42,0,3,0,12,0,0,7,0,0,0,0,0,4,5,0,0,0,0,7,1,0,15,13,28,1,9,0,0,1,0,2,0,0,1,5,1,4,0,3,21,11,1,1
13KK 1997/5,28,88,58,12,38,0,2,24,0,96,4,4,4,0,28,8,50,0,2,4,12,50,12,4,0,18,22,70,0,192,0,0,0,62,0,4,12,2,0,6,0,0,52,58,0,0,0,8,18,2,8,86,70,208,0,58,0,0,4,0,14,0,2,28,42,0,10,8,40,42,24,34,28
1B9 1993/3,14,38,42,10,14,0,4,14,0,82,0,0,2,0,12,8,12,0,2,4,12,8,2,2,0,8,18,30,0,180,0,10,0,58,0,0,12,0,2,0,0,0,32,26,0,0,0,8,12,0,6,72,36,88,0,40,0,2,0,0,8,0,0,12,20,0,10,0,32,48,56,10,0
2DT 1991/12,0,28,20,0,4,0,0,5,0,36,0,0,2,0,8,6,9,0,1,1,1,2,0,0,0,6,9,16,0,68,0,13,0,25,0,0,5,0,1,0,0,0,16,10,0,0,1,1,1,0,1,30,21,59,1,30,0,4,0,0,13,0,1,4,22,1,3,1,14,17,22,3,0
73J 1989/3,1,3,6,4,0,1,0,4,0,13,0,0,1,0,4,2,2,0,0,0,4,2,0,0,0,5,2,6,0,28,0,0,0,3,0,0,6,1,1,0,0,0,8,6,2,0,0,1,4,1,2,7,9,16,0,12,0,0,2,0,0,0,0,1,6,0,3,2,3,12,0,2,0
A11 1999/2,14,52,28,14,12,0,5,15,3,92,4,2,3,0,33,8,18,0,3,2,10,26,5,1,1,9,24,34,0,174,1,9,0,56,0,0,24,1,0,0,0,2,33,31,1,0,0,1,18,7,3,71,51,119,0,54,0,1,1,0,10,0,0,18,46,4,14,17,22,42,30,14,9
A11 1999/3,18,18,10,6,22,0,0,4,2,28,2,0,2,0,12,4,2,0,0,6,0,18,0,0,0,4,14,12,0,46,0,0,0,22,0,0,10,0,0,0,0,0,14,14,0,0,0,0,4,4,2,26,14,48,0,12,0,2,0,0,0,0,0,8,6,2,8,0,6,22,4,2,18
A11 1999/4,2,6,3,0,2,0,0,0,0,9,0,0,0,0,0,2,1,0,0,0,0,5,1,0,0,0,2,5,0,10,0,0,0,4,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,4,3,12,0,4,0,0,0,0,1,0,2,4,3,0,0,0,4,2,0,2,2
A11 1999/5,13,16,26,4,17,0,0,9,2,56,0,0,1,0,10,7,5,0,0,0,1,17,0,1,0,2,9,21,0,80,0,6,0,17,0,0,12,2,0,1,0,0,20,13,1,1,0,0,6,1,2,26,17,62,2,25,0,2,0,0,5,0,0,5,17,3,9,4,12,33,0,3,13
