acronym,0,abrev,tag,casa_fullform,faa_fullform,iata_fullform,nasa_fullform,hand_fullform
the,940949.0,0,pos_stopword,,,TeresinaûSenador Petr⌠nio Portella Airport,,
to,597668.0,0,neg_stopword,,,,,
and,459856.0,0,pos_stopword,,,Anderson Regional Airport,,
i,353917.0,0,neg_stopword,,,,,
was,300175.0,0,pos_stopword,,,metropolitan area,,
a,268188.0,0,pos_stopword,Amber,,,,
we,260404.0,0,neg_stopword,,,,,
of,222348.0,0,neg_stopword,,,,,
on,174616.0,0,neg_stopword,,,,,
at,169927.0,0,pos_stopword,,Air Traffic,,,
in,165749.0,0,neg_stopword,,,,,
that,164403.0,0,neg_stopword,,,,,
for,133348.0,0,pos_stopword,,,Pinto Martins û Fortaleza International Airport,,
were,128924.0,0,neg_stopword,,,,,
ft,121738.0,1,pos_handcoded_abrev,Feet,,,,
with,110945.0,0,neg_stopword,,,,,
had,102219.0,0,pos_stopword,,,Halmstad Airport ,,
not,98512.0,0,pos_stopword,,,Marin County Airport ,,
apch,93710.0,1,pos_nonword,Approach,,,,
this,92185.0,0,neg_stopword,,,,,
as,81056.0,0,pos_stopword,Altostratus (meteorological),,,,
it,80098.0,0,neg_stopword,,,,,
us,76473.0,0,neg_word,,,,,
from,75496.0,0,neg_stopword,,,,,
acft,71370.0,1,pos_nonword,Aircraft,Aircraft,,,
he,70803.0,0,neg_stopword,,,,,
my,70452.0,0,neg_stopword,,,,,
our,69812.0,0,pos_stopword,,,Batouri Airport,,
an,67454.0,0,neg_stopword,,,,,
have,62468.0,0,neg_stopword,,,,,
is,57725.0,0,neg_stopword,,,,,
be,49991.0,0,neg_stopword,,,,,
after,49735.0,0,neg_stopword,,,,,
then,46849.0,0,neg_stopword,,,,,
no,46547.0,0,neg_stopword,,,,,
by,46113.0,0,neg_stopword,,,,,
flt,45843.0,1,pos_handcoded_abrev,Flight,,Flat Airport,,
but,45113.0,0,pos_stopword,,,Bathpalathang Airport,,
time,44389.0,0,neg_word,,,,,
when,44093.0,0,neg_stopword,,,,,
atc,43572.0,1,pos_nonword,Air Traffic Control (in general),Air Traffic Control,Arthur's Town Airport,,
me,43054.0,0,neg_stopword,,,,,
turn,42351.0,0,neg_word,,,,,
