tracon_month,pos_nonword_ct,pos_nonword_unique_ct,all_abrevs_no_overcount_ct,all_abrevs_no_overcount_unique_ct,casa_ct,casa_unique_ct,faa_ct,faa_unique_ct,iata_ct,iata_unique_ct,nasa_ct,nasa_unique_ct,hand_ct,hand_unique_ct
08A 1996/7,11,9,17,13,6,5,2,2,1,1,8,5,8,6
13KK 1997/5,86,15,106,24,34,8,20,3,32,7,60,11,54,8
1B9 1993/3,52,21,66,27,34,12,20,8,18,7,20,9,18,8
2DT 1991/12,23,9,28,13,9,5,3,2,3,2,20,7,16,5
73J 1989/3,15,9,21,14,13,8,5,4,9,7,6,5,2,2
A11 1999/12,23,15,31,21,14,8,12,7,9,6,8,5,12,9
A11 1999/2,78,30,100,41,45,17,23,8,28,15,41,16,40,13
A11 1999/3,46,14,56,18,20,5,10,3,22,6,36,11,24,8
A11 1999/4,13,9,21,12,11,5,2,1,10,5,6,5,5,5
A11 1999/5,30,13,43,22,19,11,10,6,12,7,12,7,14,5
A11 1999/7,184,41,238,57,130,21,68,11,28,11,82,23,74,22
A11 1999/8,18,14,35,24,16,8,2,2,10,5,8,6,11,9
A11 1999/9,13,7,22,12,10,6,6,4,3,2,4,2,6,3
A11 2000/1,129,46,169,59,84,17,52,13,32,14,37,20,61,27
A11 2000/11,47,25,76,35,40,14,14,7,28,10,24,13,23,12
A11 2000/12,9,6,9,6,6,4,5,3,3,2,0,0,3,2
A11 2000/2,18,10,38,20,22,7,6,3,7,4,8,5,9,6
A11 2000/4,22,13,38,23,16,10,4,2,8,5,17,10,12,6
A11 2000/5,89,26,110,38,21,13,5,3,21,11,55,13,58,11
A11 2000/6,78,21,95,31,29,10,24,3,10,6,34,14,50,12
A11 2000/7,28,9,44,13,32,8,14,3,18,6,20,6,8,3
A11 2000/8,8,6,14,9,7,3,4,2,4,2,4,3,3,3
A11 2000/9,77,37,99,50,47,18,34,10,25,17,26,19,35,20
A11 2001/1,23,8,25,10,15,6,14,5,4,3,8,3,7,2
A11 2001/11,17,12,31,19,21,12,7,4,9,7,5,4,4,2
A11 2001/12,30,9,46,12,24,4,20,5,12,3,4,2,12,4
A11 2001/5,129,43,199,67,87,22,56,9,54,17,77,25,68,23
