,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/1995 To 01/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , 
Facility,State,Region,Date,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations"
ABE ,PA,AEA,01/1995,EN,Towers with Radar,"1,640",917,"2,026",88,"4,671",0,0,0,0,0,178,157,"1,296",62,"1,693",0,0,0,0,0,"4,204",246,"4,450","10,814","10,814"
ABE ,PA,AEA,02/1995,EN,Towers with Radar,"1,022",841,"1,612",117,"3,592",0,0,0,0,0,698,123,"1,284",94,"2,199",0,0,0,0,0,"3,304",398,"3,702","9,493","9,493"
ABE ,PA,AEA,03/1995,EN,Towers with Radar,"1,545",969,"2,611",181,"5,306",0,0,0,0,0,161,123,"2,099",130,"2,513",0,0,0,0,0,"4,636",498,"5,134","12,953","12,953"
ABE ,PA,AEA,04/1995,EN,Towers with Radar,"1,393","1,235","2,655",77,"5,360",0,0,0,0,0,64,254,"2,115",83,"2,516",0,0,0,0,0,"5,624",294,"5,918","13,794","13,794"
ABE ,PA,AEA,05/1995,EN,Towers with Radar,650,"1,076","3,220",182,"5,128",0,0,0,0,0,837,146,"1,908",104,"2,995",0,0,0,0,0,"5,244",410,"5,654","13,777","13,777"
ABE ,PA,AEA,06/1995,EN,Towers with Radar,721,951,"3,244",244,"5,160",0,0,0,0,0,753,110,"1,789",140,"2,792",0,0,0,0,0,"5,014",452,"5,466","13,418","13,418"
ABE ,PA,AEA,07/1995,EN,Towers with Radar,"1,015","1,009","2,788",116,"4,928",0,0,0,0,0,529,99,"1,730",128,"2,486",0,0,0,0,0,"4,560",444,"5,004","12,418","12,418"
ABE ,PA,AEA,08/1995,EN,Towers with Radar,"1,499","1,129","2,713",97,"5,438",0,0,0,0,0,90,97,"2,241",89,"2,517",0,0,0,0,0,"5,212",356,"5,568","13,523","13,523"
ABE ,PA,AEA,09/1995,EN,Towers with Radar,901,"1,083","2,785",43,"4,812",0,0,0,0,0,592,113,"2,153",54,"2,912",0,0,0,0,0,"4,194",176,"4,370","12,094","12,094"
ABE ,PA,AEA,10/1995,EN,Towers with Radar,917,"1,199","2,757",139,"5,012",0,0,0,0,0,690,155,"2,117",91,"3,053",0,0,0,0,0,"4,500",488,"4,988","13,053","13,053"
ABE ,PA,AEA,11/1995,EN,Towers with Radar,"1,312","1,049","2,449",94,"4,904",0,0,0,0,0,176,242,"1,489",79,"1,986",0,0,0,0,0,"3,820",224,"4,044","10,934","10,934"
ABE ,PA,AEA,12/1995,EN,Towers with Radar,"1,307","1,070","1,802",97,"4,276",0,0,0,0,0,173,164,"1,466",82,"1,885",0,0,0,0,0,"3,744",420,"4,164","10,325","10,325"
ABE ,PA,AEA,01/1996,EN,Towers with Radar,"1,080","1,021","1,409",97,"3,607",0,0,0,0,0,164,123,855,72,"1,214",0,0,0,0,0,"2,398",248,"2,646","7,467","7,467"
ABE ,PA,AEA,02/1996,EN,Towers with Radar,"1,199","1,130","1,827",140,"4,296",0,0,0,0,0,150,105,"1,006",79,"1,340",0,0,0,0,0,"2,936",404,"3,340","8,976","8,976"
ABE ,PA,AEA,03/1996,EN,Towers with Radar,694,"1,063","2,068",115,"3,940",0,0,0,0,0,771,200,"1,735",86,"2,792",0,0,0,0,0,"4,086",330,"4,416","11,148","11,148"
ABE ,PA,AEA,04/1996,EN,Towers with Radar,825,"1,168","2,429",91,"4,513",0,0,0,0,0,672,205,"1,775",76,"2,728",0,0,0,0,0,"3,902",354,"4,256","11,497","11,497"
ABE ,PA,AEA,05/1996,EN,Towers with Radar,"1,343","1,277","2,976",107,"5,703",0,0,0,0,0,121,133,"1,783",95,"2,132",0,0,0,0,0,"4,580",408,"4,988","12,823","12,823"
ABE ,PA,AEA,06/1996,EN,Towers with Radar,"1,308","1,337","2,939",73,"5,657",0,0,0,0,0,126,203,"1,814",88,"2,231",0,0,0,0,0,"4,822",248,"5,070","12,958","12,958"
ABE ,PA,AEA,07/1996,EN,Towers with Radar,"1,391","1,407","2,421",89,"5,308",0,0,0,0,0,143,184,"1,788",82,"2,197",0,0,0,0,0,"4,234",364,"4,598","12,103","12,103"
ABE ,PA,AEA,08/1996,EN,Towers with Radar,795,"1,674","2,620",157,"5,246",0,0,0,0,0,756,250,"1,732",114,"2,852",0,0,0,0,0,"4,892",446,"5,338","13,436","13,436"
ABE ,PA,AEA,09/1996,EN,Towers with Radar,822,"1,604","2,470",99,"4,995",0,0,0,0,0,644,238,"1,788",74,"2,744",0,0,0,0,0,"3,982",328,"4,310","12,049","12,049"
ABE ,PA,AEA,10/1996,EN,Towers with Radar,"1,409","1,744","2,434",99,"5,686",0,0,0,0,0,119,170,"1,994",92,"2,375",0,0,0,0,0,"4,470",340,"4,810","12,871","12,871"
