codes,ct
ZZZ,32123
ZDC,4631
ZNY,3586
ZLA,3036
ZID,3177
ZOB,3014
ZAU,2679
ZTL,2607
ZOA,2172
ZZZZ,1987
ZJX,2198
ZDV,2086
ZMA,1922
ZBW,1936
ZKC,1861
ZAB,1787
ZMP,1612
ZME,1623
ZHU,1571
ZLC,1468
ZAN,659
O90,527
CZQX,360
ZHN,322
RJTG,247
ZZZ1,226
ZSU,225
EGTT,181
CZYZ,166
EGGX,169
HCF,193
zzz,153
HEF,128
CZQM,105
NQX,105
MMEX,96
NTD,92
MMID,95
FFZ,103
MJZS,78
LFFF,76
JYO,94
RJAA,84
CZEG,72
TJZS,77
NRT,71
CGX,69
EISN,71
NHK,66
NEW,62
MKJK,61
CZUL,58
SVZM,66
VHHK,51
ZZZ2,67
SBBS,48
MYNN,63
SKED,54
NAS,50
CHD,53
MMZT,47
GEU,50
PFN,43
BIRD,44
NUW,39
EGPX,37
MDCS,40
CZVR,36
E10,50
CZWG,35
NUQ,35
EDFF,32
TNCF,38
KZAK,29
NKT,38
MMFR,28
RJJJ,31
SEL,27
EVB,33
DTO,34
SEQU,27
GYY,27
FTG,31
MTEG,30
MMTY,26
LPPO,26
TTZP,26
LHD,26
RYY,26
ZZZ3,24
NKX,21
NBC,23
GPM,21
RKTT,24
RORG,20
DTS,25
ZUA,21
NXX,20
ZSHA,18
AWO,25
UAO,28
SPIM,17
ZBPE,16
OQU,16
NFFF,15
F45,26
LGGG,14
JCF,20
SCEZ,14
NHZ,15
NZY,16
OEJD,15
UNV,19
SKEC,18
AVQ,24
LIRR,14
UCA,14
EDMM,16
MPZL,17
OSA,13
NZJ,13
ZWY,15
ZZZ4,17
JQF,13
VUO,16
EKM,12
FWS,18
BAK,12
155,14
ZGZU,12
WSJC,12
LTAA,12
MUPH,14
GKY,14
GTU,19
F70,23
NBU,10
PNM,14
NPA,10
W29,14
LIMM,11
DKX,11
HECC,10
SBCW,10
EHAA,11
FCI,13
NJK,10
NGU,10
AJO,10
GVW,9
OFP,10
I69,12
61B,15
SBMU,9
NYG,9
LFRR,12
RPHI,10
FIT,11
LFMM,12
PXT,12
RIU,11
JVY,14
2I4,8
Z41,8
L15,8
M87,8
NFL,15
MUFH,14
SBAZ,11
LECM,11
0R9,13
EYE,11
AYE,8
N07,8
NQI,10
SAEU,7
NZZO,7
NZC,7
CJR,11
ISZ,14
NSE,9
2V2,10
49J,7
ZYSH,8
JKA,9
VCB,11
LRP,9
LFMN,8
069,12
3CK,9
NFG,8
NS,8
OMN,8
VKX,7
SN,6
FHR,10
LSAS,6
JZP,8
7G0,7
P08,11
EBBU,6
SGS,9
ZIN,6
M01,10
OAKX,6
307,9
NGZ,6
pvu,8
NDZ,7
NBG,7
C83,10
S50,9
NIP,7
E63,11
ABBB,6
BGGL,6
LCCC,6
UMP,7
ZAV,6
X50,9
IJD,7
X51,7
RNV,6
L52,6
X47,9
TWR,5
E80,7
LSAZ,5
LLLL,5
EKY,7
VTBB,6
EUL,8
RJNN,5
HSD,8
VAY,7
55J,7
LVJ,8
XXX,5
ZKL,5
NBE,5
LHM,8
73J,5
NTTT,5
ZAX,5
JRA,6
P19,5
JZI,6
tvf,5
LECB,5
RCAA,5
HYI,8
O88,6
AFJ,6
JWY,7
LSAG,4
1G3,7
M54,4
Y14,6
jwn,4
T67,5
E25,6
L35,5
1B2,4
AIY,5
SAEF,4
NEL,4
MT48,4
48V,5
RDW,4
52F,5
FO,4
TYQ,5
EET,6
6A2,5
esn,6
C65,4
X39,4
T41,5
102,4
X26,7
N14,6
T82,8
SAMV,4
MOW,5
OEKH,6
AXH,6
VDF,5
7D2,5
EZF,5
FZZ,4
S36,7
C09,7
awo,7
5C1,7
DMW,6
SAO,4
00V,4
RKRR,4
5T6,5
EBUR,4
11R,4
42J,6
EQY,7
NYL,6
PLB,4
1S0,8
OIIX,5
X59,8
fdk,4
HQZ,7
MUGM,4
SMPM,5
VECF,6
JSD,5
1N7,8
EDUU,4
7S3,4
NID,5
3G3,5
SBPH,3
NVQ,3
YBBB,4
NGP,3
swo,4
S21,3
w29,3
dro,6
36U,3
3SQ,3
H04,3
5R4,5
06C,4
X52,3
08A,4
RCZ,3
A39,5
7S5,5
D98,5
HKNA,3
ZJK,4
ZKS,3
UUWV,3
Y62,3
STO,3
RJDG,3
SEFG,3
C81,6
ZZZ5,4
HDC,4
CZEB,3
N51,6
N87,5
66S,4
7B2,5
DKB,4
E16,6
VABF,3
LXT,5
2Q3,4
f70,3
IKV,5
jyo,5
OZW,3
ile,4
NY0,4
NQA,4
79J,3
OMAE,3
4T6,4
dts,4
NGO,3
FFC,6
eky,3
JGG,3
L66,3
F82,3
4A4,6
T31,5
O17,5
DAW,4
OOMM,4
zzzz,3
LA,3
gle,3
W66,4
0TX1,3
0W0,5
7FL6,4
PCW,5
103,3
OPLR,3
SLLF,3
TY,3
SOCAL,3
LVN,6
S07,5
SZT,5
N67,5
1V5,5
XYZ,4
NLC,4
SDZ,3
HEG,4
P20,4
pnc,4
CWQ,3
HWV,4
SET,3
3B9,4
5B2,5
01G,3
10D,3
N99,5
N96,4
D73,3
L18,5
LPPC,3
1B9,5
SADF,3
EQL,4
0L7,4
SBRE,2
IDX,2
65G,4
CPIT,2
XBP,2
TXD,2
UT03,2
2v2,3
0A7,2
ACQ,2
GWW,3
D97,2
GA2,2
GHG,2
0W3,2
ZCH,2
CZOM,2
ZIL,2
vgn,2
BQM,2
1w1,2
mmv,3
9G3,4
NAK,2
CHW,2
eat,2
obe,4
F35,4
31J,2
RUQ,2
T74,2
LVF,2
hro,2
EQA,2
NBJ,2
IGX,4
50G,2
EKDK,2
WIIZ,2
ZCK,2
TIPP,2
ZHI,2
NSP,2
1D2,4
1C2,2
GIANTKILLE,7
JVW,4
WI47,2
LON,2
2L1,4
e55,2
GCCC,2
3B3,4
ZAK,2
VOMF,2
OPN,2
EVY,3
N47,2
017,4
WA05,2
EPWW,2
F69,2
521,4
3KM,2
OEB,3
NOW,3
46U,3
BW,2
8U8,3
LCAX,2
NRE,2
slk,4
mbt,2
F18,4
ddc,2
VPC,3
YMMM,2
ERW,2
S27,4
1GZ,2
4J6,7
HUDSON,2
L88,2
1K1,2
FWN,3
79C,2
SPTM,2
FD77,2
MDHE,2
ged,2
SARU,2
NOG,4
MXKF,2
2R4,6
NRR,3
NY,2
8S1,3
8a0,4
9A5,2
i90,2
C39,2
CLOVER,5
dsv,2
OBBB,2
34A,2
EMV,2
MD90,2
1I5,3
N57,3
07F,2
153,3
VYYF,2
NTK,2
1G4,4
12N,2
46CA,2
N81,3
62D,2
UYF,3
CTAF,3
P06,2
AZU,2
zab,2
5V5,2
S67,4
4JG,2
955,2
ONZ,2
sav,2
7C5,2
avx,4
PEO,3
C92,2
