,atcadvisory,firstpass,removed_firstpass
23223,Tower ZZZ; Tower ZZZ1,"[('Tower', 'ZZZ', ''), ('Tower', 'ZZZ1', '')]", 1
27970,TRACON N(0,[],TRACON N(0
49198,UNICOM LAX Special Flight Rules,"[('UNICOM', 'LAX', '')]", Special Flight Rules
49835,Tower SFO.Tower; UNICOM SFO RAMP,"[('Tower', 'SFO', '.Tower'), ('UNICOM', 'SFO', '')]",  RAMP
49919,CTAF Airshow Control; CTAF Air Show Control,"[('CTAF', 'Airshow', ''), ('CTAF', 'Air', '')]", Control  Show Control
49998,UNICOM GROVE CITY,"[('UNICOM', 'GROVE', '')]", CITY
50769,CTAF 150; CTAF MHR; UNICOM 148.30; UNICOM 159,"[('CTAF', '150', ''), ('CTAF', 'MHR', ''), ('UNICOM', '148', ''), ('UNICOM', '159', '')]",  .30 
57945,CTAF dm;; CTAF DNL,"[('CTAF', 'dm', ''), ('CTAF', 'DNL', '')]",; 
66934,CTAF 36U (Heber); CTAF LGU,"[('CTAF', '36U', ''), ('CTAF', 'LGU', '')]", (Heber) 
68226,Tower MSP.Tower; UNICOM Local FBO,"[('Tower', 'MSP', '.Tower'), ('UNICOM', 'Local', '')]",  FBO
79476,Center ZHU; Military Facility RIDGE CTRL,"[('Center', 'ZHU', ''), ('Military Facility', 'RIDGE', '')]",  CTRL
91462,Center ZBW; Military Facility ZBW CAPE; TRACON PVD,"[('Center', 'ZBW', ''), ('Military Facility', 'ZBW', ''), ('TRACON', 'PVD', '')]",  CAPE 
92331,Center ZAN; FSS JNU RDO,"[('Center', 'ZAN', ''), ('FSS', 'JNU', '')]",  RDO
95644,CTAF 155; CTAF RAP; UNICOM 998.00; UNICOM 159,"[('CTAF', '155', ''), ('CTAF', 'RAP', ''), ('UNICOM', '998', ''), ('UNICOM', '159', '')]",  .00 
95925,CTAF 155; CTAF LEE; UNICOM 123.14; UNICOM 159,"[('CTAF', '155', ''), ('CTAF', 'LEE', ''), ('UNICOM', '123', ''), ('UNICOM', '159', '')]",  .14 
107140,UNICOM BAY BRIDGE,"[('UNICOM', 'BAY', '')]", BRIDGE
116490,Tower ZZZ; Tower ZZZ1,"[('Tower', 'ZZZ', ''), ('Tower', 'ZZZ1', '')]", 1
122191,CTAF DVO/NOT; CTAF DVO/NOT,"[('CTAF', 'DVO', ''), ('CTAF', 'DVO', '')]",/NOT /NOT
133368,CTAF 08A; UNICOM 0; CTAF 08A,"[('CTAF', '08A', ''), ('CTAF', '08A', '')]", UNICOM 0 
148395,CTAF +; TRACON D01.TRACON,"[('TRACON', 'D01', '.TRACON')]",CTAF + 
150243,UNICOM I-23,[],UNICOM I-23
153256,UNICOM 122.9,"[('UNICOM', '122', '')]",.9
154491,TRACON ZZZ; TRACON ZZZZ,"[('TRACON', 'ZZZ', ''), ('TRACON', 'ZZZZ', '')]", Z
182058,Tower HOU&,"[('Tower', 'HOU', '')]",&
182345,Center MJZS; Tower V. C. BIRD,"[('Center', 'MJZS', '')]", Tower V. C. BIRD
186581,Military Facility USAF ACFT; TRACON ANC,"[('Military Facility', 'USAF', ''), ('TRACON', 'ANC', '')]", ACFT 
208448,TRACON O,[],TRACON O
224205,CTAF 155; CTAF RAP; UNICOM 159; UNICOM 998.00,"[('CTAF', '155', ''), ('CTAF', 'RAP', ''), ('UNICOM', '159', ''), ('UNICOM', '998', '')]",   .00
224497,CTAF 155; CTAF LEE; UNICOM 159; UNICOM 123.14,"[('CTAF', '155', ''), ('CTAF', 'LEE', ''), ('UNICOM', '159', ''), ('UNICOM', '123', '')]",   .14
228045,CTAF OTX 1,"[('CTAF', 'OTX', '')]", 1
230339,CTAF `; Center ZJX,"[('Center', 'ZJX', '')]",CTAF ` 
