Acronym,acronym,Fullform4,Fullform5,Fullform6,link2
...T,...t,Bearing (true),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
A,a,Amber,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
A/A,a/a,Air to air,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
A/G,a/g,Air-to-ground,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AAA,aaa,Amended meterological message,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AAAA,aaaa,Aerial Application Association of Australia,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AAC,aac,Airworthiness Advisory Circular,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AACC,aacc,Area approach control centre,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AAD,aad,Assigned altitude deviation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AAIM,aaim,Aircraft Autonomous Integrity Monitor,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AAIS,aais,Automatic aerodrome information service,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AAL,aal,Above aerodrome level,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AAR,aar,Authorised Airworthiness Representative,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AAT,aat,Administrative Appeals Tribunal,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ABAA,abaa,Amateur Built Aircraft Acceptance,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ABAS,abas,Aircraft Based Augmentation System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ABF,abf,Australian Ballooning Federation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ABI,abi,Advance boundary information,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ABM,abm,Abeam,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ABN,abn,Aerodrome beacon,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ABT,abt,About,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ABV,abv,Above...,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AC,ac,Advisory Circular,Altocumulus (met),,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ACA,aca,Australian Commonwealth Authority,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ACARS,acars,Aircraft communication addressing and reporting system (pronounced 'AY-CARS'),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ACAS,acas,Airborne Collision Avoidance System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ACC,acc,Area control centre,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ACCID,accid,Initial notification of an aircraft accident,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ACD,acd,Airways clearance delivery,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ACFT,acft,Aircraft,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ACJ-XXX,acj-xxx,"Advisory Circular Joint (issued by the JAA, can be followed by a  country code)",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ACK,ack,Acknowledge,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ACL,acl,Altimeter check location,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ACN,acn,Aircraft classification number,Australian company number,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ACPT,acpt,"Accept, accepted",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ACROB,acrob,Acrobatics,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
Act,act,the Civil Aviation Act 1988,"Active, activated, activity",,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AD,ad,Aerodrome,Airworthiness Directive,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADA,ada,Advisory area,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADAO,adao,Authorised Design Approval Organisation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADC,adc,Aerodrome chart,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADDGM,addgm,Aerodrome diagrams,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADDN,addn,"Addition, additional",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADF,adf,Automatic Direction Finding (equipment),Australian Defence Force,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADIZ,adiz,Air Defence Identification Zone,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADJ,adj,Adjacent,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADO,ado,Aerodrome office,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADQ,adq,Adequate aerodrome,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADR,adr,Advisory route,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADS,ads,The address ,Automatic Dependent Surveillance,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADS-B,ads-b,Automatic Dependent Surveillance - Broadcast,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADS-C,ads-c,Automatic Dependent Surveillance - Contract,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADSU,adsu,Automatic Dependent Surveillance Unit,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ADZ,adz,Advise,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AEB,aeb,CASA's Airworthiness Engineering Branch,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AEP,aep,Aerodrome emergency plan,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AER,aer,Authorised Engineering Representative,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AERIS,aeris,Automatic en route information service,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AFAP,afap,Australian Federation of Air Pilots,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AFCS,afcs,Automatic flight control system,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AFIL,afil,"Flight notification: - filed in the air, or - indicating the position at which ATS services will first be required",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AFIS,afis,Aerodrome flight information service,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AFM,afm,Aircraft Flight Manual,"Yes, affirm, affirmative, that is correct",,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AFRU,afru,"Aerodrome Frequency Response Unit (also known as a ""beepback"" unit)",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AFS,afs,Aeronautical fixed service,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AFT,aft,After,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AFTN,aftn,Aeronautical fixed telecommunication network,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AFZ,afz,Australian fishing zone(s),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
Ag,ag,Agriculture,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AGA,aga,Again,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AGD,agd,Attorney-General's Department,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AGL,agl,Above Ground Level,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AH,ah,Artificial Horizon,After hours,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AIC,aic,Aeronautical Information Circular,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AIDC,aidc,Air traffic services inter-facitility data communications,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AIP,aip,Aeronautical Information Publication,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AIP ENR,aip enr,Aeronautical Information Publication En-route,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AIP ERSA,aip ersa,Aeronautical Information Publication En-route Supplement Australia,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AIP GEN,aip gen,Aeronautical Information Publication General,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AIRAC,airac,Aeronautical Information Regulation and Control,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AIRC,airc,Aeronautical Information and Control,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AIREP,airep,Air-Report,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AIRMET,airmet,"Information in plain language concerning weather significant to light aircraft operations at or below 10,000FT",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AIS,ais,Aeronautical Information Service,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AL,al,Approach Lights,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
