tracon_key,ATADS_Type
ATL,Large Hub
BOS,Large Hub
BWI,Large Hub
CLT,Large Hub
DCA,Large Hub
DEN,Large Hub Cores
DFW,Large Hub
DTW,Large Hub
EWR,Large Hub
FLL,Large Hub
HNL,Large Hub
IAD,Large Hub
IAH,Large Hub
JFK,Large Hub
LAS,Large Hub
LAX,Large Hub
LGA,Large Hub
MCO,Large Hub
MDW,Large Hub
MEM,Large Hub
MIA,Large Hub
MSP,Large Hub
ORD,Large Hub
PHL,Large Hub
PHX,Large Hub
SAN,Large Hub
SEA,Large Hub
SFO,Large Hub
SLC,Large Hub
TPA,Large Hub
