Acronym,acronym,Fullform5,link3
AAA,aaa,Anaa Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAB,aab,Arrabury Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAC,aac,El Arish International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAD,aad,Adado Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAE,aae,Rabah Bitat Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAF,aaf,Apalachicola Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAG,aag,Arapoti Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAH,aah,Merzbrück Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAI,aai,Arraias Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAJ,aaj,Cayana Airstrip,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAK,aak,Aranuka Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAL,aal,Aalborg Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAM,aam,Mala Mala Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAN,aan,Al Ain International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAO,aao,Anaco Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAP,aap,Aji Pangeran Tumenggung Pranoto International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAQ,aaq,Anapa Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAR,aar,Aarhus Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAS,aas,Apalapsili Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAT,aat,Altay Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAU,aau,Asau Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAV,aav,Allah Valley Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAX,aax,Araxá Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAY,aay,Al Ghaydah Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AAZ,aaz,Quetzaltenango Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABA,aba,Abakan International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABB,abb,Asaba International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABC,abc,Albacete Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABD,abd,Abadan International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABE,abe,Lehigh Valley International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABF,abf,Abaiang Atoll Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABG,abg,Abingdon Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABH,abh,Alpha Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABI,abi,Abilene Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABJ,abj,Port Bouet Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
