,0,abrev,tag,casa_fullform,faa_fullform,iata_fullform,nasa_fullform,hand_fullform2,add_to_realworld_dictionary,add_to_airport,mispelled_word_fix
tcasii,18260,1,neg_nonword,,,,,traffic collision avoidance system,,,
autoplt,8920,1,neg_nonword,,,,,autopilot,,,
zzz,6633,1,neg_nonword,,,,,anonymous airport,,,
chklist,5796,1,neg_nonword,,,,,checklist,,,
ta,4711,1,neg_nonword,,,,,traffic advisory,,,
xponder,4125,1,neg_nonword,,,,,transponder,,,
apching,3812,1,neg_nonword,,,,,approaching,,,
coplt,3452,1,neg_nonword,,,,,copilot,,,
airspd,3418,1,neg_nonword,,,,,air speed,,,
ok,2460,1,neg_nonword,,,,,,add to dictionary,,
clbout,2411,1,neg_nonword,,,,,climbout,,,
cessna,2339,1,neg_nonword,,,,,,add to dictionary,,
altdev,2116,1,neg_nonword,,,,,altitude deviation,,,
ny,2032,1,neg_nonword,,,,,,add to dictionary,,
wdb,1821,1,neg_nonword,,,,,,,add to airport name,
chklists,1703,1,neg_nonword,,,,,checklists,,,
preflt,1653,1,neg_nonword,,,,,preflight,,,
readback,1650,1,neg_nonword,,,,,,add to dictionary,,
potomac,1631,1,neg_nonword,,,,,,add to dictionary,,
rpts,1610,1,neg_nonword,,,,,reports,,,
waypoint,1576,1,neg_nonword,,,,,,add to dictionary,,
idented,1534,1,neg_nonword,,,,,identified,,,
xmission,1452,1,neg_nonword,,,,,transmisson,,,
notams,1371,1,neg_nonword,,,,,notices to airmen,,,
rpting,1366,1,neg_nonword,,,,,reporting,,,
clrncs,1337,1,neg_nonword,,,,,clearances,,,
restrs,1288,1,neg_nonword,,,,,restrictions,,,
windshear,1227,1,neg_nonword,,,,,,add to dictionary,,
leveloff,1222,1,neg_nonword,,,,,,add to dictionary,,
dulles,1087,1,neg_nonword,,,,,,add to dictionary,,
glideslope,1070,1,neg_nonword,,,,,,add to dictionary,,
ltss,1001,1,neg_nonword,,,,,long term services and supports,,,
dc,994,1,neg_nonword,,,,,,add to dictionary,,
confign,983,1,neg_nonword,,,,,configuration,,,
xmissions,976,1,neg_nonword,,,,,transmissions,,,
autothrottles,963,1,neg_nonword,,,,,,add to dictionary,,
ctrline,941,1,neg_nonword,,,,,centerline,,,
ie,927,1,neg_nonword,,,,,for example,,,
handoff,911,1,neg_nonword,,,,,,add to dictionary,,
unauth,893,1,neg_nonword,,,,,unauthorized,,,
norcal,832,1,neg_nonword,,,,,northern california,,,
cancelled,827,1,neg_nonword,,,,,,add to dictionary,,
unicom,820,1,neg_nonword,,,,,universal communication,,,
enroute,817,1,neg_nonword,,,,,,add to dictionary,,
wbound,808,1,neg_nonword,,,,,westbound,,,
xxx,785,1,neg_nonword,,,,,,,,
judgement,756,1,neg_nonword,,,,,,,,judgment
rollout,728,1,neg_nonword,,,,,,add to dictionary,,
overwt,717,1,neg_nonword,,,,,overweight,,,
nbound,705,1,neg_nonword,,,,,northbound,,,
waypoints,660,1,neg_nonword,,,,,,add to dictionary,,
xxxx,640,1,neg_nonword,,,,,anonymous number,,,
xcountry,614,1,neg_nonword,,,,,crosscountry,,,
operror,609,1,neg_nonword,,,,,operational error,,,
climbout,603,1,neg_nonword,,,,,,add to dictionary,,
garmin,584,1,neg_nonword,,,,,,add to dictionary,,
ebound,578,1,neg_nonword,,,,,eastbound,,,
unctled,547,1,neg_nonword,,,,,uncontrolled,,,
trning,546,1,neg_nonword,,,,,turning,,,
boeing,531,1,neg_nonword,,,,,,add to dictionary,,
sbound,520,1,neg_nonword,,,,,southbound,,,
onboard,519,1,neg_nonword,,,,,,add to dictionary,,
pltdev,510,1,neg_nonword,,,,,pilot deviation,,,
reclred,491,1,neg_nonword,,,,,recleared,,,
xyz,461,1,neg_nonword,,,,,,,,
distrs,452,1,neg_nonword,,,,,distributions,,,
navaids,437,1,neg_nonword,,,,,navigational aids,,,
wentz,437,1,neg_nonword,,,,,,add to dictionary,,
uncommanded,429,1,neg_nonword,,,,,,add to dictionary,,
leesburg,424,1,neg_nonword,,,,,,add to dictionary,,
autothrottle,402,1,neg_nonword,,,,,,add to dictionary,,
xxl,401,1,neg_nonword,,,,,miami,,,
landline,397,1,neg_nonword,,,,,,add to dictionary,,
ruudy,389,1,neg_nonword,,,,,ruudy,,,
xxr,384,1,neg_nonword,,,,,new york,,,
jyo,381,1,neg_nonword,,,,,,add to dictionary,,
pushback,375,1,neg_nonword,,,,,,add to dictionary,,
zzzzz,371,1,neg_nonword,,,,,anonymous number,,,
nosewheel,361,1,neg_nonword,,,,,,add to dictionary,,
teterboro,358,1,neg_nonword,,,,,,add to dictionary,,
ipad,355,1,neg_nonword,,,,,,add to dictionary,,
arnes,351,1,neg_nonword,,,,,,add to dictionary,,
xferred,347,1,neg_nonword,,,,,transferred,,,
pointout,347,1,neg_nonword,,,,,,add to dictionary,,
xchk,338,1,neg_nonword,,,,,crosscheck,,,
mooney,337,1,neg_nonword,,,,,,add to dictionary,,
english,337,1,neg_nonword,,,,,,add to dictionary,,
miscom,334,1,neg_nonword,,,,,miscommunication,,,
learjet,324,1,neg_nonword,,,,,,add to dictionary,,
sfra,318,1,neg_nonword,,,,,special flight rules area,,,
saab,317,1,neg_nonword,,,,,,add to dictionary,,
callouts,313,1,neg_nonword,,,,,,add to dictionary,,
reintercept,310,1,neg_nonword,,,,,,add to dictionary,,
jumpseat,304,1,neg_nonword,,,,,,add to dictionary,,
callout,299,1,neg_nonword,,,,,,add to dictionary,,
interphone,298,1,neg_nonword,,,,,,add to dictionary,,
thru,296,1,neg_nonword,,,,,through,,,
identing,295,1,neg_nonword,,,,,identifying,,,
handheld,295,1,neg_nonword,,,,,,add to dictionary,,
cherokee,292,1,neg_nonword,,,,,,add to dictionary,,
postflt,290,1,neg_nonword,,,,,postflight,,,
hef,290,1,neg_nonword,,,,,,add to dictionary,,
seavu,290,1,neg_nonword,,,,,,add to dictionary,,
overflt,289,1,neg_nonword,,,,,overflight,,,
xmitted,288,1,neg_nonword,,,,,transmitted,,,
kennedy,285,1,neg_nonword,,,,,,add to dictionary,,
autoflt,285,1,neg_nonword,,,,,autoflight,,,
overspd,284,1,neg_nonword,,,,,overspeed,,,
notamed,276,1,neg_nonword,,,,,notice to airmen,,,
loupe,270,1,neg_nonword,,,,,,add to dictionary,,
unstabilized,265,1,neg_nonword,,,,,,add to dictionary,,
hudson,264,1,neg_nonword,,,,,,add to dictionary,,
skebr,262,1,neg_nonword,,,,,,add to dictionary,,
gulfstream,255,1,neg_nonword,,,,,,add to dictionary,,
dscnts,254,1,neg_nonword,,,,,descents,,,
travis,252,1,neg_nonword,,,,,,add to dictionary,,
outbnd,252,1,neg_nonword,,,,,outbound,,,
overspeed,249,1,neg_nonword,,,,,,add to dictionary,,
le,248,1,neg_nonword,,,,,,,,
bradley,247,1,neg_nonword,,,,,,add to dictionary,,
xmitting,246,1,neg_nonword,,,,,transmitting,,,
fuelr,242,1,neg_nonword,,,,,,add to dictionary,,
qnh,241,1,neg_nonword,,,,,atmospheric pressure,,,
interp,240,1,neg_nonword,,,,,interpretation,,,
daytona,238,1,neg_nonword,,,,,,add to dictionary,,
whitestone,237,1,neg_nonword,,,,,,add to dictionary,,
jetstream,233,1,neg_nonword,,,,,,add to dictionary,,
zzzz,232,1,neg_nonword,,,,,anonymous,,,
opdev,229,1,neg_nonword,,,,,operational deviation,,,
monica,225,1,neg_nonword,,,,,,add to dictionary,,
xmitter,223,1,neg_nonword,,,,,transmitter,,,
canarsie,222,1,neg_nonword,,,,,,add to dictionary,,
mcguire,221,1,neg_nonword,,,,,,add to dictionary,,
capts,219,1,neg_nonword,,,,,captains,,,
readbacks,218,1,neg_nonword,,,,,,add to dictionary,,
walkaround,213,1,neg_nonword,,,,,,add to dictionary,,
manassas,212,1,neg_nonword,,,,,,add to dictionary,,
nuys,212,1,neg_nonword,,,,,,add to dictionary,,
pensacola,211,1,neg_nonword,,,,,,add to dictionary,,
rechked,202,1,neg_nonword,,,,,rechecked,,,
pilotage,197,1,neg_nonword,,,,,,add to dictionary,,
apches,197,1,neg_nonword,,,,,approaches,,,
uncoord,197,1,neg_nonword,,,,,uncoordinated,,,
embraer,195,1,neg_nonword,,,,,,add to dictionary,,
archi,193,1,neg_nonword,,,,,architect,,,
hcf,193,1,neg_nonword,,,,,,,add to airport dictionary,
autothrust,192,1,neg_nonword,,,,,,add to dictionary,,
nv,192,1,neg_nonword,,,,,,add to dictionary,,
patuxent,189,1,neg_nonword,,,,,,add to dictionary,,
atlantic,189,1,neg_nonword,,,,,,add to dictionary,,
carj,189,1,neg_nonword,,,,,carrier jet,,,
detent,188,1,neg_nonword,,,,,,add to dictionary,,
dalton,188,1,neg_nonword,,,,,,add to dictionary,,
idale,188,1,neg_nonword,,,,,,,,
arwy,187,1,neg_nonword,,,,,airway,,,
harrisburg,186,1,neg_nonword,,,,,,add to dictionary,,
intxns,185,1,neg_nonword,,,,,intersection,,,
runup,185,1,neg_nonword,,,,,,add to dictionary,,
luke,182,1,neg_nonword,,,,,,,,
patrick,180,1,neg_nonword,,,,,,,,
cenrap,176,1,neg_nonword,,,,,center radar presentation,,,
kayoh,174,1,neg_nonword,,,,,,add to dictionary,,
unrestr,172,1,neg_nonword,,,,,unrestricted,,,
microburst,172,1,neg_nonword,,,,,,add to dictionary,,
nellis,171,1,neg_nonword,,,,,,,add to airport dictionary,
autoland,170,1,neg_nonword,,,,,,add to dictionary,,
brasilia,168,1,neg_nonword,,,,,,add to dictionary,,
uav,168,1,neg_nonword,,,,,,,,
xchked,167,1,neg_nonword,,,,,crosschecked,,,
unclr,166,1,neg_nonword,,,,,unclear,,,
foreflight,166,1,neg_nonword,,,,,unclear,,,
charlie,165,1,neg_nonword,,,,,charlie,,,
stepdown,163,1,neg_nonword,,,,,,add to dictionary,,
mugu,161,1,neg_nonword,,,,,,,,
albany,160,1,neg_nonword,,,,,,add to dictionary,,
forecasted,158,1,neg_nonword,,,,,,add to dictionary,,
precip,158,1,neg_nonword,,,,,precipitation,,,
nwbound,157,1,neg_nonword,,,,,northwestbound,,,
xponders,157,1,neg_nonword,,,,,transponders,,,
rting,157,1,neg_nonword,,,,,reporting,,,
trsa,157,1,neg_nonword,,,,,terminal radar service,,,
roppr,156,1,neg_nonword,,,,,,,,
duats,156,1,neg_nonword,,,,,,,,
andrews,155,1,neg_nonword,,,,,,,,
fcu,155,1,neg_nonword,,,,,,,,
hvt,155,1,neg_nonword,,,,,,,,
glidepath,155,1,neg_nonword,,,,,,,,
joshua,154,1,neg_nonword,,,,,,,,
logan,154,1,neg_nonword,,,,,,,,
az,153,1,neg_nonword,,,,,,,,
riivr,153,1,neg_nonword,,,,,,,,
flch,152,1,neg_nonword,,,,,,,,
monterey,152,1,neg_nonword,,,,,,,,
jeppesen,151,1,neg_nonword,,,,,,,,
mach,151,1,neg_nonword,,,,,,,,
nebound,150,1,neg_nonword,,,,,,,,
meigs,150,1,neg_nonword,,,,,,,,
confliction,149,1,neg_nonword,,,,,,,,
prado,148,1,neg_nonword,,,,,,,,
sc,147,1,neg_nonword,,,,,,,,
clarr,147,1,neg_nonword,,,,,,,,
shead,146,1,neg_nonword,,,,,,,,
kepec,146,1,neg_nonword,,,,,,,,
interfac,146,1,neg_nonword,,,,,,,,
sadde,144,1,neg_nonword,,,,,,,,
ivsi,144,1,neg_nonword,,,,,,,,
xchking,144,1,neg_nonword,,,,,,,,
doublechk,143,1,neg_nonword,,,,,,,,
xfeed,142,1,neg_nonword,,,,,,,,
