Acronym,acronym,Fullform6,link4
RWY,rwy,Runway,https://www.acronymfinder.com/RWY.html
TWR,twr,Tower,https://www.acronymfinder.com/TWR.html
CTLR,ctlr,Computer and telecommunication law review,https://www.acronymfinder.com/CTLR.html
LNDG,lndg,Landing,https://acronyms.thefreedictionary.com/LNDG
TFC,tfc,Transit flying chart,https://www.acronymfinder.com/Transit-Flying-Chart-(aviation)-(TFC).html
CLRNC,clrnc,Clearance,https://sofemaonline.com/faqs/aviation-abbreviations-glossary/clrnc
CLRED,clred,Clear,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
ARPT,arpt,Airport,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
TKOF,tkof,Take off,https://acronym24.com/tkof-meaning-in-aviation/
FO,fo,First officer,https://www.flightdeckfriend.com/become-an-airline-pilot/pilot-and-aviation-abbreviations/
RPTR,rptr,Pilot,https://www.allacronyms.com/PLT/aviation
DEGS,degs,Degrees,http://www.moratech.com/aviation/metaf-abbrev.html
CLB,clb,climb,https://www.allacronyms.com/CLB/aviation
TXWY,txwy,Taxiway,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
DSCNT,dscnt,Descent,https://www.allacronyms.com/DSCNT
VFR,vfr,Visual flight rules,https://www.allacronyms.com/VFR
WX,wx,Weather,http://wxbrad.com/why-wx-is-the-abbreviation-for-weather/
MINS,mins,Micro INS,https://www.rockwellcollins.com/Products-and-Services/Defense/Navigation/Airborne-Products/Attitude-and-Heading-Reference-System/Micro-INS---MINS.aspx
VOR,vor,VHF omnidirectional radio range,https://www.skybrary.aero/index.php/VHF_Omnidirectional_Radio_Range_(VOR)
EMER,emer,Emergency,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
RPTED,rpted,Regular public transport,https://www.atsb.gov.au/media/761362/rpt_aircraft_in_mtaf_airspace.pdf
RA,ra,Resolution Advisory,https://aviationglossary.com/resolution-advisory-ra/
PROC,proc,Proceed,https://www.allacronyms.com/PROC/aviation
BTWN,btwn,Between,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
CHKED,chked,Check,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
RPT,rpt,Report,https://www.allacronyms.com/RPT
PLTS,plts,Pilots,https://www.allacronyms.com/PLTS
PROCS,procs,Procedure,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
INTXN,intxn,Intersection,https://www.allacronyms.com/INTXN
DSND,dsnd,Descend,https://www.allacronyms.com/DSND
XING,xing,crossing,https://en.wiktionary.org/wiki/xing
PROBS,probs,Problem,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
TURB,turb,Turbulence,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
QRH,qrh,Quick Reference Handbook,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
SUPVR,supvr,supervisor,https://www.allacronyms.com/SUPVR.
RESTR,restr,Restrict,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
CLBED,clbed,Climb,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
ENRTE,enrte,En Route,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
CTLRS,ctlrs,Controller,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
MECH,mech,Mechanic,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
TCAS,tcas,Traffic collision avoidance system,https://www.allacronyms.com/TCAS
FMC,fmc,Flight Management Computer,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
RWYS,rwys,Runways,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
RNAV,rnav,Area Navigation,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
FBO,fbo,Fixed base operator,https://www.allacronyms.com/FBO
PNF,pnf,Pilot not flying,https://www.allacronyms.com/FBO
ENGS,engs,Engines,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
VMC,vmc,Marine fighter squadron,https://www.allacronyms.com/VMF
HELI,heli,Heliport,https://www.allacronyms.com/HELI
SMT,smt,standard message text,https://www.allacronyms.com/TCAS
COMS,coms,Cockpit Operating manual,https://www.gofir.com/aviation_abbreviations.htm
EICAS,eicas,Engine indicating and crew alerting system,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
KIAS,kias,Knots indicated airspeed,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
DISTR,distr,DITData Ld Table,https://www.allacronyms.com/DISTR
NOTAM,notam,Notice to Airmen,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ECAM,ecam,Electronic Centralized Aircraft Monitoring,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
APCHS,apchs,Approaches,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
FLTS,flts,Flight Line Test Set,https://www.allacronyms.com/FLTS
FREQS,freqs,Frequency,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
HDOF,hdof,Handoff,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
ARPTS,arpts,Airports,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
MGMNT,mgmnt,Management,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
FLC,flc,Flight Crew,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
SE,se,Single Engine,https://www.flightdeckfriend.com/become-an-airline-pilot/pilot-and-aviation-abbreviations/
SW,sw,Single Wheel landing gear,https://www.allacronyms.com/SW/aviation
XWIND,xwind,Crosswind,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
VNAV,vnav,Vertical Navigation,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
TSTMS,tstms,Thunderstorm,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
DEPS,deps,Data entry plug,https://www.gofir.com/aviation_acronyms.htm
CHKS,chks,Check,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
PROX,prox,Proximity,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
MECHS,mechs,Mechanic,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
SOCAL,socal,South California,http://www.scaa.memberlodge.com/news?pg=5
TXWYS,txwys,Taxiways,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
MR,mr,†Maritime Reconnaissance,https://www.quora.com/What-is-the-meaning-of-Pilot-MR-in-the-Indian-Navy
CLRLY,clrly,clear,https://www.gofir.com/aviation_acronyms.htm
OVCST,ovcst,Overcast,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
INSTS,insts,Instruments,https://en.wikipedia.org/wiki/Flight_instruments
INFLT,inflt,Inflight,https://cospilot.wordpress.com/aviation-and-crj-acronyms/
LNDGS,lndgs,Landing,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
EVAC,evac,Evacuate,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
