ACRONYM,acronym,Fullform7,link7
AGL ,agl ,Above Ground Level ,NASA ASRS
ATA ,ata ,Actual Time Of Arrival ,NASA ASRS
ATD ,atd ,Actual Time Of Departure ,NASA ASRS
AERO ,aero ,Aeronautical ,NASA ASRS
AIM ,aim ,Aeronautical Information Manual ,NASA ASRS
ACR ,acr ,Air Carrier ,NASA ASRS
ADC ,adc ,Air Data Computer ,NASA ASRS
ADIZ ,adiz ,Air Defense Identification Zone ,NASA ASRS
ADG ,adg ,Air Driven Generator ,NASA ASRS
AFB ,afb ,Air Force Base ,NASA ASRS
ANG ,ang ,Air National Guard ,NASA ASRS
ARSR ,arsr ,Air Route Surveillance Radar ,NASA ASRS
ARTCC ,artcc ,Air Route Traffic Control Center ,NASA ASRS
ATA ,ata ,Air Traffic Area ,NASA ASRS
ATC ,atc ,Air Traffic Control ,NASA ASRS
ACFT ,acft ,Aircraft ,NASA ASRS
ATP ,atp ,Airline Transport Pilot Certificate ,NASA ASRS
ATR ,atr ,Airline Transport Rating ,NASA ASRS
ARPT,arpt,Airport ,NASA ASRS
ARPTS,arpts,Airports,NASA ASRS
AFD ,afd ,Airport Directory ,NASA ASRS
ASR ,asr ,Airport Surveillance Radar ,NASA ASRS
ATCT ,atct ,Airport Traffic Control Tower ,NASA ASRS
ATOG ,atog ,Allowable Takeoff Gross Weight ,NASA ASRS
AC ,ac ,Alternating Current ,NASA ASRS
ALT,alt,Altitude ,NASA ASRS
ALTS,alts,Altitudes,NASA ASRS
ALTDEV ,altdev ,Altitude Deviation ,NASA ASRS
AMB ,amb ,Ambiguity ,NASA ASRS
AM ,am ,Ante Meridiem ,NASA ASRS
APCHS,apchs,Approachs ,NASA ASRS
APCHED,apched,Approached,NASA ASRS
APCHING ,apching ,Approaching,NASA ASRS
APCH CTL ,apch ctl ,Approach Control ,NASA ASRS
APPROX ,approx ,Approximately ,NASA ASRS
RNAV ,rnav ,Area Navigation ,NASA ASRS
ARR ,arr ,"Arrival, Arrive ",NASA ASRS
ASAP ,asap ,As Soon As Possible ,NASA ASRS
ATTN ,attn ,Attention ,NASA ASRS
ADI ,adi ,Attitude Direction Indicator ,NASA ASRS
AUTH ,auth ,Authority/Authorized ,NASA ASRS
AFSS ,afss ,Automated Flight Service Station ,NASA ASRS
ARTS ,arts ,Automated Radar Terminal Systems ,NASA ASRS
ASOS/AWOS ,asos/awos ,Automated Surface Observation Sys (Or Weather Observation Sys) ,NASA ASRS
ASOS,asos,Automated Surface Observation Sys (Or Weather Observation Sys) ,NASA ASRS
