,acronym,0,abrev,tag,casa_fullform,faa_fullform,iata_fullform
5,info:,3321.0,0,neg_nonalpha_abrev,,,
8,2),2843.0,0,neg_nonalpha_abrev,,,
9,1),2842.0,0,neg_nonalpha_abrev,,,
10,f/o,2826.0,0,neg_nonalpha_abrev,,,
16,3),1914.0,0,neg_nonalpha_abrev,,,
17,3000',1824.0,0,neg_nonalpha_abrev,,,
18,5000',1773.0,0,neg_nonalpha_abrev,,,
19,4000',1713.0,0,neg_nonalpha_abrev,,,
20,ft),1579.0,0,neg_nonalpha_abrev,,,
24,w/o,1394.0,0,neg_nonalpha_abrev,,,
25,10000',1347.0,0,neg_nonalpha_abrev,,,
26,factors:,1292.0,0,neg_nonalpha_abrev,,,
28,'no,1241.0,0,neg_nonalpha_abrev,,,
29,6000',1227.0,0,neg_nonalpha_abrev,,,
31,'i,1166.0,0,neg_nonalpha_abrev,,,
32,7000',1147.0,0,neg_nonalpha_abrev,,,
33,2000',1138.0,0,neg_nonalpha_abrev,,,
40,'clred,1026.0,0,neg_nonalpha_abrev,,,
41,4),1017.0,0,neg_nonalpha_abrev,,,
42,8000',1005.0,0,neg_nonalpha_abrev,,,
44,'clb,931.0,0,neg_nonalpha_abrev,,,
47,'maintain,902.0,0,neg_nonalpha_abrev,,,
48,following:,889.0,0,neg_nonalpha_abrev,,,
50,'turn,843.0,0,neg_nonalpha_abrev,,,
58,9000',764.0,0,neg_nonalpha_abrev,,,
60,[the,757.0,0,neg_nonalpha_abrev,,,
62,pf),749.0,0,neg_nonalpha_abrev,,,
63,'tfc,743.0,0,neg_nonalpha_abrev,,,
65,11000',729.0,0,neg_nonalpha_abrev,,,
66,'we,727.0,0,neg_nonalpha_abrev,,,
67,2500',725.0,0,neg_nonalpha_abrev,,,
69,and/or,713.0,0,neg_nonalpha_abrev,,,
72,'dsnd,700.0,0,neg_nonalpha_abrev,,,
73,degs),694.0,0,neg_nonalpha_abrev,,,
74,'you,689.0,0,neg_nonalpha_abrev,,,
82,1000',645.0,0,neg_nonalpha_abrev,,,
