,tracon,year,month,ntsb_incidents,ntsb_accidents,faa_incidents,faa_ntsb_overlap,NTSB_FAA_incidents_total,NTSB_FAA_incidents_total_nodups
0,ATL,1988,1,0.0,0.0,1.0,0,1.0,1.0
1,ATL,1988,3,1.0,0.0,4.0,1,5.0,4.0
2,ATL,1988,4,1.0,0.0,0.0,0,1.0,1.0
3,ATL,1988,5,0.0,2.0,0.0,0,2.0,2.0
4,ATL,1988,6,0.0,0.0,2.0,0,2.0,2.0
5,ATL,1988,8,3.0,0.0,3.0,3,6.0,3.0
6,ATL,1988,10,0.0,0.0,2.0,0,2.0,2.0
7,ATL,1988,11,0.0,0.0,1.0,0,1.0,1.0
8,ATL,1988,12,1.0,0.0,2.0,1,3.0,2.0
9,ATL,1989,1,0.0,0.0,2.0,0,2.0,2.0
10,ATL,1989,6,0.0,1.0,0.0,0,1.0,1.0
11,ATL,1989,8,0.0,1.0,0.0,0,1.0,1.0
12,ATL,1989,9,0.0,0.0,5.0,0,5.0,5.0
13,ATL,1989,10,0.0,0.0,3.0,0,3.0,3.0
14,ATL,1989,11,1.0,1.0,1.0,1,3.0,2.0
15,ATL,1989,12,0.0,0.0,3.0,0,3.0,3.0
16,ATL,1990,1,0.0,2.0,6.0,0,8.0,8.0
17,ATL,1990,2,0.0,0.0,2.0,0,2.0,2.0
18,ATL,1990,3,1.0,0.0,5.0,1,6.0,5.0
19,ATL,1990,5,1.0,0.0,2.0,0,3.0,3.0
20,ATL,1990,6,2.0,0.0,2.0,2,4.0,2.0
21,ATL,1990,8,0.0,0.0,3.0,0,3.0,3.0
22,ATL,1990,9,0.0,0.0,2.0,0,2.0,2.0
23,ATL,1990,10,0.0,0.0,2.0,0,2.0,2.0
24,ATL,1990,11,0.0,0.0,3.0,0,3.0,3.0
25,ATL,1990,12,0.0,0.0,1.0,0,1.0,1.0
26,ATL,1991,1,0.0,0.0,1.0,0,1.0,1.0
27,ATL,1991,3,0.0,0.0,2.0,0,2.0,2.0
28,ATL,1991,4,0.0,0.0,2.0,0,2.0,2.0
29,ATL,1991,5,0.0,1.0,0.0,0,1.0,1.0
30,ATL,1991,7,0.0,0.0,1.0,0,1.0,1.0
31,ATL,1991,11,1.0,0.0,2.0,1,3.0,2.0
32,ATL,1992,1,0.0,0.0,1.0,0,1.0,1.0
33,ATL,1992,6,1.0,0.0,1.0,1,2.0,1.0
34,ATL,1992,7,0.0,0.0,1.0,0,1.0,1.0
35,ATL,1992,10,0.0,1.0,2.0,0,3.0,3.0
36,ATL,1992,11,0.0,1.0,1.0,0,2.0,2.0
37,ATL,1993,2,0.0,0.0,1.0,0,1.0,1.0
38,ATL,1993,3,0.0,0.0,1.0,0,1.0,1.0
39,ATL,1993,5,0.0,0.0,1.0,0,1.0,1.0
40,ATL,1993,7,0.0,0.0,1.0,0,1.0,1.0
41,ATL,1993,9,0.0,0.0,1.0,0,1.0,1.0
42,ATL,1993,11,0.0,0.0,1.0,0,1.0,1.0
43,ATL,1993,12,0.0,0.0,2.0,0,2.0,2.0
44,ATL,1994,1,0.0,0.0,1.0,0,1.0,1.0
45,ATL,1994,3,0.0,0.0,1.0,0,1.0,1.0
46,ATL,1994,5,0.0,0.0,1.0,0,1.0,1.0
47,ATL,1994,6,0.0,0.0,1.0,0,1.0,1.0
48,ATL,1994,7,0.0,0.0,1.0,0,1.0,1.0
49,ATL,1994,12,0.0,0.0,1.0,0,1.0,1.0
50,ATL,1995,1,1.0,0.0,2.0,1,3.0,2.0
51,ATL,1995,2,0.0,0.0,2.0,0,2.0,2.0
52,ATL,1995,3,0.0,0.0,1.0,0,1.0,1.0
53,ATL,1995,4,0.0,0.0,1.0,0,1.0,1.0
54,ATL,1995,6,0.0,1.0,3.0,0,4.0,4.0
55,ATL,1995,12,0.0,1.0,1.0,0,2.0,2.0
56,ATL,1996,1,0.0,0.0,2.0,0,2.0,2.0
57,ATL,1996,2,0.0,0.0,1.0,0,1.0,1.0
58,ATL,1996,3,0.0,0.0,1.0,0,1.0,1.0
59,ATL,1996,5,0.0,0.0,2.0,0,2.0,2.0
60,ATL,1996,8,0.0,0.0,1.0,0,1.0,1.0
61,ATL,1996,9,0.0,0.0,1.0,0,1.0,1.0
62,ATL,1996,10,0.0,0.0,3.0,0,3.0,3.0
63,ATL,1996,11,0.0,0.0,1.0,0,1.0,1.0
64,ATL,1996,12,0.0,0.0,1.0,0,1.0,1.0
65,ATL,1997,1,1.0,0.0,1.0,0,2.0,2.0
66,ATL,1997,2,1.0,0.0,2.0,1,3.0,2.0
67,ATL,1997,5,0.0,0.0,2.0,0,2.0,2.0
68,ATL,1997,9,0.0,0.0,1.0,0,1.0,1.0
69,ATL,1998,11,1.0,1.0,0.0,0,2.0,2.0
70,ATL,1999,1,0.0,0.0,2.0,0,2.0,2.0
71,ATL,1999,7,0.0,0.0,1.0,0,1.0,1.0
72,ATL,1999,11,0.0,0.0,1.0,0,1.0,1.0
73,ATL,2000,11,0.0,1.0,0.0,0,1.0,1.0
74,ATL,2000,12,0.0,0.0,2.0,0,2.0,2.0
75,ATL,2001,3,0.0,0.0,1.0,0,1.0,1.0
76,ATL,2001,6,1.0,0.0,1.0,1,2.0,1.0
77,ATL,2002,1,0.0,0.0,1.0,0,1.0,1.0
78,ATL,2002,4,0.0,1.0,0.0,0,1.0,1.0
79,ATL,2002,5,0.0,1.0,0.0,0,1.0,1.0
80,ATL,2002,6,0.0,1.0,0.0,0,1.0,1.0
81,ATL,2002,8,0.0,0.0,1.0,0,1.0,1.0
82,ATL,2003,3,0.0,1.0,0.0,0,1.0,1.0
83,ATL,2003,5,0.0,0.0,1.0,0,1.0,1.0
84,ATL,2003,6,0.0,0.0,2.0,0,2.0,2.0
85,ATL,2003,8,0.0,1.0,2.0,0,3.0,3.0
86,ATL,2003,9,0.0,0.0,2.0,0,2.0,2.0
87,ATL,2003,10,0.0,0.0,1.0,0,1.0,1.0
88,ATL,2003,11,0.0,0.0,3.0,0,3.0,3.0
89,ATL,2003,12,0.0,0.0,2.0,0,2.0,2.0
90,ATL,2004,1,0.0,0.0,1.0,0,1.0,1.0
91,ATL,2004,3,1.0,0.0,2.0,1,3.0,2.0
92,ATL,2004,7,1.0,0.0,1.0,1,2.0,1.0
93,ATL,2004,12,0.0,0.0,1.0,0,1.0,1.0
94,ATL,2006,4,0.0,0.0,1.0,0,1.0,1.0
95,ATL,2006,7,0.0,0.0,1.0,0,1.0,1.0
96,ATL,2006,11,0.0,0.0,1.0,0,1.0,1.0
97,ATL,2007,1,1.0,0.0,0.0,0,1.0,1.0
98,ATL,2007,3,0.0,0.0,1.0,0,1.0,1.0
99,ATL,2007,4,1.0,0.0,0.0,0,1.0,1.0
100,ATL,2007,5,1.0,0.0,1.0,1,2.0,1.0
101,ATL,2007,7,0.0,1.0,0.0,0,1.0,1.0
102,ATL,2009,1,1.0,1.0,2.0,1,4.0,3.0
103,ATL,2009,3,0.0,1.0,0.0,0,1.0,1.0
104,ATL,2009,6,1.0,0.0,1.0,1,2.0,1.0
105,ATL,2009,10,1.0,1.0,1.0,1,3.0,2.0
106,ATL,2009,11,0.0,0.0,3.0,0,3.0,3.0
107,ATL,2009,12,0.0,0.0,14.0,0,14.0,14.0
108,ATL,2010,1,0.0,0.0,6.0,0,6.0,6.0
109,ATL,2010,2,0.0,0.0,7.0,0,7.0,7.0
110,ATL,2010,3,0.0,0.0,2.0,0,2.0,2.0
111,ATL,2010,5,0.0,0.0,3.0,0,3.0,3.0
112,ATL,2010,7,1.0,0.0,0.0,0,1.0,1.0
113,ATL,2010,9,0.0,0.0,1.0,0,1.0,1.0
114,ATL,2010,11,0.0,0.0,1.0,0,1.0,1.0
115,ATL,2011,2,0.0,0.0,1.0,0,1.0,1.0
116,ATL,2011,3,1.0,0.0,0.0,0,1.0,1.0
117,ATL,2011,5,0.0,3.0,2.0,1,5.0,4.0
118,ATL,2011,6,0.0,0.0,1.0,0,1.0,1.0
119,ATL,2011,10,2.0,1.0,1.0,1,4.0,3.0
120,ATL,2011,12,0.0,2.0,0.0,0,2.0,2.0
121,ATL,2012,3,0.0,0.0,1.0,0,1.0,1.0
122,ATL,2013,3,0.0,1.0,0.0,0,1.0,1.0
123,ATL,2013,5,1.0,0.0,1.0,1,2.0,1.0
124,ATL,2013,6,0.0,0.0,1.0,0,1.0,1.0
125,ATL,2014,1,0.0,1.0,0.0,0,1.0,1.0
126,ATL,2014,9,1.0,0.0,0.0,0,1.0,1.0
127,ATL,2014,11,0.0,0.0,1.0,0,1.0,1.0
128,ATL,2016,10,0.0,0.0,1.0,0,1.0,1.0
129,ATL,2017,6,0.0,1.0,0.0,0,1.0,1.0
130,ATL,2018,4,0.0,1.0,0.0,0,1.0,1.0
131,ATL,2019,4,0.0,1.0,0.0,0,1.0,1.0
132,ATL,2019,6,0.0,0.0,1.0,0,1.0,1.0
373,BOS,1988,2,0.0,0.0,3.0,0,3.0,3.0
374,BOS,1988,3,1.0,0.0,2.0,1,3.0,2.0
375,BOS,1988,4,0.0,0.0,1.0,0,1.0,1.0
376,BOS,1988,5,0.0,0.0,1.0,0,1.0,1.0
377,BOS,1988,7,0.0,0.0,2.0,0,2.0,2.0
378,BOS,1988,8,0.0,0.0,1.0,0,1.0,1.0
379,BOS,1988,9,0.0,0.0,1.0,0,1.0,1.0
380,BOS,1988,11,2.0,0.0,3.0,1,5.0,4.0
381,BOS,1989,1,0.0,0.0,2.0,0,2.0,2.0
382,BOS,1989,2,0.0,0.0,2.0,0,2.0,2.0
383,BOS,1989,5,0.0,0.0,2.0,0,2.0,2.0
384,BOS,1989,7,0.0,0.0,1.0,0,1.0,1.0
385,BOS,1989,8,1.0,0.0,1.0,1,2.0,1.0
386,BOS,1989,9,0.0,1.0,0.0,0,1.0,1.0
387,BOS,1989,11,0.0,0.0,2.0,0,2.0,2.0
388,BOS,1990,1,0.0,0.0,2.0,0,2.0,2.0
389,BOS,1990,2,0.0,0.0,1.0,0,1.0,1.0
390,BOS,1990,3,0.0,0.0,2.0,0,2.0,2.0
391,BOS,1990,4,0.0,0.0,2.0,0,2.0,2.0
392,BOS,1990,6,0.0,0.0,1.0,0,1.0,1.0
393,BOS,1990,8,0.0,1.0,2.0,0,3.0,3.0
394,BOS,1990,9,0.0,0.0,1.0,0,1.0,1.0
395,BOS,1990,11,0.0,0.0,2.0,0,2.0,2.0
396,BOS,1991,1,0.0,0.0,2.0,0,2.0,2.0
397,BOS,1991,2,0.0,0.0,1.0,0,1.0,1.0
398,BOS,1991,4,0.0,0.0,1.0,0,1.0,1.0
399,BOS,1991,5,0.0,0.0,1.0,0,1.0,1.0
400,BOS,1991,6,1.0,0.0,3.0,1,4.0,3.0
401,BOS,1991,9,0.0,1.0,1.0,0,2.0,2.0
402,BOS,1991,10,0.0,1.0,1.0,0,2.0,2.0
403,BOS,1991,11,0.0,0.0,1.0,0,1.0,1.0
404,BOS,1992,2,0.0,0.0,1.0,0,1.0,1.0
405,BOS,1992,4,0.0,0.0,2.0,0,2.0,2.0
406,BOS,1992,5,0.0,0.0,1.0,0,1.0,1.0
407,BOS,1992,6,0.0,1.0,1.0,0,2.0,2.0
408,BOS,1992,8,0.0,0.0,1.0,0,1.0,1.0
409,BOS,1992,9,0.0,0.0,1.0,0,1.0,1.0
410,BOS,1992,10,0.0,0.0,1.0,0,1.0,1.0
411,BOS,1993,2,0.0,0.0,1.0,0,1.0,1.0
412,BOS,1993,3,0.0,0.0,1.0,0,1.0,1.0
413,BOS,1994,2,0.0,0.0,1.0,0,1.0,1.0
414,BOS,1994,11,0.0,0.0,1.0,0,1.0,1.0
415,BOS,1994,12,0.0,0.0,1.0,0,1.0,1.0
416,BOS,1995,2,0.0,0.0,1.0,0,1.0,1.0
417,BOS,1995,4,0.0,0.0,1.0,0,1.0,1.0
418,BOS,1995,10,0.0,0.0,1.0,0,1.0,1.0
419,BOS,1996,5,1.0,0.0,0.0,0,1.0,1.0
420,BOS,1996,6,0.0,0.0,1.0,0,1.0,1.0
421,BOS,1996,7,0.0,1.0,0.0,0,1.0,1.0
422,BOS,1996,10,0.0,0.0,1.0,0,1.0,1.0
423,BOS,1997,5,0.0,0.0,1.0,0,1.0,1.0
424,BOS,1997,7,0.0,0.0,1.0,0,1.0,1.0
425,BOS,1997,8,0.0,0.0,1.0,0,1.0,1.0
426,BOS,1997,11,0.0,0.0,1.0,0,1.0,1.0
427,BOS,1998,2,0.0,0.0,1.0,0,1.0,1.0
428,BOS,1998,6,0.0,0.0,2.0,0,2.0,2.0
429,BOS,1998,10,0.0,0.0,2.0,0,2.0,2.0
430,BOS,1999,4,0.0,1.0,0.0,0,1.0,1.0
431,BOS,1999,6,0.0,0.0,1.0,0,1.0,1.0
432,BOS,1999,7,0.0,0.0,3.0,0,3.0,3.0
433,BOS,1999,12,0.0,0.0,1.0,0,1.0,1.0
434,BOS,2000,1,0.0,0.0,1.0,0,1.0,1.0
435,BOS,2000,2,1.0,1.0,1.0,1,3.0,2.0
436,BOS,2000,3,2.0,0.0,0.0,0,2.0,2.0
437,BOS,2000,7,0.0,0.0,1.0,0,1.0,1.0
438,BOS,2000,9,0.0,1.0,0.0,0,1.0,1.0
439,BOS,2000,10,0.0,0.0,1.0,0,1.0,1.0
440,BOS,2000,11,0.0,0.0,1.0,0,1.0,1.0
441,BOS,2000,12,0.0,1.0,1.0,0,2.0,2.0
442,BOS,2001,2,0.0,3.0,0.0,0,3.0,3.0
443,BOS,2001,3,1.0,0.0,1.0,0,2.0,2.0
444,BOS,2001,4,0.0,2.0,1.0,0,3.0,3.0
445,BOS,2001,6,0.0,0.0,1.0,0,1.0,1.0
446,BOS,2001,7,0.0,1.0,0.0,0,1.0,1.0
447,BOS,2001,8,0.0,0.0,1.0,0,1.0,1.0
448,BOS,2001,10,0.0,0.0,2.0,0,2.0,2.0
449,BOS,2001,11,0.0,0.0,1.0,0,1.0,1.0
450,BOS,2001,12,0.0,2.0,1.0,0,3.0,3.0
451,BOS,2002,1,0.0,0.0,2.0,0,2.0,2.0
452,BOS,2002,2,0.0,0.0,1.0,0,1.0,1.0
453,BOS,2002,3,0.0,0.0,1.0,0,1.0,1.0
454,BOS,2002,4,0.0,0.0,1.0,0,1.0,1.0
455,BOS,2002,7,0.0,0.0,1.0,0,1.0,1.0
456,BOS,2002,8,0.0,0.0,1.0,0,1.0,1.0
457,BOS,2002,9,0.0,0.0,4.0,0,4.0,4.0
458,BOS,2002,10,1.0,0.0,1.0,1,2.0,1.0
459,BOS,2003,2,0.0,0.0,1.0,0,1.0,1.0
460,BOS,2003,4,0.0,0.0,1.0,0,1.0,1.0
461,BOS,2003,5,0.0,1.0,0.0,0,1.0,1.0
462,BOS,2003,6,0.0,1.0,2.0,0,3.0,3.0
463,BOS,2003,10,0.0,1.0,0.0,0,1.0,1.0
464,BOS,2003,11,0.0,0.0,1.0,0,1.0,1.0
465,BOS,2004,5,0.0,0.0,1.0,0,1.0,1.0
466,BOS,2004,9,0.0,0.0,3.0,0,3.0,3.0
