,year,month,tracon,num_obs,AtcAdvisoryMultCount_sum,word_count_sum,unique_word_count_sum,FAA_total_sum,FAA_unique_sum,NASA_total_sum,NASA_unique_sum,AtcAdvisoryMultCount_avg,word_count_avg,unique_word_count_avg,FAA_total_avg,FAA_unique_avg,NASA_total_avg,NASA_unique_avg
0,1988.0,1.0,ATL,3,3,1047,430,32,11,134,58,1.0,349.0,143.33333333333334,10.666666666666666,3.6666666666666665,44.666666666666664,19.333333333333332
27,1988.0,2.0,ATL,5,5,1610,811,74,31,200,105,1.0,322.0,162.2,14.8,6.2,40.0,21.0
55,1988.0,3.0,ATL,7,7,1250,770,30,13,141,79,1.0,178.57142857142858,110.0,4.285714285714286,1.8571428571428572,20.142857142857142,11.285714285714286
79,1988.0,4.0,ATL,1,1,53,39,4,2,6,4,1.0,53.0,39.0,4.0,2.0,6.0,4.0
126,1988.0,6.0,ATL,5,5,1498,777,37,21,205,96,1.0,299.6,155.4,7.4,4.2,41.0,19.2
151,1988.0,7.0,ATL,3,5,1072,478,28,11,127,58,1.6666666666666667,357.3333333333333,159.33333333333334,9.333333333333334,3.6666666666666665,42.333333333333336,19.333333333333332
178,1988.0,8.0,ATL,8,11,2410,1212,50,30,286,158,1.375,301.25,151.5,6.25,3.75,35.75,19.75
203,1988.0,9.0,ATL,5,6,1061,596,39,13,130,77,1.2,212.2,119.2,7.8,2.6,26.0,15.4
228,1988.0,10.0,ATL,4,5,756,402,19,9,77,42,1.25,189.0,100.5,4.75,2.25,19.25,10.5
278,1988.0,12.0,ATL,5,5,745,447,33,17,125,72,1.0,149.0,89.4,6.6,3.4,25.0,14.4
300,1989.0,1.0,ATL,8,8,849,559,35,20,100,67,1.0,106.125,69.875,4.375,2.5,12.5,8.375
326,1989.0,2.0,ATL,7,7,1726,889,50,25,208,108,1.0,246.57142857142858,127.0,7.142857142857143,3.5714285714285716,29.714285714285715,15.428571428571429
351,1989.0,3.0,ATL,2,2,418,239,6,4,46,26,1.0,209.0,119.5,3.0,2.0,23.0,13.0
380,1989.0,4.0,ATL,2,2,92,77,6,4,16,12,1.0,46.0,38.5,3.0,2.0,8.0,6.0
406,1989.0,5.0,ATL,2,2,358,203,20,9,63,36,1.0,179.0,101.5,10.0,4.5,31.5,18.0
435,1989.0,6.0,ATL,7,7,1330,719,68,30,160,87,1.0,190.0,102.71428571428571,9.714285714285714,4.285714285714286,22.857142857142858,12.428571428571429
462,1989.0,7.0,ATL,7,7,1512,793,28,14,154,75,1.0,216.0,113.28571428571429,4.0,2.0,22.0,10.714285714285714
487,1989.0,8.0,ATL,7,8,837,528,22,15,94,62,1.1428571428571428,119.57142857142857,75.42857142857143,3.142857142857143,2.142857142857143,13.428571428571429,8.857142857142858
515,1989.0,9.0,ATL,6,10,1028,614,36,24,110,78,1.6666666666666667,171.33333333333334,102.33333333333333,6.0,4.0,18.333333333333332,13.0
542,1989.0,10.0,ATL,7,8,2172,1075,68,25,269,130,1.1428571428571428,310.2857142857143,153.57142857142858,9.714285714285714,3.5714285714285716,38.42857142857143,18.571428571428573
570,1989.0,11.0,ATL,4,4,710,359,8,6,98,51,1.0,177.5,89.75,2.0,1.5,24.5,12.75
599,1989.0,12.0,ATL,10,10,2405,1243,65,31,280,154,1.0,240.5,124.3,6.5,3.1,28.0,15.4
626,1990.0,1.0,ATL,11,11,1923,1152,47,24,272,159,1.0,174.8181818181818,104.72727272727273,4.2727272727272725,2.1818181818181817,24.727272727272727,14.454545454545455
655,1990.0,2.0,ATL,13,14,3082,1649,95,48,365,220,1.0769230769230769,237.07692307692307,126.84615384615384,7.3076923076923075,3.6923076923076925,28.076923076923077,16.923076923076923
684,1990.0,3.0,ATL,29,31,7936,4111,335,142,1001,524,1.0689655172413792,273.6551724137931,141.75862068965517,11.551724137931034,4.896551724137931,34.51724137931034,18.06896551724138
711,1990.0,4.0,ATL,8,9,1609,917,54,31,220,127,1.125,201.125,114.625,6.75,3.875,27.5,15.875
741,1990.0,5.0,ATL,6,7,1491,812,61,26,229,134,1.1666666666666667,248.5,135.33333333333334,10.166666666666666,4.333333333333333,38.166666666666664,22.333333333333332
768,1990.0,6.0,ATL,9,11,2231,1214,72,35,283,154,1.2222222222222223,247.88888888888889,134.88888888888889,8.0,3.888888888888889,31.444444444444443,17.11111111111111
794,1990.0,7.0,ATL,3,3,885,439,24,7,114,48,1.0,295.0,146.33333333333334,8.0,2.3333333333333335,38.0,16.0
823,1990.0,8.0,ATL,15,15,4519,2163,122,61,531,259,1.0,301.26666666666665,144.2,8.133333333333333,4.066666666666666,35.4,17.266666666666666
850,1990.0,9.0,ATL,13,13,2450,1384,78,39,322,191,1.0,188.46153846153845,106.46153846153847,6.0,3.0,24.76923076923077,14.692307692307692
880,1990.0,10.0,ATL,8,8,1872,1015,38,17,276,153,1.0,234.0,126.875,4.75,2.125,34.5,19.125
907,1990.0,11.0,ATL,5,6,583,414,12,10,81,56,1.2,116.6,82.8,2.4,2.0,16.2,11.2
933,1990.0,12.0,ATL,9,10,2462,1222,66,43,320,176,1.1111111111111112,273.55555555555554,135.77777777777777,7.333333333333333,4.777777777777778,35.55555555555556,19.555555555555557
960,1991.0,1.0,ATL,8,9,1164,684,48,22,169,96,1.125,145.5,85.5,6.0,2.75,21.125,12.0
990,1991.0,2.0,ATL,6,7,1041,608,40,21,145,96,1.1666666666666667,173.5,101.33333333333333,6.666666666666667,3.5,24.166666666666668,16.0
1016,1991.0,3.0,ATL,7,7,1868,855,81,32,262,131,1.0,266.85714285714283,122.14285714285714,11.571428571428571,4.571428571428571,37.42857142857143,18.714285714285715
1043,1991.0,4.0,ATL,15,15,3123,1748,127,55,436,251,1.0,208.2,116.53333333333333,8.466666666666667,3.6666666666666665,29.066666666666666,16.733333333333334
1073,1991.0,5.0,ATL,5,5,1023,557,34,15,148,84,1.0,204.6,111.4,6.8,3.0,29.6,16.8
1101,1991.0,6.0,ATL,2,2,270,159,9,4,39,22,1.0,135.0,79.5,4.5,2.0,19.5,11.0
1129,1991.0,7.0,ATL,3,3,457,246,11,8,83,48,1.0,152.33333333333334,82.0,3.6666666666666665,2.6666666666666665,27.666666666666668,16.0
1157,1991.0,8.0,ATL,10,10,2123,1131,101,48,344,180,1.0,212.3,113.1,10.1,4.8,34.4,18.0
1186,1991.0,9.0,ATL,8,10,1432,843,46,27,200,124,1.25,179.0,105.375,5.75,3.375,25.0,15.5
1214,1991.0,10.0,ATL,7,7,1203,632,62,26,196,104,1.0,171.85714285714286,90.28571428571429,8.857142857142858,3.7142857142857144,28.0,14.857142857142858
1243,1991.0,11.0,ATL,9,12,3200,1540,158,62,395,207,1.3333333333333333,355.55555555555554,171.11111111111111,17.555555555555557,6.888888888888889,43.888888888888886,23.0
1272,1991.0,12.0,ATL,6,6,1317,709,52,29,196,112,1.0,219.5,118.16666666666667,8.666666666666666,4.833333333333333,32.666666666666664,18.666666666666668
1299,1992.0,1.0,ATL,11,11,1790,1093,54,33,280,178,1.0,162.72727272727272,99.36363636363636,4.909090909090909,3.0,25.454545454545453,16.181818181818183
1326,1992.0,2.0,ATL,8,9,1914,1018,59,31,297,156,1.125,239.25,127.25,7.375,3.875,37.125,19.5
1356,1992.0,3.0,ATL,8,8,1713,991,52,24,236,143,1.0,214.125,123.875,6.5,3.0,29.5,17.875
1386,1992.0,4.0,ATL,4,4,422,297,19,11,89,55,1.0,105.5,74.25,4.75,2.75,22.25,13.75
1414,1992.0,5.0,ATL,9,9,2018,1091,48,25,276,152,1.0,224.22222222222223,121.22222222222223,5.333333333333333,2.7777777777777777,30.666666666666668,16.88888888888889
1442,1992.0,6.0,ATL,8,8,1358,799,31,19,213,120,1.0,169.75,99.875,3.875,2.375,26.625,15.0
1468,1992.0,7.0,ATL,4,4,756,438,22,6,104,54,1.0,189.0,109.5,5.5,1.5,26.0,13.5
1495,1992.0,8.0,ATL,5,5,1067,596,50,18,159,88,1.0,213.4,119.2,10.0,3.6,31.8,17.6
1522,1992.0,9.0,ATL,4,4,875,482,23,14,105,61,1.0,218.75,120.5,5.75,3.5,26.25,15.25
1545,1992.0,10.0,ATL,8,8,1634,914,56,24,268,141,1.0,204.25,114.25,7.0,3.0,33.5,17.625
1573,1992.0,11.0,ATL,10,10,2105,1182,62,30,291,154,1.0,210.5,118.2,6.2,3.0,29.1,15.4
1600,1992.0,12.0,ATL,3,3,598,349,16,9,86,49,1.0,199.33333333333334,116.33333333333333,5.333333333333333,3.0,28.666666666666668,16.333333333333332
