,year,month,tracon_code,num_obs,AtcAdvisoryMultCount_sum,word_count_sum,unique_word_count_sum,FAA_total_sum,FAA_unique_sum,NASA_total_sum,NASA_unique_sum,AtcAdvisoryMultCount_avg,word_count_avg,unique_word_count_avg,FAA_total_avg,FAA_unique_avg,NASA_total_avg,NASA_unique_avg
0,1988,1,MSP,1,2,321,186,2,1,31,19,2.0,321.0,186.0,2.0,1.0,31.0,19.0
1,1988,5,DFW,1,1,237,137,7,4,25,10,1.0,237.0,137.0,7.0,4.0,25.0,10.0
2,1988,6,DFW,1,1,57,45,3,3,10,9,1.0,57.0,45.0,3.0,3.0,10.0,9.0
3,1988,8,LAX,1,1,495,215,12,4,51,23,1.0,495.0,215.0,12.0,4.0,51.0,23.0
4,1988,10,MSP,1,1,128,72,4,3,11,9,1.0,128.0,72.0,4.0,3.0,11.0,9.0
5,1988,10,PHL,1,1,59,48,1,1,4,4,1.0,59.0,48.0,1.0,1.0,4.0,4.0
6,1988,11,DCA,1,1,349,164,15,4,50,20,1.0,349.0,164.0,15.0,4.0,50.0,20.0
7,1989,1,DTW,1,1,71,48,3,2,7,6,1.0,71.0,48.0,3.0,2.0,7.0,6.0
8,1989,5,SFO,1,1,366,188,24,8,49,22,1.0,366.0,188.0,24.0,8.0,49.0,22.0
9,1989,8,TPA,1,2,139,84,1,1,16,8,2.0,139.0,84.0,1.0,1.0,16.0,8.0
10,1989,10,ORD,1,1,79,61,4,4,9,8,1.0,79.0,61.0,4.0,4.0,9.0,8.0
11,1989,12,JFK,1,2,106,70,2,1,14,12,2.0,106.0,70.0,2.0,1.0,14.0,12.0
12,1990,1,CLT,1,1,93,62,11,4,19,7,1.0,93.0,62.0,11.0,4.0,19.0,7.0
13,1990,1,LAX,1,1,133,80,3,2,17,10,1.0,133.0,80.0,3.0,2.0,17.0,10.0
14,1990,4,HNL,1,1,128,77,7,6,19,12,1.0,128.0,77.0,7.0,6.0,19.0,12.0
15,1990,7,ORD,1,1,116,66,2,1,18,8,1.0,116.0,66.0,2.0,1.0,18.0,8.0
16,1990,9,DEN,1,1,572,258,17,6,57,29,1.0,572.0,258.0,17.0,6.0,57.0,29.0
17,1990,10,ORD,1,1,218,125,8,4,31,19,1.0,218.0,125.0,8.0,4.0,31.0,19.0
18,1991,4,DFW,1,1,123,77,5,4,17,14,1.0,123.0,77.0,5.0,4.0,17.0,14.0
19,1991,4,DTW,1,1,826,340,24,6,133,35,1.0,826.0,340.0,24.0,6.0,133.0,35.0
20,1991,5,DFW,1,1,128,77,4,2,16,8,1.0,128.0,77.0,4.0,2.0,16.0,8.0
21,1991,6,MSP,1,1,153,94,4,3,14,11,1.0,153.0,94.0,4.0,3.0,14.0,11.0
22,1991,8,MIA,1,1,104,74,10,5,30,17,1.0,104.0,74.0,10.0,5.0,30.0,17.0
23,1991,10,BOS,1,1,331,160,5,1,34,20,1.0,331.0,160.0,5.0,1.0,34.0,20.0
24,1991,11,BWI,1,1,157,96,3,2,25,13,1.0,157.0,96.0,3.0,2.0,25.0,13.0
25,1991,12,CLT,1,1,257,128,7,4,32,19,1.0,257.0,128.0,7.0,4.0,32.0,19.0
26,1992,3,LAX,1,1,383,182,4,1,32,19,1.0,383.0,182.0,4.0,1.0,32.0,19.0
27,1992,3,ORD,1,1,39,33,0,0,8,7,1.0,39.0,33.0,0.0,0.0,8.0,7.0
28,1993,2,DEN,1,2,486,235,18,8,58,31,2.0,486.0,235.0,18.0,8.0,58.0,31.0
29,1993,2,MCO,1,1,180,107,4,4,24,18,1.0,180.0,107.0,4.0,4.0,24.0,18.0
30,1993,4,ATL,1,1,30,25,2,2,11,10,1.0,30.0,25.0,2.0,2.0,11.0,10.0
31,1993,6,ATL,1,1,342,151,2,2,57,21,1.0,342.0,151.0,2.0,2.0,57.0,21.0
32,1993,7,IAH,1,1,38,34,0,0,10,8,1.0,38.0,34.0,0.0,0.0,10.0,8.0
33,1993,7,ORD,1,1,279,139,9,4,42,21,1.0,279.0,139.0,9.0,4.0,42.0,21.0
34,1993,7,TPA,1,1,270,142,13,2,28,14,1.0,270.0,142.0,13.0,2.0,28.0,14.0
35,1993,10,DFW,1,1,149,94,10,5,31,18,1.0,149.0,94.0,10.0,5.0,31.0,18.0
36,1993,11,PHX,1,1,118,81,5,3,16,12,1.0,118.0,81.0,5.0,3.0,16.0,12.0
