,tracon,year,month,ntsb_incidents,ntsb_accidents,faa_incidents,faa_ntsb_overlap,NTSB_FAA_incidents_total,NTSB_FAA_incidents_total_nodups,num_obs,num_obs_sum,num_word_sum,num_word_avg,num_unique_word_sum,num_unique_word_avg,FAA_total_sum,FAA_total_avg,FAA_unique_sum,FAA_unique_avg,NASA_total_sum,NASA_total_avg,NASA_unique_sum,NASA_unique_avg,AtcAdvisoryMultCount_sum,AtcAdvisoryMultCount_avg
0,ATL,1988.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
1,ATL,1988.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1047.0,349.0,343.0,114.33333333333333,32.0,10.666666666666666,7.0,2.3333333333333335,134.0,44.666666666666664,46.0,15.333333333333334,3.0,1.0
2,ATL,1988.0,3.0,1.0,0.0,4.0,1.0,5.0,4.0,1.0,8.0,2657.0,332.125,704.0,88.0,106.0,13.25,19.0,2.375,334.0,41.75,84.0,10.5,8.0,1.0
3,ATL,1988.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,9.0,3907.0,434.1111111111111,981.0,109.0,136.0,15.11111111111111,19.0,2.111111111111111,475.0,52.77777777777778,96.0,10.666666666666666,9.0,1.0
4,ATL,1988.0,5.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,14.0,3960.0,282.85714285714283,993.0,70.92857142857143,140.0,10.0,21.0,1.5,481.0,34.357142857142854,99.0,7.071428571428571,15.0,1.0714285714285714
5,ATL,1988.0,6.0,0.0,0.0,2.0,0.0,2.0,2.0,7.0,14.0,3960.0,282.85714285714283,993.0,70.92857142857143,140.0,10.0,21.0,1.5,481.0,34.357142857142854,99.0,7.071428571428571,15.0,1.0714285714285714
6,ATL,1988.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,5458.0,259.9047619047619,1239.0,59.0,177.0,8.428571428571429,24.0,1.1428571428571428,686.0,32.666666666666664,112.0,5.333333333333333,23.0,1.0952380952380953
7,ATL,1988.0,8.0,3.0,0.0,3.0,3.0,6.0,3.0,2.0,23.0,5483.0,238.3913043478261,1298.0,56.43478260869565,173.0,7.521739130434782,26.0,1.1304347826086956,679.0,29.52173913043478,118.0,5.130434782608695,26.0,1.1304347826086956
8,ATL,1988.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,6283.0,314.15,1381.0,69.05,149.0,7.45,21.0,1.05,765.0,38.25,114.0,5.7,24.0,1.2
9,ATL,1988.0,10.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,22.0,6094.0,277.0,1304.0,59.27272727272727,158.0,7.181818181818182,22.0,1.0,754.0,34.27272727272727,115.0,5.2272727272727275,28.0,1.2727272727272727
10,ATL,1988.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,18.0,6797.0,377.6111111111111,1410.0,78.33333333333333,173.0,9.61111111111111,25.0,1.3888888888888888,825.0,45.833333333333336,118.0,6.555555555555555,23.0,1.2777777777777777
11,ATL,1988.0,12.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,18.0,6797.0,377.6111111111111,1410.0,78.33333333333333,173.0,9.61111111111111,25.0,1.3888888888888888,825.0,45.833333333333336,118.0,6.555555555555555,23.0,1.2777777777777777
12,ATL,1989.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,12.0,6044.0,503.6666666666667,1306.0,108.83333333333333,169.0,14.083333333333334,26.0,2.1666666666666665,745.0,62.083333333333336,118.0,9.833333333333334,16.0,1.3333333333333333
13,ATL,1989.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,5821.0,646.7777777777778,1216.0,135.11111111111111,176.0,19.555555555555557,26.0,2.888888888888889,718.0,79.77777777777777,113.0,12.555555555555555,12.0,1.3333333333333333
14,ATL,1989.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,5137.0,513.7,1143.0,114.3,176.0,17.6,27.0,2.7,640.0,64.0,111.0,11.1,12.0,1.2
15,ATL,1989.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4494.0,561.75,1052.0,131.5,143.0,17.875,25.0,3.125,556.0,69.5,103.0,12.875,8.0,1.0
16,ATL,1989.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,3830.0,425.55555555555554,944.0,104.88888888888889,130.0,14.444444444444445,24.0,2.6666666666666665,495.0,55.0,100.0,11.11111111111111,9.0,1.0
17,ATL,1989.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,17.0,4188.0,246.35294117647058,998.0,58.705882352941174,150.0,8.823529411764707,25.0,1.4705882352941178,558.0,32.8235294117647,105.0,6.176470588235294,19.0,1.1176470588235294
18,ATL,1989.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,4773.0,280.7647058823529,1057.0,62.1764705882353,185.0,10.882352941176471,28.0,1.6470588235294117,593.0,34.88235294117647,111.0,6.529411764705882,19.0,1.1176470588235294
19,ATL,1989.0,8.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,17.0,5436.0,319.7647058823529,1235.0,72.6470588235294,178.0,10.470588235294118,28.0,1.6470588235294117,647.0,38.05882352941177,113.0,6.647058823529412,19.0,1.1176470588235294
20,ATL,1989.0,9.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,15.0,4547.0,303.1333333333333,1138.0,75.86666666666666,150.0,10.0,28.0,1.8666666666666667,533.0,35.53333333333333,104.0,6.933333333333334,17.0,1.1333333333333333
21,ATL,1989.0,10.0,0.0,0.0,3.0,0.0,3.0,3.0,6.0,18.0,5157.0,286.5,1150.0,63.888888888888886,180.0,10.0,30.0,1.6666666666666667,597.0,33.166666666666664,104.0,5.777777777777778,22.0,1.2222222222222223
22,ATL,1989.0,11.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,22.0,7237.0,328.95454545454544,1414.0,64.27272727272727,242.0,11.0,34.0,1.5454545454545454,850.0,38.63636363636363,124.0,5.636363636363637,27.0,1.2272727272727273
23,ATL,1989.0,12.0,0.0,0.0,3.0,0.0,3.0,3.0,2.0,16.0,7589.0,474.3125,1441.0,90.0625,230.0,14.375,34.0,2.125,885.0,55.3125,132.0,8.25,19.0,1.1875
24,ATL,1990.0,1.0,0.0,2.0,6.0,0.0,8.0,8.0,1.0,17.0,8664.0,509.6470588235294,1548.0,91.05882352941177,227.0,13.352941176470589,35.0,2.0588235294117645,1005.0,59.11764705882353,137.0,8.058823529411764,21.0,1.2352941176470589
