,tracon,year,month
0,ATL,1988,1
1,ATL,1988,2
2,ATL,1988,3
3,ATL,1988,4
4,ATL,1988,5
5,ATL,1988,6
6,ATL,1988,7
7,ATL,1988,8
8,ATL,1988,9
9,ATL,1988,10
10,ATL,1988,11
11,ATL,1988,12
12,ATL,1989,1
13,ATL,1989,2
14,ATL,1989,3
15,ATL,1989,4
16,ATL,1989,5
17,ATL,1989,6
18,ATL,1989,7
19,ATL,1989,8
20,ATL,1989,9
21,ATL,1989,10
22,ATL,1989,11
23,ATL,1989,12
24,ATL,1990,1
25,ATL,1990,2
26,ATL,1990,3
27,ATL,1990,4
28,ATL,1990,5
29,ATL,1990,6
30,ATL,1990,7
31,ATL,1990,8
32,ATL,1990,9
33,ATL,1990,10
34,ATL,1990,11
35,ATL,1990,12
36,ATL,1991,1
37,ATL,1991,2
38,ATL,1991,3
39,ATL,1991,4
40,ATL,1991,5
41,ATL,1991,6
42,ATL,1991,7
43,ATL,1991,8
44,ATL,1991,9
45,ATL,1991,10
46,ATL,1991,11
47,ATL,1991,12
48,ATL,1992,1
49,ATL,1992,2
50,ATL,1992,3
51,ATL,1992,4
52,ATL,1992,5
53,ATL,1992,6
54,ATL,1992,7
55,ATL,1992,8
56,ATL,1992,9
57,ATL,1992,10
58,ATL,1992,11
59,ATL,1992,12
60,ATL,1993,1
61,ATL,1993,2
62,ATL,1993,3
63,ATL,1993,4
64,ATL,1993,5
65,ATL,1993,6
66,ATL,1993,7
67,ATL,1993,8
68,ATL,1993,9
69,ATL,1993,10
70,ATL,1993,11
71,ATL,1993,12
72,ATL,1994,1
73,ATL,1994,2
74,ATL,1994,3
75,ATL,1994,4
76,ATL,1994,5
77,ATL,1994,6
78,ATL,1994,7
79,ATL,1994,8
80,ATL,1994,9
81,ATL,1994,10
82,ATL,1994,11
83,ATL,1994,12
84,ATL,1995,1
85,ATL,1995,2
86,ATL,1995,3
87,ATL,1995,4
88,ATL,1995,5
89,ATL,1995,6
90,ATL,1995,7
91,ATL,1995,8
92,ATL,1995,9
93,ATL,1995,10
94,ATL,1995,11
95,ATL,1995,12
96,ATL,1996,1
97,ATL,1996,2
98,ATL,1996,3
99,ATL,1996,4
100,ATL,1996,5
101,ATL,1996,6
102,ATL,1996,7
103,ATL,1996,8
104,ATL,1996,9
105,ATL,1996,10
106,ATL,1996,11
107,ATL,1996,12
108,ATL,1997,1
109,ATL,1997,2
110,ATL,1997,3
111,ATL,1997,4
112,ATL,1997,5
113,ATL,1997,6
114,ATL,1997,7
115,ATL,1997,8
116,ATL,1997,9
117,ATL,1997,10
118,ATL,1997,11
119,ATL,1997,12
120,ATL,1998,1
121,ATL,1998,2
122,ATL,1998,3
123,ATL,1998,4
124,ATL,1998,5
125,ATL,1998,6
126,ATL,1998,7
127,ATL,1998,8
128,ATL,1998,9
129,ATL,1998,10
130,ATL,1998,11
131,ATL,1998,12
132,ATL,1999,1
133,ATL,1999,2
134,ATL,1999,3
135,ATL,1999,4
136,ATL,1999,5
137,ATL,1999,6
138,ATL,1999,7
139,ATL,1999,8
140,ATL,1999,9
141,ATL,1999,10
142,ATL,1999,11
143,ATL,1999,12
144,ATL,2000,1
145,ATL,2000,2
146,ATL,2000,3
147,ATL,2000,4
148,ATL,2000,5
149,ATL,2000,6
150,ATL,2000,7
151,ATL,2000,8
152,ATL,2000,9
153,ATL,2000,10
154,ATL,2000,11
155,ATL,2000,12
156,ATL,2001,1
157,ATL,2001,2
158,ATL,2001,3
159,ATL,2001,4
160,ATL,2001,5
161,ATL,2001,6
162,ATL,2001,7
163,ATL,2001,8
164,ATL,2001,9
165,ATL,2001,10
166,ATL,2001,11
167,ATL,2001,12
168,ATL,2002,1
169,ATL,2002,2
170,ATL,2002,3
171,ATL,2002,4
172,ATL,2002,5
173,ATL,2002,6
174,ATL,2002,7
175,ATL,2002,8
176,ATL,2002,9
177,ATL,2002,10
178,ATL,2002,11
179,ATL,2002,12
180,ATL,2003,1
181,ATL,2003,2
182,ATL,2003,3
183,ATL,2003,4
184,ATL,2003,5
185,ATL,2003,6
186,ATL,2003,7
187,ATL,2003,8
188,ATL,2003,9
189,ATL,2003,10
190,ATL,2003,11
191,ATL,2003,12
192,ATL,2004,1
193,ATL,2004,2
194,ATL,2004,3
195,ATL,2004,4
196,ATL,2004,5
197,ATL,2004,6
198,ATL,2004,7
199,ATL,2004,8
200,ATL,2004,9
201,ATL,2004,10
202,ATL,2004,11
203,ATL,2004,12
204,ATL,2005,1
205,ATL,2005,2
206,ATL,2005,3
207,ATL,2005,4
208,ATL,2005,5
209,ATL,2005,6
210,ATL,2005,7
211,ATL,2005,8
212,ATL,2005,9
213,ATL,2005,10
214,ATL,2005,11
215,ATL,2005,12
216,ATL,2006,1
217,ATL,2006,2
218,ATL,2006,3
219,ATL,2006,4
220,ATL,2006,5
221,ATL,2006,6
222,ATL,2006,7
223,ATL,2006,8
224,ATL,2006,9
225,ATL,2006,10
226,ATL,2006,11
227,ATL,2006,12
228,ATL,2007,1
229,ATL,2007,2
230,ATL,2007,3
231,ATL,2007,4
232,ATL,2007,5
233,ATL,2007,6
234,ATL,2007,7
235,ATL,2007,8
236,ATL,2007,9
237,ATL,2007,10
238,ATL,2007,11
239,ATL,2007,12
240,ATL,2008,1
241,ATL,2008,2
242,ATL,2008,3
243,ATL,2008,4
244,ATL,2008,5
245,ATL,2008,6
246,ATL,2008,7
247,ATL,2008,8
248,ATL,2008,9
249,ATL,2008,10
250,ATL,2008,11
251,ATL,2008,12
252,ATL,2009,1
253,ATL,2009,2
254,ATL,2009,3
255,ATL,2009,4
256,ATL,2009,5
257,ATL,2009,6
258,ATL,2009,7
259,ATL,2009,8
260,ATL,2009,9
261,ATL,2009,10
262,ATL,2009,11
263,ATL,2009,12
264,ATL,2010,1
265,ATL,2010,2
266,ATL,2010,3
267,ATL,2010,4
268,ATL,2010,5
269,ATL,2010,6
270,ATL,2010,7
271,ATL,2010,8
272,ATL,2010,9
273,ATL,2010,10
274,ATL,2010,11
275,ATL,2010,12
276,ATL,2011,1
277,ATL,2011,2
278,ATL,2011,3
279,ATL,2011,4
280,ATL,2011,5
281,ATL,2011,6
282,ATL,2011,7
283,ATL,2011,8
284,ATL,2011,9
285,ATL,2011,10
286,ATL,2011,11
287,ATL,2011,12
288,ATL,2012,1
289,ATL,2012,2
290,ATL,2012,3
291,ATL,2012,4
292,ATL,2012,5
293,ATL,2012,6
294,ATL,2012,7
295,ATL,2012,8
296,ATL,2012,9
297,ATL,2012,10
298,ATL,2012,11
299,ATL,2012,12
300,ATL,2013,1
301,ATL,2013,2
302,ATL,2013,3
303,ATL,2013,4
304,ATL,2013,5
305,ATL,2013,6
306,ATL,2013,7
307,ATL,2013,8
308,ATL,2013,9
309,ATL,2013,10
310,ATL,2013,11
311,ATL,2013,12
312,ATL,2014,1
313,ATL,2014,2
314,ATL,2014,3
315,ATL,2014,4
316,ATL,2014,5
317,ATL,2014,6
318,ATL,2014,7
319,ATL,2014,8
320,ATL,2014,9
321,ATL,2014,10
322,ATL,2014,11
323,ATL,2014,12
324,ATL,2015,1
325,ATL,2015,2
326,ATL,2015,3
327,ATL,2015,4
328,ATL,2015,5
329,ATL,2015,6
330,ATL,2015,7
331,ATL,2015,8
332,ATL,2015,9
333,ATL,2015,10
334,ATL,2015,11
335,ATL,2015,12
336,ATL,2016,1
337,ATL,2016,2
338,ATL,2016,3
339,ATL,2016,4
340,ATL,2016,5
341,ATL,2016,6
342,ATL,2016,7
343,ATL,2016,8
344,ATL,2016,9
345,ATL,2016,10
346,ATL,2016,11
347,ATL,2016,12
348,ATL,2017,1
349,ATL,2017,2
350,ATL,2017,3
351,ATL,2017,4
352,ATL,2017,5
353,ATL,2017,6
354,ATL,2017,7
355,ATL,2017,8
356,ATL,2017,9
357,ATL,2017,10
358,ATL,2017,11
359,ATL,2017,12
360,ATL,2018,1
361,ATL,2018,2
362,ATL,2018,3
363,ATL,2018,4
364,ATL,2018,5
365,ATL,2018,6
366,ATL,2018,7
367,ATL,2018,8
368,ATL,2018,9
369,ATL,2018,10
370,ATL,2018,11
371,ATL,2018,12
372,ATL,2019,1
373,ATL,2019,2
374,ATL,2019,3
375,ATL,2019,4
376,ATL,2019,5
377,ATL,2019,6
378,ATL,2019,7
379,ATL,2019,8
380,ATL,2019,9
381,ATL,2019,10
382,ATL,2019,11
383,ATL,2019,12
384,BOS,1988,1
385,BOS,1988,2
386,BOS,1988,3
387,BOS,1988,4
388,BOS,1988,5
389,BOS,1988,6
390,BOS,1988,7
