airportcode,Freq
  ,36181
 - ,1
 --- ,12
 . ,1
 0 ,4
 00 ,2
 000 ,3
 0000 ,1
 001 ,6
 003 ,4
 004 ,12
 005 ,2
 006 ,1
 008 ,1
 009 ,3
 00A ,5
 00AL ,1
 00C ,10
 00E ,1
 00F ,2
 00G ,1
 00GE ,1
 00K6 ,1
 00K7 ,2
 00M ,2
 00N ,3
 00NC ,2
 00R ,6
 00R8 ,1
 00S ,3
 00V ,29
 011 ,4
 012 ,7
 0127 ,1
 013 ,1
 014 ,1
 0167 ,1
 017 ,13
 018 ,6
 019 ,3
 01B ,2
 01C ,4
 01CL ,1
 01G ,2
 01GE ,1
 01I ,3
 01J ,5
 01L ,1
 01LA ,1
 01NC ,4
 01SC ,3
 01TN ,1
 01TX ,1
 01V ,9
 020 ,1
 022 ,12
 023 ,6
 024 ,6
 026 ,1
 027 ,5
 028 ,4
 02A ,4
 02C ,8
 02G ,6
 02J ,2
 02K ,5
 02MO ,1
 02W ,1
 02WA ,4
 02Y ,1
 030 ,1
 031 ,6
 032 ,4
 033 ,2
 034 ,2
 036 ,10
 037 ,2
 03B ,1
 03C ,3
 03D ,1
 03ME ,1
 03NC ,1
 03R ,1
 03S ,5
 03TN ,1
 03XS ,1
 042 ,1
 043 ,2
 045 ,10
 046 ,1
 047 ,1
 048 ,2
 04A ,3
 04B ,1
 04FA ,4
 04G ,3
 04IL ,1
 04J ,3
 04K ,2
 04L ,1
 04ND ,1
 04NJ ,1
 04NV ,1
 04S ,1
 04TN ,2
 04V ,1
 04WI ,1
 04Y ,4
 051 ,11
 052 ,5
 054 ,8
 056 ,15
 057 ,1
 058 ,6
 059 ,1
 05C ,15
 05CL ,1
 05F ,3
 05GA ,1
 05I ,1
 05KT ,1
 05LA ,1
 05MD ,1
 05S ,2
 06 ,11
 060 ,1
 0600 ,1
 061 ,4
 062 ,3
 063 ,3
 064 ,1
 066 ,2
 068 ,9
 069 ,8
 06A ,8
 06B ,2
 06C ,22
 06D ,1
 06FA ,1
 06FD ,1
 06G ,1
 06M ,1
 06MO ,6
 06N ,9
 06NH ,1
 06NY ,1
 06R ,4
 06U ,14
 06WN ,1
 07 ,4
 070 ,11
 071 ,1
 075 ,1
 079 ,1
 07A ,1
 07B ,1
 07C ,5
 07CL ,1
 07F ,6
 07G ,6
 07J ,1
 07K ,2
 07KY ,1
 07MD ,1
 07N ,2
 07R ,2
