airportcode_new,airportname_new,year,month, Investigation Type _ Accident , Investigation Type _ Incident 
00A,Total Rf Heliport,1983,03,1,0
00A,Total Rf Heliport,1986,05,1,0
00A,Total Rf Heliport,1990,04,1,0
00A,Total Rf Heliport,1990,07,1,0
00A,Total Rf Heliport,1993,09,1,0
00AL,Epps Airpark,2007,09,1,0
00GA,Lt World Airport,1985,01,1,0
00GE,Caffrey Heliport,2008,05,1,0
00N,Bucks Airport,1992,06,1,0
00N,Bucks Airport,1995,03,1,0
00N,Bucks Airport,1998,10,1,0
00NC,North Raleigh Airport,1996,05,1,0
00NC,North Raleigh Airport,2015,09,1,0
00S,Mc Kenzie Bridge State Airport,1993,11,1,0
00S,Mc Kenzie Bridge State Airport,2011,07,1,0
00S,Mc Kenzie Bridge State Airport,2019,08,1,0
01C,Grant Airport,1995,02,1,0
01C,Grant Airport,1995,12,1,0
01C,Grant Airport,2000,06,1,0
01C,Grant Airport,2002,05,1,0
01CL,Swansboro Country Airport,2014,08,1,0
01GE,The Farm Airport,2008,05,1,0
01IA,Stender Airport,1984,06,1,0
01IA,Stender Airport,1988,04,1,0
01IA,Stender Airport,1997,11,1,0
01J,Hilliard Airpark,1987,06,0,1
01J,Hilliard Airpark,1991,07,2,0
01J,Hilliard Airpark,1999,08,1,0
01J,Hilliard Airpark,2009,04,1,0
01LA,Barham Airport,1994,10,1,0
01LA,Barham Airport,2016,07,1,0
01MO,Highway Patrol Troop C Headquarters Heliport,2003,12,1,0
01NC,Topsail Airpark,2000,01,1,0
01NC,Topsail Airpark,2003,10,1,0
01NC,Topsail Airpark,2005,02,1,0
01NC,Topsail Airpark,2015,06,1,0
01OR,Red & White Flying Service Airport,2008,05,1,0
01SC,York Airport,2013,05,1,0
01SC,York Airport,2016,06,1,0
01SC,York Airport,2019,07,1,0
01TN,Colonial Air Park,2013,07,1,0
01TX,Mims Farm Ultralightport,2019,01,1,0
01VA,Pickles Airport,1984,06,1,0
01VA,Pickles Airport,1986,03,1,0
01VA,Pickles Airport,1989,04,1,0
01VA,Pickles Airport,1991,07,1,0
01VA,Pickles Airport,1991,12,1,0
01VA,Pickles Airport,1997,06,1,0
01VA,Pickles Airport,1998,11,1,0
01VA,Pickles Airport,2001,09,1,0
01VA,Pickles Airport,2003,07,1,0
02IS,Condell Medical Center Heliport,1989,03,1,0
02IS,Condell Medical Center Heliport,2011,12,0,1
02IS,Condell Medical Center Heliport,2013,05,1,0
02IS,Condell Medical Center Heliport,2013,11,1,0
02IS,Condell Medical Center Heliport,2015,06,1,0
02IS,Condell Medical Center Heliport,2018,04,1,0
02IS,Condell Medical Center Heliport,2019,06,1,0
02KS,Jmj Landing Airport,1982,07,2,0
02KS,Jmj Landing Airport,1983,06,1,0
02KS,Jmj Landing Airport,1983,07,1,0
02KS,Jmj Landing Airport,1992,10,1,0
02MO,Troy Airpark,1999,09,1,0
02OR,Rowena Dell Airport,1983,11,1,0
02WA,Cawleys South Prairie Airport,1984,04,1,0
02WA,Cawleys South Prairie Airport,2001,08,1,0
02WA,Cawleys South Prairie Airport,2002,05,1,0
02WA,Cawleys South Prairie Airport,2009,05,1,0
02WA,Cawleys South Prairie Airport,2014,06,1,0
03AK,Joe Clouds Seaplane Base,2005,03,1,0
03AR,Hscmh Heliport,1984,04,1,0
03AR,Hscmh Heliport,1990,01,1,0
03AR,Hscmh Heliport,1991,10,1,0
03AR,Hscmh Heliport,1992,03,1,0
03AR,Hscmh Heliport,1995,02,1,0
03AR,Hscmh Heliport,1996,05,1,0
03AR,Hscmh Heliport,1996,07,1,0
03CA,Grossmont Hospital Heliport,1982,02,1,0
03CA,Grossmont Hospital Heliport,1985,02,1,0
03CA,Grossmont Hospital Heliport,1987,02,1,0
03CO,Kugel-Strong Airport,1993,03,1,0
03GA,HIA Airport,1988,03,1,0
03LA,Damien Heliport,1982,07,2,0
03LA,Damien Heliport,1983,09,1,0
03LA,Damien Heliport,1984,02,1,0
