airportcode_new,airportname_new,year,month, Investigation Type _ Accident , Investigation Type _ Incident 
0,São Pedro da Aldeia Airport,1991,10,1,0
0,São Pedro da Aldeia Airport,1992,05,1,0
0,São Pedro da Aldeia Airport,2003,12,1,0
0,São Pedro da Aldeia Airport,2004,03,1,0
0,São Pedro da Aldeia Airport,2010,07,1,0
AAD,Adado Airport,1985,08,1,0
AAD,Adado Airport,2018,11,0,1
AAF,Apalachicola Regional Airport,1985,07,1,0
AAF,Apalachicola Regional Airport,1987,05,1,0
AAF,Apalachicola Regional Airport,1989,08,1,0
AAF,Apalachicola Regional Airport,1989,10,1,0
AAF,Apalachicola Regional Airport,1999,05,1,0
AAF,Apalachicola Regional Airport,2014,08,1,0
AAF,Apalachicola Regional Airport,2015,01,1,0
AAF,Apalachicola Regional Airport,2018,11,1,0
AAO,Anaco Airport,2006,02,1,0
AAO,Anaco Airport,2006,08,1,0
AAO,Anaco Airport,2007,08,2,0
AAO,Anaco Airport,2009,01,1,0
AAO,Anaco Airport,2010,08,1,0
AAO,Anaco Airport,2012,05,1,0
AAO,Anaco Airport,2013,11,0,1
AAO,Anaco Airport,2016,01,1,0
AAO,Anaco Airport,2016,09,1,0
AAP,Aji Pangeran Tumenggung Pranoto International Airport,1983,03,1,0
AAP,Aji Pangeran Tumenggung Pranoto International Airport,1983,09,1,0
AAP,Aji Pangeran Tumenggung Pranoto International Airport,1983,11,3,0
AAP,Aji Pangeran Tumenggung Pranoto International Airport,1985,10,1,0
AAP,Aji Pangeran Tumenggung Pranoto International Airport,1987,07,1,0
AAP,Aji Pangeran Tumenggung Pranoto International Airport,1987,10,1,0
AAP,Aji Pangeran Tumenggung Pranoto International Airport,1988,10,1,0
AAS,Apalapsili Airport,1982,08,1,0
AAS,Apalapsili Airport,1985,03,1,0
AAS,Apalapsili Airport,1996,06,1,0
AAS,Apalapsili Airport,2010,06,1,0
AAS,Apalapsili Airport,2015,04,1,0
AAT,Altay Air Base,2000,09,1,0
AAT,Altay Air Base,2001,08,1,0
AAT,Altay Air Base,2005,08,1,0
AAT,Altay Air Base,2010,06,1,0
AAT,Altay Air Base,2014,06,1,0
ABE,Lehigh Valley International Airport,1983,11,1,0
ABE,Lehigh Valley International Airport,1985,08,1,0
ABE,Lehigh Valley International Airport,1988,03,1,0
ABE,Lehigh Valley International Airport,1988,12,1,0
ABE,Lehigh Valley International Airport,1995,05,1,0
ABE,Lehigh Valley International Airport,1996,01,1,0
ABE,Lehigh Valley International Airport,1996,05,1,0
ABE,Lehigh Valley International Airport,1999,01,1,0
ABE,Lehigh Valley International Airport,2002,10,1,0
ABE,Lehigh Valley International Airport,2003,04,1,0
ABE,Lehigh Valley International Airport,2004,05,0,1
ABE,Lehigh Valley International Airport,2007,09,1,0
ABE,Lehigh Valley International Airport,2008,09,0,2
ABE,Lehigh Valley International Airport,2012,10,1,0
ABE,Lehigh Valley International Airport,2014,06,1,0
ABE,Lehigh Valley International Airport,2019,08,1,0
ABI,Abilene Regional Airport,1982,02,1,0
ABI,Abilene Regional Airport,1982,07,1,0
ABI,Abilene Regional Airport,1982,10,1,0
ABI,Abilene Regional Airport,1983,05,1,0
ABI,Abilene Regional Airport,1985,01,1,0
ABI,Abilene Regional Airport,1985,05,1,0
ABI,Abilene Regional Airport,1986,09,1,0
ABI,Abilene Regional Airport,1988,07,0,1
ABI,Abilene Regional Airport,1990,11,1,0
ABI,Abilene Regional Airport,1997,03,0,1
