airportcode_new,airportname_new,year,month, Investigation Type _ Accident , Investigation Type _ Incident 
-,Private Strip,2016,08,1,0
00A,BRITT MEMORIAL,1993,09,1,0
00A,STONE MOUNTAIN,1983,03,1,0
00A,STONE MOUNTAIN,1986,05,1,0
00A,STONE MOUNTAIN,1990,07,1,0
00A,STONE MOUNTAIN-BRITT MEM.,1990,04,1,0
00AL,Private Strip,2007,09,1,0
00C,ANIMAS AIR PARK,2014,06,1,0
00C,ANIMAS AIR PARK,2016,05,1,0
00C,ANIMAS AIRPARK,2000,06,1,0
00C,Animas Air Park,2002,02,1,0
00C,Animas Air Park,2005,05,1,0
00C,Animas Air Park,2012,05,1,0
00C,Animas Air Park,2012,10,1,0
00C,Animas Air Park,2012,12,1,0
00C,Animas Airpark,2010,10,1,0
00C,Durango,2005,06,1,0
00F,BROADUS,2016,09,1,0
00F,Broadus Airport,2009,08,1,0
00GE,Caffery Heliport,2008,05,1,0
00M,THIGPEN FIELD,1999,03,1,0
00M,THIGPEN FIELD,1999,10,1,0
00N,BUCKS,1995,03,1,0
00N,BUCKS AIRPORT,1992,06,1,0
00N,BUCKS AIRPORT,1998,10,1,0
00NC,NORTH RALEIGH,1996,05,1,0
00NC,NORTH RALEIGH,2015,09,1,0
00R,LIVINGSTON MUNI,2015,04,1,0
00R,LIVINGSTON MUNI,2015,07,1,0
00R,Livingston Municipal,2004,04,1,0
00R,Livingston Municipal,2010,04,1,0
00R,Livingston Municipal Airport,2003,12,1,0
00R,Livingston Municipal Airport,2013,04,1,0
00S,MCKENZIE BRIDGE STATE,1993,11,1,0
00S,Mc Kenzie Bridge State,2019,08,1,0
00S,Mc Kenzie Bridge State Airport,2011,07,1,0
01B,WOODSTOCK,1989,05,1,0
01B,WOODSTOCK,1993,06,1,0
01C,GRANT,1995,02,1,0
01C,GRANT,2000,06,1,0
01C,GRANT,2002,05,1,0
01C,GRANT AIRPORT,1995,12,1,0
01CL,SWANSBORO COUNTRY,2014,08,1,0
01G,PERRY-WARSAW,2015,10,1,0
01G,Perry-Warsaw Airport,2010,06,1,0
01GE,The Farm Airport,2008,05,1,0
01J,HILLIARD,1987,06,0,1
01J,HILLIARD AIRPARK,1991,07,2,0
01J,HILLIARD AIRPARK,1999,08,1,0
01J,Hilliard Airpark,2009,04,1,0
01L,AUGUST ACRES,1994,10,1,0
01LA,Barham Airport,2016,07,1,0
01NC,TOPSAIL AIRPARK,2015,06,1,0
01NC,TOPSAIL AIRPORT,2000,01,1,0
01NC,Top Soil Airpark,2005,02,1,0
01NC,Topsail Airpark,2003,10,1,0
01SC,YORK,2016,06,1,0
01SC,YORK,2019,07,1,0
01SC,York Airport,2013,05,1,0
01TN,Colonial Air Park,2013,07,1,0
01TX,Ox Ranch,2019,01,1,0
01V,AURORA,1984,06,1,0
01V,AURORA,1986,03,1,0
01V,AURORA,1989,04,1,0
01V,AURORA AIRPARK,1991,07,1,0
01V,AURORA AIRPARK,1991,12,1,0
01V,AURORA AIRPARK,1997,06,1,0
01V,AURORA AIRPARK,1998,11,1,0
01V,Aurora Air Park,2003,07,1,0
01V,Aurora Airpark,2001,09,1,0
02A,CHILTON COUNTY,2015,08,1,0
02A,GRAGG WADE FIELD,1987,07,1,0
02A,GRAGG-WADE,1991,05,1,0
02A,Gragg-Wade Field,2002,07,1,0
02C,CAPITOL,1989,08,1,0
02C,CAPITOL,1994,09,1,0
02C,CAPITOL AIRPORT,1992,04,1,0
02C,CAPITOL AIRPORT,1995,01,1,0
02C,CAPITOL DRIVE,1992,11,1,0
02C,Capitol Airport,2013,06,1,0
02C,Capitol Airport,2014,09,1,0
02C,Capitol Airport,2017,01,1,0
02G,COLUMBIANA CO.,1983,05,1,0
02G,COLUMBIANA COUNTY,1986,10,1,0
02G,COLUMBIANA COUNTY AIRPORT,1995,08,1,0
02G,COLUMBIANA COUNTY AIRPORT,2000,04,1,0
02G,Columbiana Country Airport,2011,08,1,0
02G,Columbiana County Airport,2011,07,1,0
02MO,TROY AIRPARK,1999,09,1,0
02WA,CAWLEYS SOUTH PRAIRIE,2014,06,1,0
02WA,Cawley South Prairie,2009,05,1,0
02WA,Cawley's South Prairie,2001,08,1,0
02WA,South Prairie Airport,2002,05,1,0
03B,Mansfield Municipal,2003,01,1,0
03D,MEMPHIS MEMORIAL,2004,02,1,0
03ME,Maple Ridge Airport,2010,08,1,0
03NC,Pilots Ridge Airport,2010,06,1,0
03S,SANDY RIVER,1993,10,1,0
03S,SANDY RIVER,2000,07,1,0
03S,Sandy River,2009,08,1,0
03S,Sandy River,2012,07,1,0
03S,Sandy River Airport,2007,10,1,0
03TN,Eagles Landing Heliport,2007,04,1,0
03XS,JIM HOGG COUNTY,1983,12,1,0
04A,FRANK SIKES,1982,02,1,0
04A,FRANK SIKES,1998,05,1,0
04A,SIKES,1988,09,1,0
04FA,Richards Field,2011,10,1,0
04FA,Richards Field Airport,2005,04,1,0
04FA,Richards Field Airport,2008,05,1,0
04FA,Richards Field Airport,2008,06,1,0
04G,LANSDOWNE,1984,10,1,0
04G,LANSDOWNE,1988,08,1,0
04G,LANSDOWNE,1996,08,1,0
04IL,Private Airstrip,2003,08,1,0
04NJ,EMMANUEL,2000,09,1,0
04NV,Kingston Ranch Airport,2013,04,1,0
04TN,Hensley Airpark,2008,05,1,0
04TN,Hensley Airpark,2012,10,1,0
04V,Saguache Municipal Airport,2011,08,1,0
04WI,Dutch Gap Airstrip,2007,01,1,0
04Y,HAWLEY,1984,01,1,0
04Y,HAWLEY,1990,08,1,0
04Y,HAWLEY MUNI,2004,02,1,0
04Y,Hawley Municipal,2019,07,1,0
