,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/1994 To 12/1998,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,, 
Facility,State,Date,"DDSO
Service
Area",Class,Region,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Total
Operations"
A11 ,AK,01/1994,WE,"TRACON, RAPCON, or CERAP",AAL,"6,848","5,442","3,150","2,271","17,711",5,69,334,31,439,0,0,0,0,0,0,0,0,0,0,"18,150"
A11 ,AK,02/1994,WE,"TRACON, RAPCON, or CERAP",AAL,"6,297","5,139","3,354","2,165","16,955",71,132,410,52,665,0,0,0,0,0,0,0,0,0,0,"17,620"
A11 ,AK,03/1994,WE,"TRACON, RAPCON, or CERAP",AAL,"7,569","5,735","4,395","2,826","20,525",63,129,512,65,769,0,0,0,0,0,0,0,0,0,0,"21,294"
A11 ,AK,04/1994,WE,"TRACON, RAPCON, or CERAP",AAL,"7,240","5,748","5,975","2,666","21,629",41,110,647,106,904,0,0,0,0,0,0,0,0,0,0,"22,533"
A11 ,AK,05/1994,WE,"TRACON, RAPCON, or CERAP",AAL,"7,875","6,604","7,810","2,191","24,480",86,187,"1,026",51,"1,350",0,0,0,0,0,0,0,0,0,0,"25,830"
A11 ,AK,06/1994,WE,"TRACON, RAPCON, or CERAP",AAL,"9,495","7,822","10,253","1,993","29,563",15,141,"1,286",138,"1,580",0,0,0,0,0,0,0,0,0,0,"31,143"
A11 ,AK,07/1994,WE,"TRACON, RAPCON, or CERAP",AAL,"9,747","7,890","11,405","2,991","32,033",4,110,"1,189",81,"1,384",0,0,0,0,0,0,0,0,0,0,"33,417"
A11 ,AK,08/1994,WE,"TRACON, RAPCON, or CERAP",AAL,"9,832","8,493","10,806","3,346","32,477",6,107,"1,056",58,"1,227",0,0,0,0,0,0,0,0,0,0,"33,704"
A11 ,AK,09/1994,WE,"TRACON, RAPCON, or CERAP",AAL,"8,586","7,752","8,610","2,318","27,266",1,43,670,61,775,0,0,0,0,0,0,0,0,0,0,"28,041"
A11 ,AK,10/1994,WE,"TRACON, RAPCON, or CERAP",AAL,"8,224","4,436",932,"2,070","15,662",3,4,15,8,30,46,"2,502","4,250",304,"7,102",0,30,313,30,373,"23,167"
A11 ,AK,11/1994,WE,"TRACON, RAPCON, or CERAP",AAL,"7,825","4,579",945,"1,684","15,033",3,9,20,13,45,36,"1,590","1,931",175,"3,732",0,31,129,19,179,"18,989"
A11 ,AK,12/1994,WE,"TRACON, RAPCON, or CERAP",AAL,"7,745","4,657",996,"1,447","14,845",4,2,19,23,48,37,"1,741","1,880",272,"3,930",2,31,102,25,160,"18,983"
A11 ,AK,01/1995,WE,"TRACON, RAPCON, or CERAP",AAL,"7,140","4,639","1,026","1,694","14,499",3,3,28,18,52,25,"1,655","2,511",313,"4,504",1,12,161,36,210,"19,265"
A11 ,AK,02/1995,WE,"TRACON, RAPCON, or CERAP",AAL,"6,369","3,981",954,"1,880","13,184",3,9,17,15,44,40,"1,771","2,448",291,"4,550",2,17,174,43,236,"18,014"
A11 ,AK,03/1995,WE,"TRACON, RAPCON, or CERAP",AAL,"7,575","3,632",902,"2,039","14,148",3,6,6,25,40,98,"2,749","4,222",546,"7,615",4,48,367,62,481,"22,284"
A11 ,AK,04/1995,WE,"TRACON, RAPCON, or CERAP",AAL,"7,114","3,633","1,010","1,828","13,585",4,1,23,9,37,70,"2,840","5,446",348,"8,704",3,155,746,48,952,"23,278"
A11 ,AK,05/1995,WE,"TRACON, RAPCON, or CERAP",AAL,"7,425","4,265","1,150","2,349","15,189",4,5,52,23,84,75,"3,269","6,465",311,"10,120",5,149,762,52,968,"26,361"
A11 ,AK,06/1995,WE,"TRACON, RAPCON, or CERAP",AAL,"9,578","4,805","1,792","2,579","18,754",0,26,74,15,115,73,"3,517","8,840",305,"12,735",3,295,"1,478",54,"1,830","33,434"
A11 ,AK,07/1995,WE,"TRACON, RAPCON, or CERAP",AAL,"9,578","4,805","1,792","2,579","18,754",0,26,74,15,115,73,"3,517","8,840",305,"12,735",3,295,"1,478",54,"1,830","33,434"
A11 ,AK,08/1995,WE,"TRACON, RAPCON, or CERAP",AAL,"9,752","4,238","1,765","2,849","18,604",0,2,62,10,74,77,"4,653","9,503",427,"14,660",0,301,"1,395",53,"1,749","35,087"
A11 ,AK,09/1995,WE,"TRACON, RAPCON, or CERAP",AAL,"8,847","4,084","1,952","1,810","16,693",9,2,34,11,56,45,"3,050","6,349",268,"9,712",1,58,558,37,654,"27,115"
A11 ,AK,10/1995,WE,"TRACON, RAPCON, or CERAP",AAL,"8,210","3,962","1,614","1,898","15,684",1,9,51,8,69,39,"1,987","4,451",244,"6,721",0,46,371,27,444,"22,918"
A11 ,AK,11/1995,WE,"TRACON, RAPCON, or CERAP",AAL,"7,793","2,993","1,091","1,606","13,483",3,1,25,9,38,84,"1,631","3,572",329,"5,616",0,55,201,18,274,"19,411"
A11 ,AK,12/1995,WE,"TRACON, RAPCON, or CERAP",AAL,"7,713","2,965",997,"1,426","13,101",4,1,11,2,18,37,"1,803","3,142",394,"5,376",0,18,129,13,160,"18,655"
A11 ,AK,01/1996,WE,"TRACON, RAPCON, or CERAP",AAL,"7,050","3,145","1,047","1,816","13,058",1,6,19,12,38,58,"1,223","2,240",274,"3,795",2,37,219,34,292,"17,183"
A11 ,AK,02/1996,WE,"TRACON, RAPCON, or CERAP",AAL,"7,395","3,241","1,441","1,791","13,868",1,4,31,13,49,25,"1,006","1,719",243,"2,993",2,20,113,20,155,"17,065"
A11 ,AK,03/1996,WE,"TRACON, RAPCON, or CERAP",AAL,"8,181","3,132","1,507","2,503","15,323",12,0,71,24,107,58,"1,946","4,494",405,"6,903",0,53,382,85,520,"22,853"
A11 ,AK,04/1996,WE,"TRACON, RAPCON, or CERAP",AAL,"8,212","2,771","1,355","2,117","14,455",1,4,45,11,61,72,"2,108","5,168",323,"7,671",0,34,352,24,410,"22,597"
A11 ,AK,05/1996,WE,"TRACON, RAPCON, or CERAP",AAL,"8,997","2,609","1,286","2,458","15,350",5,3,55,13,76,70,"3,225","7,549",500,"11,344",19,199,899,60,"1,177","27,947"
A11 ,AK,06/1996,WE,"TRACON, RAPCON, or CERAP",AAL,"10,399","2,979","1,245","2,250","16,873",31,7,88,17,143,77,"3,669","9,291",238,"13,275",20,146,"1,126",33,"1,325","31,616"
A11 ,AK,07/1996,WE,"TRACON, RAPCON, or CERAP",AAL,"10,719","3,508","1,543","2,922","18,692",13,2,49,11,75,52,"4,170","9,626",429,"14,277",7,131,929,39,"1,106","34,150"
A11 ,AK,08/1996,WE,"TRACON, RAPCON, or CERAP",AAL,"10,752","3,569","1,570","2,539","18,430",7,1,29,4,41,74,"4,343","9,456",561,"14,434",0,30,566,27,623,"33,528"
A11 ,AK,09/1996,WE,"TRACON, RAPCON, or CERAP",AAL,"9,517","3,788","1,921","2,153","17,379",3,8,37,4,52,53,"2,915","6,507",392,"9,867",0,47,521,18,586,"27,884"
A11 ,AK,10/1996,WE,"TRACON, RAPCON, or CERAP",AAL,"9,204","3,301","1,503","2,232","16,240",3,0,16,19,38,79,"2,187","4,185",413,"6,864",3,35,146,21,205,"23,347"
A11 ,AK,11/1996,WE,"TRACON, RAPCON, or CERAP",AAL,"8,695","3,682","1,451","1,593","15,421",0,3,32,1,36,45,"1,100","2,334",245,"3,724",0,4,67,8,79,"19,260"
A11 ,AK,12/1996,WE,"TRACON, RAPCON, or CERAP",AAL,"8,656","3,759","1,075","1,788","15,278",2,8,17,2,29,100,"1,727","2,429",234,"4,490",2,27,70,15,114,"19,911"
A11 ,AK,01/1997,WE,"TRACON, RAPCON, or CERAP",AAL,"8,162","3,620","1,253","1,934","14,969",0,3,22,2,27,32,"1,604","2,406",363,"4,405",0,14,46,14,74,"19,475"
A11 ,AK,02/1997,WE,"TRACON, RAPCON, or CERAP",AAL,"7,267","3,366","1,109","2,140","13,882",1,6,16,10,33,37,"1,570","2,834",250,"4,691",2,48,109,21,180,"18,786"
A11 ,AK,03/1997,WE,"TRACON, RAPCON, or CERAP",AAL,"8,562","3,600","1,637","2,604","16,403",2,0,44,10,56,84,"2,499","4,957",362,"7,902",2,56,192,34,284,"24,645"
A11 ,AK,04/1997,WE,"TRACON, RAPCON, or CERAP",AAL,"8,416","3,674","1,287","2,323","15,700",2,0,14,16,32,71,"2,943","5,558",375,"8,947",4,42,206,26,278,"24,957"
