
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,, ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Total
Operations",
10/1989,A90 ,NH,ANE,EN,"TRACON, RAPCON, or CERAP","21,163","13,185","10,220",861,"45,429",57,384,"8,188",321,"8,950",0,0,0,0,0,0,0,0,0,0,"54,379",
10/1989,ABE ,PA,AEA,EN,Towers with Radar,"1,110","1,770","6,202",234,"9,316",33,"2,758","5,206",269,"8,266",0,0,0,0,0,0,0,0,0,0,"17,582",
Sub-Total for EN,,,,,,"22,273","14,955","16,422","1,095","54,745",90,"3,142","13,394",590,"17,216",0,0,0,0,0,0,0,0,0,0,"71,961",
10/1989,ABI ,TX,ASW,CE,Towers with Radar,52,"1,450","3,672","4,270","9,444",1,135,"1,055",62,"1,253",0,0,0,0,0,0,0,0,0,0,"10,697",
10/1989,ABQ ,NM,ASW,WE,Towers with Radar,"5,878","3,264","6,912","2,808","18,862",0,140,"2,305",399,"2,844",0,0,0,0,0,0,0,0,0,0,"21,706",
10/1989,ACT ,TX,ASW,CE,Towers with Radar,90,770,"1,386",446,"2,692",3,"1,174","1,115",133,"2,425",0,0,0,0,0,0,0,0,0,0,"5,117",
Sub-Total for ASW,,,,,,"6,020","5,484","11,970","7,524","30,998",4,"1,449","4,475",594,"6,522",0,0,0,0,0,0,0,0,0,0,"37,520",
10/1989,ACY ,NJ,AEA,EN,Towers with Radar,790,"2,409","6,508",789,"10,496",85,214,"1,595",721,"2,615",0,0,0,0,0,0,0,0,0,0,"13,111",
10/1989,AGS ,GA,ASO,ES,Towers with Radar,529,"1,242","2,719",365,"4,855",112,225,"2,748",289,"3,374",0,0,0,0,0,0,0,0,0,0,"8,229",
10/1989,ALB ,NY,AEA,EN,Towers with Radar,"2,615","7,546","6,911",834,"17,906",35,943,"3,069",167,"4,214",0,0,0,0,0,0,0,0,0,0,"22,120",
10/1989,ALO ,IA,ACE,CE,Towers with Radar,2,"1,605","1,245",52,"2,904",69,220,"1,025",27,"1,341",0,0,0,0,0,0,0,0,0,0,"4,245",
10/1989,AMA ,TX,ASW,WE,Towers with Radar,"1,160",320,"3,940","1,937","7,357",0,3,669,70,742,0,0,0,0,0,0,0,0,0,0,"8,099",
10/1989,ANC ,AK,AAL,WE,Towers with Radar,"8,710","5,036","5,491","2,322","21,559",6,280,703,55,"1,044",0,0,0,0,0,0,0,0,0,0,"22,603",
10/1989,ASE ,CO,ANM,WE,Towers with Radar,137,446,375,0,958,0,27,140,16,183,0,0,0,0,0,0,0,0,0,0,"1,141",
Sub-Total for WE,,,,,,"10,007","5,802","9,806","4,259","29,874",6,310,"1,512",141,"1,969",0,0,0,0,0,0,0,0,0,0,"31,843",
10/1989,ATL ,GA,ASO,ES,Towers with Radar,"48,456","15,067","16,261","1,919","81,703",0,72,"3,041",206,"3,319",0,0,0,0,0,0,0,0,0,0,"85,022",
10/1989,AUS ,TX,ASW,CE,Towers with Radar,"5,282","2,211","10,484","3,094","21,071",4,156,"1,761",148,"2,069",0,0,0,0,0,0,0,0,0,0,"23,140",
10/1989,AVL ,NC,ASO,ES,Towers with Radar,412,"1,622","3,588",35,"5,657",42,300,"2,580",205,"3,127",0,0,0,0,0,0,0,0,0,0,"8,784",
10/1989,AVP ,PA,AEA,EN,Towers with Radar,440,"2,450","2,850",171,"5,911",23,480,"3,570",89,"4,162",0,0,0,0,0,0,0,0,0,0,"10,073",
10/1989,AZO ,MI,AGL,CE,Towers with Radar,552,"1,920","5,371",367,"8,210",54,"1,352","2,917",51,"4,374",0,0,0,0,0,0,0,0,0,0,"12,584",
Sub-Total for Unknown,,,,,,"76,215","49,128","83,915","19,643","228,901",467,"8,479","33,499","2,907","45,352",0,0,0,0,0,0,0,0,0,0,"274,253",
10/1989,B90 ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","3,567","4,909","18,159",444,"27,079","3,692","5,262","9,843",598,"19,395",0,0,0,0,0,0,0,0,0,0,"46,474",
10/1989,BFL ,CA,AWP,WE,Towers with Radar,198,"1,795","1,305",120,"3,418",0,762,763,57,"1,582",0,0,0,0,0,0,0,0,0,0,"5,000",
Sub-Total for WE,,,,,,"3,765","6,704","19,464",564,"30,497","3,692","6,024","10,606",655,"20,977",0,0,0,0,0,0,0,0,0,0,"51,474",
Sub-Total for AWP,,,,,,"3,765","6,704","19,464",564,"30,497","3,692","6,024","10,606",655,"20,977",0,0,0,0,0,0,0,0,0,0,"51,474",
Sub-Total for CA,,,,,,"3,765","6,704","19,464",564,"30,497","3,692","6,024","10,606",655,"20,977",0,0,0,0,0,0,0,0,0,0,"51,474",
10/1989,BGM ,NY,AEA,EN,Towers with Radar,402,"2,960","1,800",45,"5,207",56,"1,133","2,092",43,"3,324",0,0,0,0,0,0,0,0,0,0,"8,531",
10/1989,BGR ,ME,ANE,EN,Towers with Radar,"1,146","2,303","2,741","1,231","7,421",1,266,811,87,"1,165",0,0,0,0,0,0,0,0,0,0,"8,586",
Sub-Total for EN,,,,,,"1,548","5,263","4,541","1,276","12,628",57,"1,399","2,903",130,"4,489",0,0,0,0,0,0,0,0,0,0,"17,117",
10/1989,BHM ,AL,ASO,ES,Towers with Radar,"3,459","2,666","10,594","1,642","18,361",1,385,"3,378",485,"4,249",0,0,0,0,0,0,0,0,0,0,"22,610",
10/1989,BIL ,MT,ANM,WE,Towers with Radar,963,"1,666","4,039",64,"6,732",0,9,192,8,209,0,0,0,0,0,0,0,0,0,0,"6,941",
10/1989,BIS ,ND,AGL,CE,Towers with Radar,720,423,730,150,"2,023",0,3,97,4,104,0,0,0,0,0,0,0,0,0,0,"2,127",
10/1989,BNA ,TN,ASO,CE,Towers with Radar,"9,760","5,340","9,358",596,"25,054",20,122,"2,889",207,"3,238",0,0,0,0,0,0,0,0,0,0,"28,292",
Sub-Total for CE,,,,,,"10,480","5,763","10,088",746,"27,077",20,125,"2,986",211,"3,342",0,0,0,0,0,0,0,0,0,0,"30,419",
10/1989,BOI ,ID,ANM,WE,Towers with Radar,"1,535","3,624","5,153","1,103","11,415",0,4,275,97,376,0,0,0,0,0,0,0,0,0,0,"11,791",
Sub-Total for Unknown,,,,,,"18,183","20,777","35,720","4,951","79,631",78,"2,684","10,497",988,"14,247",0,0,0,0,0,0,0,0,0,0,"93,878",
10/1989,BPT ,TX,ASW,CE,Combined TRACON & Tower with Radar,4,"1,812","3,018",30,"4,864",1,155,"1,154",71,"1,381",0,0,0,0,0,0,0,0,0,0,"6,245",
10/1989,BRO ,TX,ASW,CE,Tower without Radar,"1,242",272,"1,250",549,"3,313",0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,"3,328",
Sub-Total for TX,,,,,,"1,246","2,084","4,268",579,"8,177",1,155,"1,169",71,"1,396",0,0,0,0,0,0,0,0,0,0,"9,573",
10/1989,BTR ,LA,ASW,CE,Towers with Radar,"1,559",717,"5,755",171,"8,202",59,878,"2,187",244,"3,368",0,0,0,0,0,0,0,0,0,0,"11,570",
Sub-Total for CE,,,,,,"2,805","2,801","10,023",750,"16,379",60,"1,033","3,356",315,"4,764",0,0,0,0,0,0,0,0,0,0,"21,143",
Sub-Total for ASW,,,,,,"2,805","2,801","10,023",750,"16,379",60,"1,033","3,356",315,"4,764",0,0,0,0,0,0,0,0,0,0,"21,143",
10/1989,BTV ,VT,ANE,EN,Towers with Radar,"1,287","3,397","4,750","2,466","11,900",0,357,727,93,"1,177",0,0,0,0,0,0,0,0,0,0,"13,077",
10/1989,BUF ,NY,AEA,CE,Towers with Radar,"6,069","1,719","3,846",742,"12,376",881,402,"2,578",116,"3,977",0,0,0,0,0,0,0,0,0,0,"16,353",
10/1989,BWI ,MD,AEA,EN,Towers with Radar,"13,666","7,513","10,063",920,"32,162","3,326","4,411","6,083","1,355","15,175",0,0,0,0,0,0,0,0,0,0,"47,337",
Sub-Total for Unknown,,,,,,"22,581","13,346","24,414","4,299","64,640","4,266","6,048","11,575","1,808","23,697",0,0,0,0,0,0,0,0,0,0,"88,337",
Sub-Total for AEA,,,,,,"19,735","9,232","13,909","1,662","44,538","4,207","4,813","8,661","1,471","19,152",0,0,0,0,0,0,0,0,0,0,"63,690",
10/1989,C90 ,IL,AGL,CE,"TRACON, RAPCON, or CERAP","65,025","21,358","16,774","1,015","104,172",99,77,308,13,497,0,0,0,0,0,0,0,0,0,0,"104,669",
10/1989,CAE ,SC,ASO,ES,Towers with Radar,"2,059","1,415","4,898",708,"9,080",22,301,"3,911",450,"4,684",0,0,0,0,0,0,0,0,0,0,"13,764",
