
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations",
10/1989,ABQ ,NM,ASW,WE,Towers with Radar,"5,644","3,067","6,271","2,430","17,412",0,0,0,0,0,"2,132",213,402,331,"3,078",0,0,0,0,0,162,412,574,"21,064","21,064",
10/1989,ADW ,MD,AEA,EN,Combined TRACON & Tower with Radar,2,0,"1,304","7,747","9,053",0,0,879,219,"1,098",9,0,229,133,371,0,0,0,0,0,581,"2,883","3,464","12,888","13,986",
10/1989,ANC ,AK,AAL,WE,Towers with Radar,"7,930","4,254","2,813",148,"15,145",0,0,0,0,0,531,359,259,59,"1,208",0,0,0,0,0,"1,278",24,"1,302","17,655","17,655",
10/1989,ATL ,GA,ASO,ES,Towers with Radar,"46,660","14,057","2,048",100,"62,865",0,0,0,0,0,"1,795",500,304,30,"2,629",0,0,0,0,0,78,0,78,"65,572","65,572",
Sub-Total for Unknown,,,,,,"54,590","18,311","4,861",248,"78,010",0,0,0,0,0,"2,326",859,563,89,"3,837",0,0,0,0,0,"1,356",24,"1,380","83,227","83,227",
10/1989,BDL ,CT,ANE,EN,Combined TRACON & Tower with Radar,"5,336","5,546","3,387",445,"14,714",0,0,0,0,0,315,463,770,158,"1,706",0,0,0,0,0,293,43,336,"16,756","16,756",
10/1989,BNA ,TN,ASO,CE,Towers with Radar,"9,263","5,099","6,909",444,"21,715",0,0,0,0,0,484,200,366,108,"1,158",0,0,0,0,0,169,0,169,"23,042","23,042",
10/1989,BOS ,MA,ANE,EN,Combined TRACON & Tower with Radar,"20,052","12,195","3,948",8,"36,203",0,0,"1,813",3,"1,816","1,111",402,729,8,"2,250",0,0,0,0,0,547,0,547,"39,000","40,816",
10/1989,BWI ,MD,AEA,EN,Towers with Radar,"12,999","7,141","4,831",89,"25,060",0,0,0,0,0,650,293,446,43,"1,432",0,0,0,0,0,80,26,106,"26,598","26,598",
