,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/1994 To 01/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , 
Date,Facility,Region,State,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations"
01/1994,ABE ,AEA,PA,EN,Towers with Radar,"1,196","1,587","1,750",14,"4,547",0,0,0,0,0,111,122,311,41,585,0,0,0,0,0,"2,109",102,"2,211","7,343","7,343"
01/1994,ABI ,ASW,TX,CE,Towers with Radar,3,574,"1,918",497,"2,992",0,0,0,0,0,15,824,241,253,"1,333",0,0,0,0,0,"1,276","1,488","2,764","7,089","7,089"
01/1994,ABQ ,ASW,NM,WE,Towers with Radar,"5,373","3,011","4,799","1,197","14,380",0,0,0,0,0,980,498,366,183,"2,027",0,0,0,0,0,380,516,896,"17,303","17,303"
01/1994,ABY ,ASO,GA,ES,Towers with Display (VFR),13,610,863,49,"1,535",0,0,0,0,0,21,114,"1,064",76,"1,275",0,0,0,0,0,"1,202",142,"1,344","4,154","4,154"
01/1994,ACK ,ANE,MA,EN,Towers with Display (VFR),0,912,122,3,"1,037",0,0,0,0,0,0,"2,643",817,27,"3,487",0,0,0,0,0,52,0,52,"4,576","4,576"
01/1994,ACT ,ASW,TX,CE,Towers with Radar,0,671,924,121,"1,716",0,0,0,0,0,3,72,841,81,997,0,0,0,0,0,514,296,810,"3,523","3,523"
01/1994,ACY ,AEA,NJ,EN,Towers with Radar,252,863,"1,354",427,"2,896",0,0,0,0,0,619,311,381,185,"1,496",0,0,0,0,0,"1,252","1,218","2,470","6,862","6,862"
01/1994,ADM ,ASW,OK,CE,Federal Contract Tower,0,0,155,68,223,0,0,0,0,0,1,17,616,168,802,0,0,0,0,0,748,462,"1,210","2,235","2,235"
01/1994,ADQ ,AAL,AK,WE,Towers with Display (VFR),72,429,31,137,669,0,0,0,0,0,14,924,167,246,"1,351",0,0,0,0,0,495,"1,146","1,641","3,661","3,661"
01/1994,ADS ,ASW,TX,CE,Towers with Display (VFR),0,9,"2,595",0,"2,604",0,0,0,0,0,0,22,"7,654",3,"7,679",0,0,0,0,0,412,0,412,"10,695","10,695"
01/1994,ADW ,AEA,MD,EN,Towers with Radar,0,0,463,"3,964","4,427",0,0,0,0,0,0,0,104,114,218,0,0,0,0,0,302,"1,453","1,755","6,400","6,400"
01/1994,AFW ,ASW,TX,CE,Towers with Display (VFR),18,0,190,5,213,0,0,0,0,0,27,0,"1,339",12,"1,378",0,0,0,0,0,"4,378",52,"4,430","6,021","6,021"
01/1994,AGC ,AEA,PA,CE,Towers with Display (VFR),0,533,"1,707",0,"2,240",0,0,0,0,0,0,384,"1,203",20,"1,607",0,0,0,0,0,"1,548",14,"1,562","5,409","5,409"
01/1994,AGS ,ASO,GA,ES,Towers with Radar,497,416,"1,081",205,"2,199",0,0,0,0,0,61,61,112,97,331,0,0,0,0,0,257,210,467,"2,997","2,997"
01/1994,AKN ,AAL,AK,WE,Towers with Display (VFR),73,354,22,63,512,0,0,0,0,0,25,725,158,28,936,0,0,0,0,0,126,107,233,"1,681","1,681"
01/1994,ALB ,AEA,NY,EN,Towers with Radar,"1,865","4,688","2,047",120,"8,720",0,0,0,0,0,235,372,234,89,930,0,0,0,0,0,241,212,453,"10,103","10,103"
01/1994,ALN ,AGL,IL,CE,Towers with Display (VFR),1,0,675,39,715,0,0,0,0,0,12,34,516,75,637,0,0,0,0,0,"1,514",158,"1,672","3,024","3,024"
01/1994,ALO ,ACE,IA,CE,Towers with Radar,1,"1,445",646,10,"2,102",0,0,0,0,0,3,143,664,213,"1,023",0,0,0,0,0,722,196,918,"4,043","4,043"
01/1994,ALW ,ANM,WA,WE,Towers with Display (VFR),0,469,290,4,763,0,0,0,0,0,0,101,"1,086",12,"1,199",0,0,0,0,0,"1,922",36,"1,958","3,920","3,920"
01/1994,AMA ,ASW,TX,WE,Towers with Radar,784,804,"1,379",337,"3,304",0,0,0,0,0,66,119,69,0,254,0,0,0,0,0,734,"2,680","3,414","6,972","6,972"
01/1994,ANC ,AAL,AK,WE,Combined TRACON & Tower with Radar,"6,555","4,812","1,495",183,"13,045",0,0,115,0,115,316,180,124,65,685,0,0,0,0,0,875,30,905,"14,635","14,750"
01/1994,APA ,ANM,CO,WE,Towers with Display (VFR),0,354,"2,449",11,"2,814",0,0,0,0,0,10,566,"10,850",64,"11,490",0,0,0,0,0,"13,948",284,"14,232","28,536","28,536"
01/1994,APC ,AWP,CA,WE,Towers with Display (VFR),0,0,"1,120",6,"1,126",0,0,0,0,0,0,5,"5,183",10,"5,198",0,0,0,0,0,"7,588",24,"7,612","13,936","13,936"
