iata_code,eventdate_conv,eventcity,eventstate,eventairport,lat,lon, Event Date ,Location , Country ,airportname_new,latitude_rounded,longitude_rounded,eventairport_conv,airportname_new_conv
AGC,06/14/2001,PITTSBURGH,PA,PITTSBURGH INTL,,, 06/14/2001 ,, United States ,Allegheny County Airport,40.4,-79.85,pittsburgh international,allegheny county
AGC,12/18/2000,PITTSBURGH,PA,PITTSBURGH INTL,,, 12/18/2000 ,, United States ,Allegheny County Airport,40.4,-79.85,pittsburgh international,allegheny county
PVG,06/03/2000,PLAINFIELD,IL,BOLINGBROOK'S CLOW INTL,,, 06/03/2000 ,, United States ,Shanghai Pudong International Airport,999999.0,-76.45,bolingbrook's clow international,shanghai pudong international
MAC,12/14/1995,MACON,GA,NEVADA COUNTY AIRPARK,,, 12/14/1995 ,, United States ,Macon Downtown Airport,32.75,-83.6,nevada county airpark,macon downtown
BQV,09/21/1995,GUSTAVUS,AK,GUSTAVUS,,, 09/21/1995 ,, United States ,,58.599999999999994,-135.64999999999998,gustavus,nan
VGT,11/19/1993,LAS VEGAS,NV,MC CARRAN INTL,36.2,-115.2, 11/19/1993 ,, United States ,North Las Vegas Airport,36.2,-115.5,mc carran international,north las vegas
KQA,01/07/1993,AKUTAN,AK,UNALASKA,,, 01/07/1993 ,, United States ,,999999.0,999999.0,unalaska,nan
RNO,07/08/1991,RENO,NV,RENO/STEAD,39.5,-119.8, 07/08/1991 ,, United States ,Reno Tahoe International Airport,39.6,-119.9,reno stead,reno tahoe international
HHI,11/25/1990,WAHIAWA,HI,WHEELER AAF,,, 11/25/1990 ,, United States ,,999999.0,999999.0,wheeler aaf,nan
HHI,11/25/1990,WAHIAWA,HI,WHEELER AAF,,, 11/25/1990 ,, United States ,,999999.0,999999.0,wheeler aaf,nan
PHX,03/13/1990,PITTSTOWN,NJ,SKY MANOR,33.4,-112.0, 03/13/1990 ,, United States ,Phoenix Sky Harbor International Airport,33.45,-112.0,sky manor,phoenix sky harbor international
APA,05/23/1989,DENVER,CO,DENVER INTL,,, 05/23/1989 ,, United States ,Centennial Airport,39.45,999999.0,denver international,centennial
MYF,11/04/1988,MONTGOMERY,AL,MONTGOMERY RGNL (DANNELLY FIELD),,, 11/04/1988 ,, United States ,Montgomery-Gibbs Executive Airport,999999.0,-117.05,montgomery regional dannelly field,montgomery gibbs executive
RFD,07/08/1988,CHICAGO,IL,CHICAGO O'HARE INTL,,, 07/08/1988 ,, United States ,Chicago Rockford International Airport,42.2,-89.15,chicago o'hare international,chicago rockford international
GAI,06/06/1988,FINLEYVILLE,PA,FINLEYVILLE AIRPARK,,, 06/06/1988 ,, United States ,Montgomery County Airpark,39.2,-77.2,finleyville airpark,montgomery county airpark
FNR,11/30/1987,FUNTER BAY,AK,JUNEAU INTL,,, 11/30/1987 ,, United States ,Funter Bay Seaplane Base,999999.0,999999.0,juneau international,funter bay seaplane base
APA,08/01/1987,DENVER,CO,DENVER INTL,,, 08/01/1987 ,, United States ,Centennial Airport,39.45,999999.0,denver international,centennial
MMH,06/27/1986,FRESNO,CA,FRESNO YOSEMITE INTL,37.6,-118.8, 06/27/1986 ,, United States ,Mammoth Yosemite Airport,37.55,-118.8,fresno yosemite international,mammoth yosemite
MMH,09/20/1985,FRESNO,CA,FRESNO YOSEMITE INTL,37.6,-118.8, 09/20/1985 ,, United States ,Mammoth Yosemite Airport,37.55,-118.8,fresno yosemite international,mammoth yosemite
VGT,05/03/1985,LAS VEGAS,NV,MC CARRAN INTL,36.2,-115.2, 05/03/1985 ,, United States ,North Las Vegas Airport,36.2,-115.5,mc carran international,north las vegas
OPF,05/08/1984,OPA LOCKA,FL,OPA LOCKA WEST,,, 05/08/1984 ,, United States ,Miami-Opa Locka Executive Airport,25.95,-80.35,opa locka west,miami opa locka executive
MMH,02/13/1984,FRESNO,CA,FRESNO YOSEMITE INTL,37.6,-118.8, 02/13/1984 ,, United States ,Mammoth Yosemite Airport,37.55,-118.8,fresno yosemite international,mammoth yosemite
RLD,09/20/1983,SIDNEY,MT,SIDNEY-RICHLAND MUNI,,, 09/20/1983 ,, United States ,RICHLAND,46.3,-119.3,sidney richland municipal,richland
SFF,09/11/1983,JARED,WA,SPOKANE INTL,,, 09/11/1983 ,, United States ,Felts Field,47.650000000000006,-117.4,spokane international,felts field
FOK,07/23/1982,WESTHAMPTON BEACH,NY,SUFFOLK CO.,,, 07/23/1982 ,, United States ,Francis S Gabreski Airport,40.8,-72.6,suffolk co.,francis s gabreski
BIL,07/20/1982,EAST BOSTON,MA,GENERAL EDWARD LAWRENCE LOGAN INTL,45.8,-108.5, 07/20/1982 ,, United States ,Billings Logan International Airport,45.8,-108.55,general edward lawrence logan international,billings logan international
UGN,04/05/1982,WAUKEGAN,IL,GILA RIVER MEMORIAL,,, 04/05/1982 ,, United States ,Waukegan National Airport,42.4,-87.9,gila river memorial,waukegan national
CKB,01/12/1982,CLARKSBURG,WV,BORGES - CLARKSBURG,,, 01/12/1982 ,, United States ,North Central West Virginia Airport,38.4,-81.6,borges clarksburg,north central west virginia
