,airport_code,airport_name,year,month,ntsb_accidents,ntsb_incidents,faa_incidents,dataset
441,ABE,Lehigh Valley International Airport,2004,5,0.0,1.0,0.0,ntsb
21200,ABE,Allentown Lehigh Valley Intl,2004,5,0.0,0.0,1.0,faa
451,ABI,Abilene Regional Airport,1985,1,1.0,0.0,0.0,ntsb
4934,ABI,Abilene Regional,1985,1,0.0,0.0,1.0,faa
454,ABI,Abilene Regional Airport,1988,7,0.0,1.0,0.0,ntsb
4942,ABI,Abilene Regional,1988,7,0.0,0.0,1.0,faa
455,ABI,Abilene Regional Airport,1990,11,1.0,0.0,0.0,ntsb
4949,ABI,Abilene Regional,1990,11,0.0,0.0,1.0,faa
456,ABI,Abilene Regional Airport,1997,3,0.0,1.0,0.0,ntsb
4959,ABI,Abilene Regional,1997,3,0.0,0.0,2.0,faa
462,ABI,Abilene Regional Airport,2014,8,1.0,0.0,0.0,ntsb
4981,ABI,Abilene Regional,2014,8,0.0,0.0,1.0,faa
474,ABQ,Albuquerque International Sunport,1982,7,2.0,0.0,0.0,ntsb
40275,ABQ,Albuquerque International Sunport,1982,7,0.0,0.0,2.0,faa
475,ABQ,Albuquerque International Sunport,1982,9,1.0,0.0,0.0,ntsb
40276,ABQ,Albuquerque International Sunport,1982,9,0.0,0.0,1.0,faa
476,ABQ,Albuquerque International Sunport,1982,10,7.0,0.0,0.0,ntsb
40277,ABQ,Albuquerque International Sunport,1982,10,0.0,0.0,2.0,faa
478,ABQ,Albuquerque International Sunport,1983,11,1.0,0.0,0.0,ntsb
40285,ABQ,Albuquerque International Sunport,1983,11,0.0,0.0,1.0,faa
482,ABQ,Albuquerque International Sunport,1984,4,1.0,0.0,0.0,ntsb
40287,ABQ,Albuquerque International Sunport,1984,4,0.0,0.0,2.0,faa
483,ABQ,Albuquerque International Sunport,1984,5,0.0,1.0,0.0,ntsb
40288,ABQ,Albuquerque International Sunport,1984,5,0.0,0.0,2.0,faa
484,ABQ,Albuquerque International Sunport,1984,7,1.0,0.0,0.0,ntsb
40290,ABQ,Albuquerque International Sunport,1984,7,0.0,0.0,3.0,faa
486,ABQ,Albuquerque International Sunport,1984,10,1.0,0.0,0.0,ntsb
40291,ABQ,Albuquerque International Sunport,1984,10,0.0,0.0,3.0,faa
488,ABQ,Albuquerque International Sunport,1985,10,1.0,0.0,0.0,ntsb
40298,ABQ,Albuquerque International Sunport,1985,10,0.0,0.0,2.0,faa
490,ABQ,Albuquerque International Sunport,1986,2,1.0,0.0,0.0,ntsb
40299,ABQ,Albuquerque International Sunport,1986,2,0.0,0.0,1.0,faa
493,ABQ,Albuquerque International Sunport,1986,12,0.0,1.0,0.0,ntsb
40304,ABQ,Albuquerque International Sunport,1986,12,0.0,0.0,1.0,faa
496,ABQ,Albuquerque International Sunport,1987,10,3.0,0.0,0.0,ntsb
40308,ABQ,Albuquerque International Sunport,1987,10,0.0,0.0,1.0,faa
499,ABQ,Albuquerque International Sunport,1988,3,1.0,0.0,0.0,ntsb
40311,ABQ,Albuquerque International Sunport,1988,3,0.0,0.0,1.0,faa
502,ABQ,Albuquerque International Sunport,1989,8,1.0,0.0,0.0,ntsb
40321,ABQ,Albuquerque International Sunport,1989,8,0.0,0.0,1.0,faa
503,ABQ,Albuquerque International Sunport,1989,10,2.0,0.0,0.0,ntsb
40322,ABQ,Albuquerque International Sunport,1989,10,0.0,0.0,4.0,faa
507,ABQ,Albuquerque International Sunport,1992,1,1.0,0.0,0.0,ntsb
40332,ABQ,Albuquerque International Sunport,1992,1,0.0,0.0,1.0,faa
509,ABQ,Albuquerque International Sunport,1992,10,2.0,0.0,0.0,ntsb
40337,ABQ,Albuquerque International Sunport,1992,10,0.0,0.0,1.0,faa
511,ABQ,Albuquerque International Sunport,1993,10,2.0,0.0,0.0,ntsb
40341,ABQ,Albuquerque International Sunport,1993,10,0.0,0.0,1.0,faa
512,ABQ,Albuquerque International Sunport,1994,6,1.0,0.0,0.0,ntsb
40344,ABQ,Albuquerque International Sunport,1994,6,0.0,0.0,1.0,faa
516,ABQ,Albuquerque International Sunport,1995,10,1.0,0.0,0.0,ntsb
40349,ABQ,Albuquerque International Sunport,1995,10,0.0,0.0,2.0,faa
517,ABQ,Albuquerque International Sunport,1996,3,1.0,0.0,0.0,ntsb
40351,ABQ,Albuquerque International Sunport,1996,3,0.0,0.0,1.0,faa
520,ABQ,Albuquerque International Sunport,1996,6,0.0,1.0,0.0,ntsb
40352,ABQ,Albuquerque International Sunport,1996,6,0.0,0.0,2.0,faa
521,ABQ,Albuquerque International Sunport,1996,10,3.0,0.0,0.0,ntsb
40353,ABQ,Albuquerque International Sunport,1996,10,0.0,0.0,1.0,faa
525,ABQ,Albuquerque International Sunport,1997,9,1.0,0.0,0.0,ntsb
40358,ABQ,Albuquerque International Sunport,1997,9,0.0,0.0,2.0,faa
526,ABQ,Albuquerque International Sunport,1997,10,4.0,0.0,0.0,ntsb
40359,ABQ,Albuquerque International Sunport,1997,10,0.0,0.0,1.0,faa
527,ABQ,Albuquerque International Sunport,1998,5,1.0,0.0,0.0,ntsb
40362,ABQ,Albuquerque International Sunport,1998,5,0.0,0.0,1.0,faa
528,ABQ,Albuquerque International Sunport,1998,6,1.0,0.0,0.0,ntsb
40363,ABQ,Albuquerque International Sunport,1998,6,0.0,0.0,1.0,faa
530,ABQ,Albuquerque International Sunport,1998,10,5.0,0.0,0.0,ntsb
40365,ABQ,Albuquerque International Sunport,1998,10,0.0,0.0,4.0,faa
531,ABQ,Albuquerque International Sunport,1999,1,1.0,0.0,0.0,ntsb
40368,ABQ,Albuquerque International Sunport,1999,1,0.0,0.0,1.0,faa
532,ABQ,Albuquerque International Sunport,1999,4,1.0,0.0,0.0,ntsb
40371,ABQ,Albuquerque International Sunport,1999,4,0.0,0.0,3.0,faa
533,ABQ,Albuquerque International Sunport,1999,7,1.0,0.0,0.0,ntsb
40374,ABQ,Albuquerque International Sunport,1999,7,0.0,0.0,2.0,faa
534,ABQ,Albuquerque International Sunport,1999,8,1.0,0.0,0.0,ntsb
40375,ABQ,Albuquerque International Sunport,1999,8,0.0,0.0,1.0,faa
536,ABQ,Albuquerque International Sunport,2000,8,1.0,0.0,0.0,ntsb
40382,ABQ,Albuquerque International Sunport,2000,8,0.0,0.0,1.0,faa
540,ABQ,Albuquerque International Sunport,2001,5,1.0,0.0,0.0,ntsb
40383,ABQ,Albuquerque International Sunport,2001,5,0.0,0.0,1.0,faa
543,ABQ,Albuquerque International Sunport,2002,3,3.0,0.0,0.0,ntsb
40385,ABQ,Albuquerque International Sunport,2002,3,0.0,0.0,1.0,faa
544,ABQ,Albuquerque International Sunport,2002,4,1.0,0.0,0.0,ntsb
40386,ABQ,Albuquerque International Sunport,2002,4,0.0,0.0,1.0,faa
550,ABQ,Albuquerque International Sunport,2003,10,1.0,0.0,0.0,ntsb
40389,ABQ,Albuquerque International Sunport,2003,10,0.0,0.0,1.0,faa
570,ABQ,Albuquerque International Sunport,2011,5,1.0,0.0,0.0,ntsb
40405,ABQ,Albuquerque International Sunport,2011,5,0.0,0.0,1.0,faa
576,ABQ,Albuquerque International Sunport,2015,9,1.0,0.0,0.0,ntsb
40408,ABQ,Albuquerque International Sunport,2015,9,0.0,0.0,1.0,faa
581,ABQ,Albuquerque International Sunport,2017,10,2.0,0.0,0.0,ntsb
40412,ABQ,Albuquerque International Sunport,2017,10,0.0,0.0,1.0,faa
599,ABY,Southwest Georgia Regional Airport,1989,8,1.0,0.0,0.0,ntsb
45963,ABY,Albany Southwest Georgia Rgnl,1989,8,0.0,0.0,1.0,faa
620,ACK,Nantucket Memorial Airport,1983,6,1.0,0.0,0.0,ntsb
18266,ACK,Nantucket Memorial,1983,6,0.0,0.0,2.0,faa
626,ACK,Nantucket Memorial Airport,1987,8,1.0,0.0,0.0,ntsb
18269,ACK,Nantucket Memorial,1987,8,0.0,0.0,1.0,faa
629,ACK,Nantucket Memorial Airport,1991,8,1.0,0.0,0.0,ntsb
18272,ACK,Nantucket Memorial,1991,8,0.0,0.0,1.0,faa
633,ACK,Nantucket Memorial Airport,1999,9,1.0,0.0,0.0,ntsb
18281,ACK,Nantucket Memorial,1999,9,0.0,0.0,1.0,faa
634,ACK,Nantucket Memorial Airport,2000,8,1.0,0.0,0.0,ntsb
18283,ACK,Nantucket Memorial,2000,8,0.0,0.0,1.0,faa
635,ACK,Nantucket Memorial Airport,2002,1,1.0,0.0,0.0,ntsb
18284,ACK,Nantucket Memorial,2002,1,0.0,0.0,1.0,faa
640,ACK,Nantucket Memorial Airport,2009,4,0.0,1.0,0.0,ntsb
18300,ACK,Nantucket Memorial,2009,4,0.0,0.0,1.0,faa
641,ACK,Nantucket Memorial Airport,2011,11,0.0,1.0,0.0,ntsb
18304,ACK,Nantucket Memorial,2011,11,0.0,0.0,1.0,faa
642,ACK,Nantucket Memorial Airport,2012,8,0.0,1.0,0.0,ntsb
18305,ACK,Nantucket Memorial,2012,8,0.0,0.0,1.0,faa
643,ACK,Nantucket Memorial Airport,2012,10,0.0,1.0,0.0,ntsb
18306,ACK,Nantucket Memorial,2012,10,0.0,0.0,1.0,faa
658,ACY,Atlantic City International Airport,1982,3,1.0,0.0,0.0,ntsb
49455,ACY,Atlantic City International,1982,3,0.0,0.0,2.0,faa
664,ACY,Atlantic City International Airport,1990,11,1.0,0.0,0.0,ntsb
49484,ACY,Atlantic City International,1990,11,0.0,0.0,1.0,faa
666,ACY,Atlantic City International Airport,1993,6,0.0,1.0,0.0,ntsb
49491,ACY,Atlantic City International,1993,6,0.0,0.0,1.0,faa
670,ACY,Atlantic City International Airport,2002,5,0.0,1.0,0.0,ntsb
