eventairport,Freq
,18945
"""BATON ROUGE METROPOLITAN, RYAN FIELD""",1
"""WELLSVILLE MUNI ARPT,TARANTINE FLD""",2
7-H SKEET CLUB INC FIELD,1
85TH AVENUE AIRSTRIP,1
A B DOCK SERVICES,1
A L MANGHAM JR. RGNL,12
AAF,1
ABBA'S,4
ABBEVILLE CHRIS CRUSTA MEMORIAL,9
ABBEVILLE MUNI,1
ABERDEEN MUNI,3
ABERDEEN RGNL,19
ABERNATHY FIELD,1
ABERNATHY MUNI,3
ABI,1
ABILENE MUNI,24
ABILENE RGNL,78
ABRAHAM LINCOLN CAPITAL,150
ABRAMS MUNI,8
ACADIA MUNI,1
ACADIANA RGNL,36
ACAPULCO INTL,1
ACCOMACK COUNTY,7
ADA,3
ADA MUNI,8
ADAK,1
ADAMS,1
ADAMS FIELD,144
ADAMS STRIP,1
ADDINGTON FIELD,6
ADDISON,175
ADDISON MUNI,15
ADELANTO,1
ADIRONDACK AIRPARK ESTATES,1
ADIRONDACK HELICOPTERS,1
ADIRONDACK RGNL,19
ADJUNTAS,1
AERO COUNTRY,9
AERO ESTATES,1
AEROFLEX-ANDOVER,4
AFTON MUNI,9
AG AVIATION,1
AGANA INTL,8
AGANA MUNI,3
AGUA CALIENTE,3
AGUA DULCE,1
AGUA DULCE MUNI,4
AHA-QUIN,1
AIKEN MUNI,13
AINSWORTH MUNI,2
AINSWORTH RGNL,5
AIR ACRES,3
AIR HARBOR,8
AIR LOGISTICS (VENICE) N,1
AIR LOGISTICS SABINE,1
AIR PARK FIELD,1
AIR PARK SOUTH,8
AIR PARK-DALLAS,10
AIR SAILING,1
AIRGLADES,12
AIRLAKE,34
AIRMAN ACRES,1
AIRPARK EAST,2
AIRPARK ESTATES,1
AIRPORT MANATEE,3
AIRTREK,3
AITKIN MUNI-STEVE KURTZ FIELD,3
AK CHIN COMMUNITY AIRFIELD,3
AK-CHIN,1
AKHIOK,2
AKIACHAK,2
AKIAK,1
AKRON,15
AKRON FULTON INTL,15
AKRON MUNI,12
AKRON-CANTON RGNL,88
ALAKANUK,1
ALAMEDA,3
ALAMEDA ARPT,5
ALAMO LANDING FIELD,1
ALAMOGORDO-WHITE SANDS RGNL,23
ALAMOSA MUNI,2
ALBANY,1
ALBANY INTL,329
ALBANY MUNI,18
ALBEMARLE MUNI,1
ALBERT J ELLIS,11
ALBERT J LINDBERG,1
ALBERT LEA MUNI,8
ALBERT WHITTED,62
ALBERTUS,8
ALBERTVILLE RGNL-THOMAS J BRUMLIK FLD,3
ALBIA MUNI,3
ALBION MUNI,1
ALBUQUERQUE INTL SUNPORT,255
ALBUQUERQUE MUNI,8
ALDERMAN,2
ALEKNAGIK MISSION STRIP,1
ALERT FIELD,1
ALEXANDER FIELD SOUTH WOOD COUNTY,4
ALEXANDER MUNI,23
ALEXANDER SALAMON,1
ALEXANDRIA,11
ALEXANDRIA INTL,11
ALEXANDRIA MUNI,3
ALFONSINAS MUNI,1
ALFRED C 'BUBBA' THOMAS,4
ALGONA MUNI,7
ALICE INTL,8
ALL WEST,1
ALLAKAKET MUNI,1
ALLEGAN MUNI,1
ALLEGHENY COUNTY,163
ALLEGHENY GENERAL HOSPITAL EMERGENCY,1
ALLEN,3
ALLEN AAF,3
ALLEN COUNTY,6
ALLEN PARISH,3
ALLENDALE COUNTY,2
ALLENTOWN MUNI,2
ALLENTOWN QUEEN CITY MUNI,26
ALLIANCE MUNI,10
ALLISON MUNI,1
ALMONT MUNI,1
ALMYRA MUNI,1
ALPENA COUNTY RGNL,7
ALPINE,1
ALPINE AIRSTRIP,1
ALPINE-CASPARIS MUNI,7
ALSEK RIVER MUNI,1
ALTON BAY,5
ALTON FIELD,2
ALTOONA MUNI,1
ALTOONA-BLAIR COUNTY,32
ALTURAS MUNI,3
ALTUS AFB,1
ALTUS/QUARTZ MOUNTAIN RGNL,6
ALVA MUNI,2
ALVA RGNL,1
ALVIN MUNI,3
AMANA,5
AMARILLO MUNI,1
AMBLER,4
AMCH,1
AMEDEE AAF,1
AMELIA EARHART,5
AMERICAN FALLS MUNI,1
