,iata_code,clean_name,JAN-78,FEB-78,MAR-78,APR-78,MAY-78,JUN-78,JUL-78,AUG-78,SEP-78,OCT-78,NOV-78,DEC-78,JAN-79,FEB-79,MAR-79,APR-79,MAY-79,JUN-79,JUL-79,AUG-79,SEP-79,OCT-79,NOV-79,DEC-79,JAN-80,FEB-80,MAR-80,APR-80,MAY-80,JUN-80,JUL-80,AUG-80,SEP-80,OCT-80,NOV-80,DEC-80,JAN-81,FEB-81,MAR-81,APR-81,MAY-81,JUN-81,JUL-81,AUG-81,SEP-81,OCT-81,NOV-81,DEC-81,JAN-82,FEB-82,MAR-82,APR-82,MAY-82,JUN-82,JUL-82,AUG-82,SEP-82,OCT-82,NOV-82,DEC-82,JAN-83,FEB-83,MAR-83,APR-83,MAY-83,JUN-83,JUL-83,AUG-83,SEP-83,OCT-83,NOV-83,DEC-83,JAN-84,FEB-84,MAR-84,APR-84,MAY-84,JUN-84,JUL-84,AUG-84,SEP-84,OCT-84,NOV-84,DEC-84,JAN-85,FEB-85,MAR-85,APR-85,MAY-85,JUN-85,JUL-85,AUG-85,SEP-85,OCT-85,NOV-85,DEC-85,JAN-86,FEB-86,MAR-86,APR-86,MAY-86,JUN-86,JUL-86,AUG-86,SEP-86,OCT-86,NOV-86,DEC-86,JAN-87,FEB-87,MAR-87,APR-87,MAY-87,JUN-87,JUL-87,AUG-87,SEP-87,OCT-87,NOV-87,DEC-87,JAN-88,FEB-88,MAR-88,APR-88,MAY-88,JUN-88,JUL-88,AUG-88,SEP-88,OCT-88,NOV-88,DEC-88,JAN-89,FEB-89,MAR-89,APR-89,MAY-89,JUN-89,JUL-89,AUG-89,SEP-89,OCT-89,NOV-89,DEC-89,JAN-90,FEB-90,MAR-90,APR-90,MAY-90,JUN-90,JUL-90,AUG-90,SEP-90,OCT-90,NOV-90,DEC-90,JAN-91,FEB-91,MAR-91,APR-91,MAY-91,JUN-91,JUL-91,AUG-91,SEP-91,OCT-91,NOV-91,DEC-91,JAN-92,FEB-92,MAR-92,APR-92,MAY-92,JUN-92,JUL-92,AUG-92,SEP-92,OCT-92,NOV-92,DEC-92,JAN-93,FEB-93,MAR-93,APR-93,MAY-93,JUN-93,JUL-93,AUG-93,SEP-93,OCT-93,NOV-93,DEC-93,JAN-94,FEB-94,MAR-94,APR-94,MAY-94,JUN-94,JUL-94,AUG-94,SEP-94,OCT-94,NOV-94,DEC-94,JAN-95,FEB-95,MAR-95,APR-95,MAY-95,JUN-95,JUL-95,AUG-95,SEP-95,OCT-95,NOV-95,DEC-95,JAN-96,FEB-96,MAR-96,APR-96,MAY-96,JUN-96,JUL-96,AUG-96,SEP-96,OCT-96,NOV-96,DEC-96,JAN-97,FEB-97,MAR-97,APR-97,MAY-97,JUN-97,JUL-97,AUG-97,SEP-97,OCT-97,NOV-97,DEC-97,JAN-98,FEB-98,MAR-98,APR-98,MAY-98,JUN-98,JUL-98,AUG-98,SEP-98,OCT-98,NOV-98,DEC-98,JAN-99,FEB-99,MAR-99,APR-99,MAY-99,JUN-99,JUL-99,AUG-99,SEP-99,OCT-99,NOV-99,DEC-99,JAN-00,FEB-00,MAR-00,APR-00,MAY-00,JUN-00,JUL-00,AUG-00,SEP-00,OCT-00,NOV-00,DEC-00,JAN-01,FEB-01,MAR-01,APR-01,MAY-01,JUN-01,JUL-01,AUG-01,SEP-01,OCT-01,NOV-01,DEC-01,JAN-02,FEB-02,MAR-02,APR-02,MAY-02,JUN-02,JUL-02,AUG-02,SEP-02,OCT-02,NOV-02,DEC-02,JAN-03,FEB-03,MAR-03,APR-03,MAY-03,JUN-03,JUL-03,AUG-03,SEP-03,OCT-03,NOV-03,DEC-03,JAN-04,FEB-04,MAR-04,APR-04,MAY-04,JUN-04,JUL-04,AUG-04,SEP-04,OCT-04,NOV-04,DEC-04,JAN-05,FEB-05,MAR-05,APR-05,MAY-05,JUN-05,JUL-05,AUG-05,SEP-05,OCT-05,NOV-05,DEC-05,JAN-06,FEB-06,MAR-06,APR-06,MAY-06,JUN-06,JUL-06,AUG-06,SEP-06,OCT-06,NOV-06,DEC-06,JAN-07,FEB-07,MAR-07,APR-07,MAY-07,JUN-07,JUL-07,AUG-07,SEP-07,OCT-07,NOV-07,DEC-07,JAN-08,FEB-08,MAR-08,APR-08,MAY-08,JUN-08,JUL-08,AUG-08,SEP-08,OCT-08,NOV-08,DEC-08,JAN-09,FEB-09,MAR-09,APR-09,MAY-09,JUN-09,JUL-09,AUG-09,SEP-09,OCT-09,NOV-09,DEC-09,JAN-10,FEB-10,MAR-10,APR-10,MAY-10,JUN-10,JUL-10,AUG-10,SEP-10,OCT-10,NOV-10,DEC-10,JAN-11,FEB-11,MAR-11,APR-11,MAY-11,JUN-11,JUL-11,AUG-11,SEP-11,OCT-11,NOV-11,DEC-11,JAN-12,FEB-12,MAR-12,APR-12,MAY-12,JUN-12,JUL-12,AUG-12,SEP-12,OCT-12,NOV-12,DEC-12,JAN-13,FEB-13,MAR-13,APR-13,MAY-13,JUN-13,JUL-13,AUG-13,SEP-13,OCT-13,NOV-13,DEC-13,JAN-14,FEB-14,MAR-14,APR-14,MAY-14,JUN-14,JUL-14,AUG-14,SEP-14,OCT-14,NOV-14,DEC-14,JAN-15,FEB-15,MAR-15,APR-15,MAY-15,JUN-15,JUL-15,AUG-15,SEP-15,OCT-15,NOV-15,DEC-15,JAN-16,FEB-16,MAR-16,APR-16,MAY-16,JUN-16,JUL-16,AUG-16,SEP-16,OCT-16,NOV-16,DEC-16,JAN-17,FEB-17,MAR-17,APR-17,MAY-17,JUN-17,JUL-17,AUG-17,SEP-17,OCT-17,NOV-17,DEC-17,JAN-18,FEB-18,MAR-18,APR-18,MAY-18,JUN-18,JUL-18,AUG-18,SEP-18,OCT-18,NOV-18,DEC-18,JAN-19,FEB-19,MAR-19,APR-19,MAY-19,JUN-19,JUL-19,AUG-19,SEP-19,OCT-19,NOV-19,DEC-19,JAN-20,FEB-20,MAR-20,APR-20,MAY-20,JUN-20,JUL-20,AUG-20,SEP-20,OCT-20,NOV-20,DEC-20
0,,,86,66,122,117,125,135,135,144,121,88,81,70,88,89,95,121,112,139,108,122,116,93,73,72,99,108,106,118,118,106,132,96,109,79,85,76,99,88,95,96,86,82,78,66,74,64,54,36,41,34,36,38,37,29,42,43,42,32,25,24,26,27,26,38,40,45,57,45,38,34,30,29,32,27,19,39,40,38,43,44,41,33,35,25,27,29,32,45,71,53,73,67,48,50,45,40,36,46,67,63,68,64,61,77,65,48,55,34,49,57,62,69,74,80,94,84,63,72,49,55,53,60,77,75,90,80,89,92,90,75,64,62,56,30,65,68,75,84,93,72,61,72,54,48,55,48,51,69,71,72,99,76,73,58,54,52,53,52,58,71,82,92,104,94,68,54,52,48,45,42,41,50,63,87,87,71,76,70,31,38,37,45,44,58,54,62,91,73,67,52,46,39,35,36,53,63,91,63,71,57,64,44,41,42,23,34,55,50,52,59,68,73,45,56,40,17,26,24,40,28,46,53,53,67,46,50,25,20,31,24,42,24,35,51,36,52,51,46,31,27,19,23,26,35,43,32,40,41,36,20,17,20,30,30,14,36,37,33,49,43,36,32,28,19,16,21,35,39,33,45,41,52,34,27,19,19,12,12,22,28,35,29,30,40,29,28,24,22,25,29,33,45,46,45,58,51,41,45,26,14,13,25,28,27,29,39,42,25,25,35,19,21,30,25,31,25,29,32,37,26,22,30,15,15,7,18,21,23,23,34,40,18,30,21,20,17,10,13,25,14,28,27,33,23,34,21,16,22,10,21,40,21,46,47,50,41,37,34,29,16,25,25,16,14,40,28,35,30,21,10,10,14,13,15,10,15,21,23,32,23,15,18,18,12,16,8,18,21,16,26,27,30,25,17,13,7,13,12,18,19,23,11,26,34,21,14,10,16,15,15,12,17,22,20,20,24,17,10,18,11,14,10,10,17,17,23,21,25,13,12,8,6,13,11,9,24,12,18,26,22,17,9,7,11,12,8,10,11,14,18,14,18,18,14,9,10,8,12,7,13,19,28,18,19,14,8,9,5,15,8,9,16,13,15,32,18,13,17,9,7,12,10,11,8,16,13,19,23,17,13,6,7,7,3,9,11,12,12,26,15,9,7,6,9,0,0,0,0,0,0,0,0,0,0,0,0
1,DVL,Devils Lake Regional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,VDO,Quang Ninh Van Don International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,DTR,Decatur Island Decatur Shores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,EVM,Eveleth Eveleth-Virginia Muni,1,2,7,1,1,5,3,1,2,2,2,1,3,4,2,0,2,1,2,1,1,3,2,0,2,1,2,4,1,2,1,2,6,4,3,1,0,0,0,2,2,3,1,0,2,2,0,0,0,0,1,0,0,1,1,2,0,0,1,1,0,0,0,1,0,1,0,1,2,1,1,1,1,2,0,0,2,0,0,1,1,0,2,0,1,0,1,1,1,3,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0,0,2,0,0,0,2,0,1,0,2,1,0,0,1,0,2,1,2,0,0,2,1,0,1,0,0,1,0,1,1,1,0,2,1,0,0,0,0,2,1,0,1,0,0,0,1,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,1,1,0,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,3,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,2,0,0,0,1,2,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,YXL,Sioux Lookout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CIU,Sault Ste Marie Chippewa County Intl,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,KYI,Yalata Mission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,EAT,Wenatchee Pangborn Memorial,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,DGL,Douglas/Bisbee Douglas Municipal,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
