"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20190101007219I","01-JAN-19","STUART","FL","WITHAM FIELD","INCIDENT","MINOR","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","51SC","0","0","BOMBAR","ROTAX (ALL)","912","","PRIVATE PILOT","2700","1000","30",""
"20190101007229I","01-JAN-19","HILLIARD","FL","HILLIARD AIRPARK","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","BEECH","36","A36","","","GENERAL OPERATING RULES","","636BE","0","0","CONT M","IO-550 SERIES","","1","COMMERCIAL PILOT","1212","515","20",""
"20190101008169I","01-JAN-19","VENICE","LA","","INCIDENT","MINOR","TAKEOFF: DEPARTURE","PIPER","PA28","235","","","GENERAL OPERATING RULES","","9093W","0","0","LYCOMI","0-540 SERIES","","","","","","",""
"20190101016219I","01-JAN-19","VENICE","FL","VENICE MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","35","C35","","","GENERAL OPERATING RULES","","241EE","0","0","CONT M","E225 SERIES","","","PRIVATE PILOT","2500","700","30",""
"20190102007249I","02-JAN-19","ROCK HILL","SC","ROCK HILL/YORK CO/BRYANT FIELD","INCIDENT","MINOR","LANDING: APPROACH","MOONEY","M20F","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","9723M","0","0","LYCOMI","I0360 SER","","1","AIRLINE TRANSPORT","7000","","",""
"20190103007259I","03-JAN-19","DAYTONA BEACH","FL","DAYTONA BEACH INTL","INCIDENT","MINOR","LANDING: APPROACH","","","","","","PILOT SCHOOLS","","442ER","0","0","LYCOMI","IO-360-L2A","","1","COMMERCIAL PILOT","1024","923","94",""
"20190104003679I","04-JAN-19","SENECA FALLS","NY","FINGER LAKES RGNL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA28","140","","","GENERAL OPERATING RULES","","4595R","0","0","LYCOMI","0-320 SERIES","E2A","","","","","",""
"20190104007269I","04-JAN-19","NAPLES","FL","NAPLES MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","M","","","GENERAL OPERATING RULES","","24GV","0","0","LYCOMI","0-320 SERIES","NOT AP","1","PRIVATE PILOT","270","173","53",""
"20190104007279I","04-JAN-19","ADDISON","TX","ADDISON","INCIDENT","MINOR","TAXI","BEECH","300","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","300VP","0","0","P&W CA","PT6A-60A","","","PRIVATE PILOT","2369","175","30",""
"20190105007289I","05-JAN-19","BROOMFIELD","CO","ROCKY MOUNTAIN METROPOLITAN","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20K","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","1017L","0","0","CONT M","TSIO-360 SER","","1","PRIVATE PILOT","600","300","30",""
"20190105007299I","05-JAN-19","MIDLAND","TX","MIDLAND INTL","INCIDENT","NONE","TAXI","","","","","","GENERAL OPERATING RULES","","64FX","0","0","","","","","PRIVATE PILOT","50","","",""
"20190105008179I","05-JAN-19","ROANOKE","AL","ROANOKE MUNI","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA34","200T","","","GENERAL OPERATING RULES","","8510F","0","0","CONT M","TSIO-360 SER","","","PRIVATE PILOT","1600","1200","10",""
