airportname,Freq
  ,30602
 (GRASS STRIP) ,1
 (PRIVATE STRIP NOT NAMED) ,1
 (PRIVATE-NO NAME) ,1
 (Pvt) Gibbons Flying Service ,1
 (REMOTE FIELD SITE) ,1
 (UNIMPROVED BEACH) ,1
 (USFS) VINES ,1
 (private) ,1
 --- ,1
 07 ,1
 12E Airstrip ,1
 12TH STREET ,1
 1MODESTO ,1
 3 RIVERS PRIVATE ,1
 33 STRIP ,1
 34TH HELIPORT ,2
 34TH ST. HELIPORT ,1
 3M ,1
 50S ,1
 60TH STREET HELIPORT ,1
 6L Farms Turf Strip ,1
 7 ,1
 7 BAYS ,1
 76 RANCH ,1
 7M RANCH ,2
 81ST ST. AIRPARK ,2
 85TH AVENUE AIRSTRIP ,2
 A L MANGHAM JR RGNL ,1
 A L MANGHAM JR. REGIONAL ,1
 A L Mangham Jr. Regional ,1
 A R S SPORT STRIP ,1
 A&P Airpark Airport ,1
 A.C. Goodwin Memorial Field ,1
 A.L. MANGHAM JR. REGIONAL ,1
 A.L. Mangham Jr. Regional ,2
" A.L.MANGHAM,JR RGNL ",1
 A.N.F AIR SERVICE ,1
 ABANDONED ,2
 ABANDONED AIR STRIP ,1
 ABANDONED AIRSTRIP ,3
 ABANDONED MINE STRIP ,1
 ABANDONED STRIP ,2
 ABBEVILLE ,2
 ABBEVILLE MUNI ,1
 ABERDEEN ,1
 ABERDEEN MUNI ,2
 ABERDEEN MUNICIPAL ,1
 ABERDEEN REGIONAL ,4
 ABERDEEN REGIONAL AIRPORT ,2
 ABERNATHY ,1
 ABERNATHY FIELD ,1
 ABERNATHY MUNI ,1
 ABILENE ,4
 ABILENE MUNI ,1
 ABILENE MUNI. ,1
 ABILENE MUNICIPAL ,3
 ABILENE MUNICIPAL AIRPORT ,1
 ABILENE MUNICIPLE ,1
 ABILENE REGIONAL ,4
 ABILENE RGNL ,1
 ABRAHAM LINCOLN CAPITAL ,1
 ABRAMS ,2
 ABRAMS MUNICIPAL ,1
 ABRAMS MUNICIPAL AIRPORT ,1
