,eventairport_conv,count,eventcity,event_fullstate,eventstate,count_by_loc,,
0,arlington municipal,98,arlington,Texas,TX,57,GKY,
1,arlington municipal,98,arlington,Washington,WA,36,AWO,
2,arlington municipal,98,arlington,Tennessee,TN,5,?,
3,corona municipal,91,corona,California,CA,91,AJO,
4,denton municipal,77,denton,Texas,TX,76,DTO,
5,denton municipal,77,pilot point,Texas,TX,1,DTO,
6,anoka county blaine arpt(janes field,72,blaine,Minnesota,MN,10,ANE,
7,anoka county blaine arpt(janes field,72,minneapolis,Minnesota,MN,51,ANE,
8,anoka county blaine arpt(janes field,72,anoka,Minnesota,MN,11,ANE,
9,lake hood,71,anchorage,Alaska,AK,70,LHD,
10,lake hood,71,gridwood,Alaska,AK,1,LHD,
11,chandler municipal,63,chandler,Oklahoma,OK,1,CQB,
12,chandler municipal,63,chandler,Arizona,AZ,62,CHD,
13,chandler municipal,63,,,,0,,
14,deland municipal sidney h taylor field,61,deland,Florida,FL,61,DED,
15,deland municipal sidney h taylor field,61,,Florida,FL,0,DED,
16,front range,53,watkins,Colorado,CO,14,FTG,
17,front range,53,denver,Colorado,CO,38,FTG,
18,front range,53,,Colorado,CO,0,FTG,
19,front range,53,,,,0,FTG,
20,front range,53,strasburg,Colorado,CO,1,FTG,
21,merrill c meigs,50,chicago,Illinois,IL,48,CGX,
22,merrill c meigs,50,gallipolis,Ohio,OH,2,GAS,
23,collin county regional at mc kinney,48,dallas,Texas,TX,3,TKI,
24,collin county regional at mc kinney,48,mc kinney,Texas,TX,44,TKI,
25,collin county regional at mc kinney,48,melissa,Texas,TX,1,TKI,
26,ramona,48,ramona,California,CA,46,RNM,
27,ramona,48,ramona,Arizona,AZ,1,,
28,ramona,48,san diego,California,CA,1,RNM,
29,skyhaven,41,rochester,New Hampshire,NH,17,DAW,
30,skyhaven,41,warrensburg,Missouri,MO,19,RCM,
31,skyhaven,41,tunkhannock,Pennsylvania,PA,5,76N,
32,new smyrna beach municipal,41,new smyrna beach,Florida,FL,41,EVB,
33,new smyrna beach municipal,41,,Florida,FL,0,EVB,
34,genesee county,41,batavia,New York,NY,41,GVQ,
35,merced rgnl//macready field,40,merced,California,CA,38,MCE,
36,merced rgnl//macready field,40,dos palos,California,CA,1,MCE,
37,merced rgnl//macready field,40,gustine,California,CA,1,MCE,
38,hernando county,40,brooksville,Florida,FL,40,BKV,
39,tampa executive,39,tampa,Florida,FL,39,VDF,
40,flagler county,38,bunnell,Florida,FL,24,FIN,
41,flagler county,38,flagler,Florida,FL,3,FIN,
42,flagler county,38,palm coast,Florida,FL,11,FIN,
43,grand prairie municipal,37,grand prairie,Texas,TX,37,GPM,
44,grand prairie municipal,37,,Texas,TX,0,GPM,
45,perris valley,36,perris,California,CA,36,L65,
46,birchwood,35,anchorage,Alaska,AK,1,BCV,
47,birchwood,35,chugiak,Alaska,AK,9,BCV,
48,birchwood,35,birchwood,Alaska,AK,25,BCV,
49,lincoln park,35,lincoln park,New Jersey,NJ,35,N07,
50,carroll county regional jack b poage field,35,carroll,New Hampshire,NH,1,,
