eventairport_conv,eventcity
lambert st louis international,296
mc carran international,215
dallas fort worth international,211
hartsfield jackson atlanta international,198
raleigh durham international,154
john f kennedy international,147
general mitchell international,116
norman y. mineta san jose international,112
seattle tacoma international,111
reid hillview of santa clara county,107
la guardia,99
arlington municipal,76
luis munoz marin international,71
savannah hilton head international,68
denton municipal,65
anoka county blaine arpt(janes field,58
portland hillsboro,57
corona municipal,56
chandler municipal,56
deland municipal sidney h taylor field,54
ryan field,53
front range,52
elmira corning regional,46
newport news williamsburg international,45
ogden hinckley,44
ramona,42
ormond beach municipal,41
flagler county,38
lake hood,38
new smyrna beach municipal,38
collin county regional at mc kinney,36
tampa executive,35
skyhaven,35
jackson evers international,34
montgomery regional dannelly field,33
lincoln park,33
carroll county regional jack b poage field,32
hernando county,32
lancaster regional,32
georgetown municipal,31
gary chicago international,31
eloy municipal,31
genesee county,31
petaluma municipal,31
grand prairie municipal,29
airlake,28
bessemer,28
birchwood,28
st charles county smartt,28
hampton roads executive,28
durango la plata county,28
perris valley,27
san marcos municipal,26
new braunfels municipal,26
fort worth spinks,26
mesquite metro,26
crystal river,25
warrenton fauquier,25
north palm beach county general aviation,25
lincoln regional karl harder field,25
houston southwest,25
flying w,24
fairfield county,24
caldwell industrial,24
lake hood strip,23
lee's summit municipal,23
skykomish state,23
gulfport biloxi international,23
lodi,23
leesburg executive,23
suffolk executive,23
stellar airpark,23
merced rgnl//macready field,23
clarence e page municipal,22
meadow lake,22
salisbury ocean city wicomico regional,22
cross keys,22
culpeper regional,21
northwest regional,21
tracy municipal,21
nut tree,21
fitchburg municipal,21
oneida county,21
charlotte monroe executive,21
sebastian municipal,21
lansing municipal,21
h l sonny callahan,20
south county arpt of santa clara county,20
hammond northshore regional,20
sundance airpark,20
murfreesboro municipal,20
tri cities regional tn va,20
merrill c meigs,20
lake elmo,20
cameron airpark,19
scappoose industrial airpark,19
augusta municipal,19
clermont county,19
braden airpark,18
erie municipal,18
alexander municipal,18
mansfield municipal,18
blairstown,18
new castle municipal,18
solberg hunterdon,18
south st paul municipal richard e fleming field,18
rostraver,18
bolinder field tooele valley,17
bolingbrook's clow international,17
odessa schlemeyer field,17
madison county,17
upper cumberland regional,17
herlong recreational,17
meriden markham municipal,17
grimes field,17
plant city,17
portage county,16
hicks airfield,16
pierce county thun field,16
hummel field,16
livingston county spencer j. hardy,16
north little rock municipal,15
carl r keller field,15
sussex,15
east troy municipal,15
valkaria,15
shelby county,15
decatur municipal,15
johnston county,15
oakland troy,15
chesapeake regional,15
pearland regional,15
slidell,15
atlanta regional falcon field,15
west georgia regional o v gray field,15
dona ana county at santa teresa,15
nampa municipal,14
canton plymouth,14
rialto municipal miro field,14
warwick municipal,14
greenwood lake,14
weiser air park,14
medina municipal,14
bridgeport municipal,14
donegal springs airpark,14
rockwall municipal,14
kingston ulster,14
wickenburg municipal,14
de kalb taylor municipal,14
dexter b florence memorial field,14
moraine air park,13
palatka municipal lt. kay larkin field,13
owosso community,13
clayton county tara field,13
saratoga county,13
greene county lewis a. jackson regional,13
mid valley airpark,13
el reno regional,13
lake in the hills,13
blackwell field,13
orlando apopka,13
seamans field,13
fernandina beach municipal,13
monroe walton county,12
nevada county air park,12
reigle field,12
dennis f cantrell field,12
california city municipal,12
lake lawn,12
plattsmouth municipal,12
fort collins downtown,12
granbury regional,12
conway horry county,12
coolidge municipal,12
zelienople municipal,12
dupont lapeer,12
middle peninsula regional,12
windham,12
pearson field,12
bolton field,12
mc minnville municipal,12
oceano county,12
delaware municipal jim moore field,12
ankeny regional,12
lloyd stearman field,12
mt pleasant regional faison field,12
kent state univ,11
stennis international,11
airglades,11
orange municipal,11
danielson,11
raleigh exec jetport at sanford lee county,11
griffith merrillville,11
moriarty,11
cleburne regional,11
williston municipal,11
mulino state,11
siler city municipal,11
greenville municipal,11
harvey field,11
saline county regional,11
university,11
gila bend municipal,11
keystone airpark,11
laurel municipal,11
frankfort municipal,11
osage city municipal,10
grosse ile municipal,10
gillespie county,10
evergreen field,10
rutherford co marchman field,10
pennridge,10
chatham municipal,10
slaton municipal,10
oakland southwest,10
skydive chicago,10
romeo state,10
simsbury,10
tampa north aero park,10
washington executive hyde field,10
heber city municipal russ mcdonald field,10
air park dallas,10
turners falls,10
lincolnton lincoln county regional,10
lake wales municipal,10
hartford municipal,10
wadsworth municipal,10
whalen,10
hanford municipal,10
yolo county davis,10
thomaston upson county,10
boerne stage field,10
watts woodland,10
avi suquilla,10
jack barstow,10
west 30th st.,10
somerset,9
carroll county,9
gastonia municipal,9
lexington municipal,9
hillsboro municipal,9
robertson field,9
fitch h beach,9
sheppard air force base wichita falls municipal,9
macon county,9
farmville regional,9
hesperia,9
albany municipal,9
old bridge,9
cape fear regional jetport howie franklin field,9
van wert county,9
piqua airport hartzell field,9
independence state,9
litchfield municipal,9
custer,9
padgham field,9
schaumburg regional,9
logan county,9
bend municipal,9
dowagiac municipal,9
ashland regional,9
hutson field,9
chester catawba regional,9
