,Event Id , Investigation Type , Accident Number , Event Date , Location , Country , Latitude , Longitude , Airport Code , Airport Name , Injury Severity , Aircraft Damage , Aircraft Category , Registration Number , Make , Model , Amateur Built , Number of Engines , Engine Type , FAR Description , Schedule , Purpose of Flight , Air Carrier , Total Fatal Injuries , Total Serious Injuries , Total Minor Injuries , Total Uninjured , Weather Condition , Broad Phase of Flight , Report Status , Publication Date , ,year,month,day,eventairport_conv,eventcity,event_fullstate,event_country
3579,20180522X32046 , Accident , ERA18WA151 , 05/16/2018 ," Itacoatiara, Brazil ", Brazil ,,,,, Fatal(2) , Destroyed , Airplane ,  , CESSNA , 210 , No , 1 , Reciprocating ," Non-U.S., Non-Commercial ",  ,  ,  , 2 ,  ,  ,  ,  , CRUISE , Foreign ,  , ,2018,5,16,,itacoatiara,,Brazil
65626,20001213X25300 , Accident , MIA88LA120 , 03/07/1988 ," HIALEAH, FL ", United States ,,,,, Non-Fatal , Substantial ,  , N90669 , ROBINSON , R-22 , No , 1 , Reciprocating ,  ,  , Personal ,  , 0 , 0 , 0 , 2 , VMC , LANDING , Probable Cause , 02/28/1989 , ,1988,3,7,,hialeah,Florida,United States
46480,20001208X05123 , Accident , FTW96FA088 , 01/13/1996 ," WICHITA FALLS, TX ", United States ,,,,, Fatal(2) , Destroyed ,  , N8894E , Piper , PA-34-200T , No , 2 , Reciprocating ,  ,  , Personal ,  , 2 , 0 , 0 , 0 , VMC , TAKEOFF , Probable Cause , 12/16/1996 , ,1996,1,13,,wichita falls,Texas,United States
34568,20010710X01343 , Accident , MIA01WA177 , 06/25/2001 ," Baborigame, Mexico ", Mexico ,,,,, Fatal(6) , Destroyed ,  ,  , Cessna , 206 , No ,  ,  ,  , SCHD ,  ,  , 6 ,  ,  ,  ,  ,  , Foreign , 07/10/2001 , ,2001,6,25,,baborigame,,Mexico
55763,20001212X18574 , Accident , CHI92LA064 , 12/31/1991 ," HUNTINGTON, IN ", United States ,,,,, Non-Fatal , Destroyed ,  , N2859R , CESSNA , 182K , No , 1 , Reciprocating ,  ,  , Personal ,  , 0 , 2 , 3 , 0 , IMC , APPROACH , Probable Cause , 04/23/1993 , ,1991,12,31,,huntington,Indiana,United States
59304,20001212X23601 , Accident , ATL90LA148 , 07/23/1990 ," SANFORD, NC ", United States ,,,,, Non-Fatal , Substantial ,  , N58469 , CESSNA , 182 , No , 1 , Reciprocating ,  ,  , Business ,  , 0 , 0 , 0 , 1 , VMC , CRUISE , Probable Cause , 03/12/1993 , ,1990,7,23,,sanford,North Carolina,United States
46286,20001208X05258 , Accident , FTW96LA131 , 02/24/1996 ," GARLAND, TX ", United States ,,,T57,GARLAND/DFW HELIPLEX, Non-Fatal , Substantial ,  , N8141L , Robinson , R22B , No , 1 , Reciprocating ,  ,  , Personal ,  , 0 , 0 , 0 , 2 , VMC , MANEUVERING , Probable Cause , 05/09/1996 , ,1996,2,24,,garland,Texas,United States
47966,20001207X03795 , Accident , NYC95LA132 , 06/11/1995 ," FRANKLIN TWP, PA ", United States ,,,,, Non-Fatal , Substantial ,  , N943T , BEECH , 33 , No , 1 , Reciprocating ,  ,  , Personal ,  , 0 , 0 , 0 , 1 , VMC , MANEUVERING , Probable Cause , 02/27/1996 , ,1995,6,11,,franklin twp,Pennsylvania,United States
37167,20001212X20841 , Accident , LAX00FA176 , 04/28/2000 ," NORTH LAS VEGAS, NV ", United States ,,,VGT,NORTH LAS VEGAS, Fatal(2) , Destroyed ,  , N2193S , Cessna , T210L , No , 1 , Reciprocating ,  ,  , Personal ,  , 2 , 0 , 0 , 0 , VMC , GO-AROUND , Probable Cause , 05/18/2001 , ,2000,4,28,,north las vegas,Nevada,United States
63914,20001213X26880 , Accident , MIA88LA272 , 09/23/1988 ," LAKE WALES, FL ", United States ,,,X25,CHARLET SUZANNE AIRSTRIP, Non-Fatal , Substantial ,  , N8707U , CESSNA , 172F , No , 1 , Reciprocating ,  ,  , Personal ,  , 0 , 0 , 0 , 2 , VMC , TAKEOFF , Probable Cause , 09/25/1989 , ,1988,9,23,,lake wales,Florida,United States
