tracon_code,month,year,faa_incidents
17N,3,2011,1
17N,4,1995,1
17N,4,2019,1
17N,5,1994,1
17N,5,1997,1
17N,5,2011,1
17N,6,1995,1
17N,6,1998,1
17N,6,1999,1
17N,7,1993,1
17N,7,2005,1
17N,8,1992,1
17N,8,1996,1
17N,8,1999,2
17N,8,2003,1
17N,8,2012,1
17N,9,2006,1
17N,9,2012,2
17N,11,2012,2
1B9,1,2000,1
1B9,1,2004,1
1B9,2,2009,1
1B9,4,1993,1
1B9,4,2008,1
1B9,4,2009,1
1B9,5,2000,1
1B9,6,1994,1
1B9,6,2000,1
1B9,7,1989,1
1B9,7,2012,1
1B9,8,1994,1
1B9,8,2012,1
1B9,9,1991,1
1B9,10,1996,1
1B9,10,2001,1
1B9,11,2004,1
1B9,12,2001,1
1C5,4,1990,2
1C5,5,1991,2
1C5,5,1992,1
1C5,5,2001,1
1C5,6,2000,1
1C5,6,2004,1
1C5,6,2010,1
1C5,7,1992,1
1C5,8,1998,1
1C5,8,2003,1
1C5,8,2019,1
1C5,9,1990,1
1C5,9,1991,1
1C5,10,1992,1
1C5,12,1992,1
1D2,3,1989,1
1D2,5,1990,2
1D2,5,1991,1
1D2,5,1992,1
1D2,5,1994,1
1D2,5,2002,1
1D2,6,1997,1
1D2,6,1998,1
1D2,8,2004,1
1D2,9,1995,1
1D2,10,2019,1
1D2,12,1996,1
1D2,12,2002,1
1G3,3,1990,1
1G3,3,1993,1
1G3,3,2011,1
1G3,4,2007,1
1G3,5,2007,1
1G3,5,2011,1
1G3,7,1989,1
1G3,8,1997,1
1G3,9,2003,1
1G3,10,1989,1
1G3,10,1990,1
1G5,1,1992,1
1G5,2,1992,1
1G5,2,1997,1
1G5,3,1992,1
1G5,3,2009,1
1G5,4,2001,1
1G5,5,1997,1
1G5,5,2009,1
1G5,6,2017,1
1G5,8,2005,2
1G5,9,2013,1
1G5,11,1991,1
1G5,11,2012,1
1O3,1,1989,1
1O3,1,2014,1
1O3,2,2013,1
1O3,2,2016,1
1O3,4,1994,1
1O3,4,2012,1
1O3,4,2014,1
1O3,4,2015,1
1O3,5,1993,1
1O3,5,2012,1
1O3,5,2017,1
1O3,6,1990,1
1O3,6,2001,1
1O3,6,2013,1
1O3,8,1990,1
1O3,8,2000,1
1O3,8,2010,1
1O3,8,2016,1
1O3,9,2009,1
1O3,9,2017,1
1O3,9,2019,1
1O3,10,2003,1
1O3,12,1991,1
21D,1,2010,1
21D,2,1995,1
21D,2,1997,1
21D,2,2000,1
21D,3,1991,1
21D,4,1992,1
21D,4,2015,1
21D,5,1992,1
21D,5,2018,1
21D,7,1993,1
21D,7,2001,1
21D,7,2009,1
21D,8,1988,1
21D,8,1990,1
21D,9,1995,1
21D,10,2003,1
21D,11,1988,1
21D,12,1991,1
21D,12,2001,1
21D,12,2009,1
2H0,3,1989,1
2H0,7,2015,1
3H4,10,2002,1
3H4,10,2003,1
3SQ,1,2008,1
3SQ,2,1994,1
3SQ,2,2004,1
3SQ,2,2011,1
3SQ,3,1991,1
3SQ,3,1997,1
3SQ,4,1988,1
3SQ,4,1990,1
3SQ,5,1988,1
3SQ,5,1991,1
3SQ,5,2000,1
3SQ,5,2016,1
3SQ,6,1996,1
3SQ,6,2002,1
3SQ,7,1994,1
3SQ,7,2000,1
3SQ,7,2015,1
3SQ,8,1990,1
3SQ,8,2016,1
3SQ,9,2005,1
3SQ,9,2018,1
3SQ,10,1988,1
3SQ,10,1999,2
3SQ,11,2003,1
3SQ,11,2012,1
3SQ,12,2002,1
3SQ,12,2003,1
3V5,1,1992,1
3V5,1,1998,1
3V5,1,2001,1
3V5,2,1994,1
3V5,6,1990,1
3V5,6,1996,1
3V5,6,2001,1
3V5,8,1998,1
3V5,8,2006,1
3V5,9,2004,1
3V5,10,1993,1
3V5,10,2002,1
4N1,1,1993,2
4N1,1,1997,1
4N1,2,2004,1
4N1,4,1992,1
4N1,5,1995,1
4N1,6,2018,1
4N1,7,2002,1
4N1,7,2010,1
4N1,8,2012,1
4N1,8,2015,1
4N1,9,1992,1
4N1,10,2003,1
4N1,11,1996,1
52F,1,1998,1
52F,1,2008,1
52F,3,1997,1
52F,3,1998,1
52F,3,2005,1
52F,5,1991,1
52F,5,2000,1
52F,6,1991,1
52F,6,2002,1
52F,6,2003,2
52F,6,2004,2
52F,6,2016,1
52F,7,1991,1
52F,7,2013,1
52F,8,1998,1
52F,8,2003,1
52F,8,2004,1
52F,10,2013,1
52F,11,2002,1
76N,6,1997,1
76N,6,2004,1
76N,7,1991,1
76N,10,1989,1
76N,11,1997,1
99FL,4,1995,1
AJO,1,1989,1
AJO,1,2002,1
AJO,1,2009,1
AJO,2,2000,1
AJO,2,2004,1
AJO,2,2006,2
AJO,2,2007,1
AJO,2,2012,1
AJO,3,1997,1
AJO,3,2001,1
AJO,3,2004,1
AJO,4,1988,2
AJO,4,1990,1
AJO,4,1992,1
AJO,4,1995,1
AJO,4,2002,1
AJO,4,2003,1
AJO,4,2004,1
AJO,5,1995,1
AJO,5,1996,1
AJO,6,1988,1
AJO,6,2004,1
AJO,6,2005,1
AJO,6,2006,1
AJO,7,1990,3
AJO,7,1994,1
AJO,7,1996,1
AJO,7,2000,1
AJO,7,2002,1
AJO,7,2004,1
AJO,7,2012,1
AJO,8,1995,2
AJO,8,1996,1
AJO,8,1997,1
AJO,8,2004,2
AJO,8,2011,1
AJO,8,2017,1
AJO,9,2010,1
AJO,10,1992,1
AJO,10,1999,1
AJO,10,2000,1
AJO,11,1988,1
AJO,11,1991,1
AJO,11,2000,2
AJO,11,2014,1
AJO,12,1996,1
AJO,12,2009,2
AJO,12,2010,1
ANE,1,1988,1
ANE,1,1989,1
ANE,2,1999,1
ANE,2,2000,1
ANE,2,2002,2
ANE,2,2003,1
ANE,2,2005,1
ANE,2,2007,1
ANE,3,1989,1
ANE,3,2014,2
ANE,4,1999,1
ANE,4,2000,1
ANE,4,2012,1
ANE,4,2013,1
ANE,4,2014,2
ANE,4,2017,1
ANE,5,1988,1
ANE,5,1991,1
ANE,5,1994,1
ANE,5,1999,1
ANE,5,2008,1
ANE,5,2011,1
ANE,5,2012,1
ANE,5,2016,1
ANE,6,1988,1
ANE,6,1990,1
