airport_code,year,month,ntsb_ Incident ,ntsb_ Accident 
,1988,1,4,55
,1988,2,2,69
,1988,3,8,87
,1988,4,4,102
,1988,5,7,105
,1988,6,3,125
,1988,7,3,151
,1988,8,5,170
,1988,9,1,108
,1988,10,3,115
,1988,11,2,78
,1988,12,6,53
,1989,1,2,57
,1989,2,4,67
,1989,3,5,84
,1989,4,2,84
,1989,5,2,99
,1989,6,1,110
,1989,7,5,138
,1989,8,2,119
,1989,9,0,101
,1989,10,2,79
,1989,11,0,75
,1989,12,2,39
,1990,1,2,42
,1990,2,1,58
,1990,3,1,73
,1990,4,2,80
,1990,5,1,107
,1990,6,1,93
,1990,7,2,114
,1990,8,1,132
,1990,9,1,111
,1990,10,1,61
,1990,11,9,65
,1990,12,5,50
,1991,1,1,53
,1991,2,2,54
,1991,3,2,83
,1991,4,1,104
,1991,5,2,118
,1991,6,0,139
,1991,7,3,165
,1991,8,2,146
,1991,9,0,111
,1991,10,4,86
,1991,11,4,56
,1991,12,3,58
,1992,1,3,63
,1992,2,0,73
,1992,3,2,70
,1992,4,2,102
,1992,5,1,114
,1992,6,4,135
,1992,7,1,133
,1992,8,1,139
,1992,9,3,131
,1992,10,3,89
,1992,11,2,64
,1992,12,2,70
,1993,1,6,50
,1993,2,2,61
,1993,3,4,65
,1993,4,5,86
,1993,5,1,121
,1993,6,3,118
,1993,7,4,146
,1993,8,3,138
,1993,9,6,108
,1993,10,2,87
,1993,11,0,68
,1993,12,1,48
,1994,1,0,48
,1994,2,4,52
,1994,3,2,78
,1994,4,3,82
,1994,5,2,103
,1994,6,1,125
,1994,7,2,126
,1994,8,0,145
,1994,9,0,105
,1994,10,2,83
,1994,11,1,61
,1994,12,0,73
,1995,1,3,54
,1995,2,0,69
,1995,3,2,70
,1995,4,3,83
,1995,5,2,80
,1995,6,7,139
,1995,7,1,136
,1995,8,5,145
,1995,9,5,115
,1995,10,3,78
,1995,11,2,54
,1995,12,1,71
,1996,1,1,52
,1996,2,1,56
,1996,3,3,67
,1996,4,1,70
,1996,5,3,82
,1996,6,8,100
,1996,7,0,129
,1996,8,3,137
,1996,9,1,97
,1996,10,2,78
,1996,11,3,60
,1996,12,2,62
,1997,1,0,49
,1997,2,4,52
,1997,3,1,78
,1997,4,5,75
,1997,5,0,83
,1997,6,3,100
,1997,7,2,100
,1997,8,0,110
,1997,9,2,82
,1997,10,2,74
,1997,11,1,43
,1997,12,2,59
,1998,1,1,43
,1998,2,5,43
,1998,3,6,64
,1998,4,7,63
,1998,5,3,106
,1998,6,5,121
,1998,7,10,151
,1998,8,3,95
,1998,9,4,94
,1998,10,4,71
,1998,11,6,55
,1998,12,2,61
,1999,1,3,35
,1999,2,4,47
,1999,3,6,48
,1999,4,1,77
,1999,5,1,82
,1999,6,2,93
,1999,7,2,112
,1999,8,3,109
,1999,9,4,124
,1999,10,3,68
,1999,11,2,50
,1999,12,1,72
,2000,1,1,49
,2000,2,1,55
,2000,3,3,64
,2000,4,5,82
,2000,5,4,82
,2000,6,7,94
,2000,7,5,115
,2000,8,1,122
,2000,9,2,81
,2000,10,4,75
,2000,11,3,52
,2000,12,4,51
,2001,1,5,38
,2001,2,1,46
,2001,3,4,65
,2001,4,1,60
,2001,5,5,71
,2001,6,5,100
,2001,7,7,100
,2001,8,2,100
,2001,9,3,57
,2001,10,1,64
,2001,11,3,55
,2001,12,1,36
,2002,1,1,43
,2002,2,2,45
,2002,3,4,50
,2002,4,1,60
,2002,5,4,67
,2002,6,4,93
,2002,7,3,88
,2002,8,4,91
,2002,9,2,71
,2002,10,5,52
,2002,11,2,47
,2002,12,0,44
,2003,1,1,55
,2003,2,2,43
,2003,3,2,54
,2003,4,0,60
,2003,5,0,62
,2003,6,1,100
,2003,7,1,104
,2003,8,3,96
,2003,9,2,72
,2003,10,3,59
,2003,11,4,50
,2003,12,1,49
,2004,1,3,40
,2004,2,0,42
,2004,3,2,43
,2004,4,3,53
,2004,5,4,73
,2004,6,1,82
,2004,7,4,93
,2004,8,5,92
,2004,9,1,85
,2004,10,3,67
,2004,11,3,43
,2004,12,4,47
,2005,1,3,36
,2005,2,2,46
,2005,3,4,56
,2005,4,3,51
,2005,5,7,83
,2005,6,5,88
,2005,7,2,103
,2005,8,1,98
,2005,9,1,94
,2005,10,4,69
,2005,11,4,47
,2005,12,1,54
,2006,1,6,51
,2006,2,1,40
,2006,3,4,55
,2006,4,2,62
,2006,5,3,73
,2006,6,6,68
,2006,7,6,90
,2006,8,0,86
,2006,9,8,66
,2006,10,4,56
,2006,11,3,45
,2006,12,7,45
,2007,1,4,33
,2007,2,3,40
,2007,3,3,39
,2007,4,6,63
,2007,5,5,39
,2007,6,3,85
,2007,7,2,96
,2007,8,5,83
,2007,9,3,65
,2007,10,3,67
,2007,11,4,44
,2007,12,6,42
,2008,1,5,38
,2008,2,5,37
,2008,3,6,44
,2008,4,1,61
,2008,5,2,74
,2008,6,1,57
,2008,7,5,84
,2008,8,6,99
,2008,9,2,51
,2008,10,3,39
,2008,11,0,20
,2008,12,1,32
,2009,1,3,26
,2009,2,4,31
,2009,3,7,34
,2009,4,2,55
,2009,5,2,45
,2009,6,6,49
,2009,7,2,73
,2009,8,3,80
,2009,9,3,48
,2009,10,1,43
,2009,11,3,38
,2009,12,2,21
,2010,1,5,27
,2010,2,7,27
,2010,3,10,33
,2010,4,5,32
,2010,5,1,49
,2010,6,2,59
,2010,7,7,76
,2010,8,1,64
,2010,9,7,62
,2010,10,0,35
,2010,11,6,33
,2010,12,0,29
,2011,1,3,28
,2011,2,2,45
,2011,3,4,40
,2011,4,4,37
,2011,5,7,58
,2011,6,6,65
,2011,7,9,95
,2011,8,3,70
,2011,9,4,62
,2011,10,3,47
,2011,11,2,41
,2011,12,5,24
,2012,1,8,26
,2012,2,5,36
,2012,3,2,47
,2012,4,6,54
,2012,5,3,70
,2012,6,2,64
,2012,7,7,75
,2012,8,5,77
,2012,9,5,61
,2012,10,14,46
,2012,11,6,28
,2012,12,3,34
,2013,1,5,29
,2013,2,6,39
,2013,3,9,33
,2013,4,3,35
,2013,5,6,38
,2013,6,6,55
,2013,7,4,54
,2013,8,6,59
,2013,9,6,57
,2013,10,4,60
,2013,11,6,38
,2013,12,2,22
,2014,1,5,25
,2014,2,1,21
,2014,3,2,34
,2014,4,4,43
,2014,5,2,36
,2014,6,3,57
,2014,7,0,65
,2014,8,7,59
,2014,9,8,58
,2014,10,7,43
,2014,11,3,28
,2014,12,6,22
,2015,1,4,37
,2015,2,3,26
,2015,3,4,44
,2015,4,7,35
,2015,5,6,59
,2015,6,6,53
,2015,7,12,73
,2015,8,11,75
,2015,9,3,65
,2015,10,2,52
,2015,11,1,33
,2015,12,9,34
,2016,1,4,28
,2016,2,6,24
,2016,3,16,38
,2016,4,8,42
,2016,5,9,47
,2016,6,6,72
,2016,7,3,65
,2016,8,3,54
,2016,9,10,75
,2016,10,5,51
,2016,11,5,37
,2016,12,9,47
,2017,1,5,34
,2017,2,11,37
,2017,3,9,35
,2017,4,7,44
,2017,5,5,53
,2017,6,8,48
,2017,7,11,83
,2017,8,12,55
,2017,9,15,53
,2017,10,3,40
,2017,11,11,33
,2017,12,4,30
,2018,1,5,44
,2018,2,8,35
,2018,3,5,29
,2018,4,14,36
,2018,5,8,63
,2018,6,6,61
,2018,7,9,74
,2018,8,10,66
,2018,9,10,53
,2018,10,11,51
,2018,11,4,39
,2018,12,8,28
,2019,1,5,32
,2019,2,11,28
,2019,3,7,49
,2019,4,7,44
,2019,5,3,67
,2019,6,9,64
,2019,7,15,63
,2019,8,13,76
,2019,9,8,57
,2019,10,12,54
,2019,11,10,23
,2019,12,11,39
-,2016,8,0,1
---,2002,6,0,1
---,2002,7,0,3
---,2002,8,0,1
---,2002,11,0,1
---,2005,10,0,2
---,2006,6,0,1
---,2006,9,0,1
---,2013,4,0,1
---,2016,5,0,1
.,2008,9,0,1
0,1991,10,0,1
0,1992,5,0,1
0,2003,12,0,1
0,2004,3,0,1
00,2009,6,0,1
00,2011,3,0,1
000,2009,5,0,1
000,2012,7,0,1
0000,2012,5,0,1
001,1988,6,0,1
001,1989,9,0,1
003,1988,2,0,1
003,1991,11,0,1
004,1988,5,0,1
004,1988,11,0,1
004,1989,1,0,2
004,1990,4,0,1
009,1992,9,0,1
00A,1990,4,0,1
00A,1990,7,0,1
00A,1993,9,0,1
00AL,2007,9,0,1
00C,2000,6,0,1
00C,2002,2,0,1
00C,2005,5,0,1
00C,2005,6,0,1
00C,2010,10,0,1
00C,2012,5,0,1
00C,2012,10,0,1
00C,2012,12,0,1
00C,2014,6,0,1
00C,2016,5,0,1
00E,2007,9,0,1
00F,2009,8,0,1
00F,2016,9,0,1
00GE,2008,5,0,1
00K6,1995,9,0,1
00M,1999,3,0,1
00M,1999,10,0,1
00N,1992,6,0,1
00N,1995,3,0,1
00N,1998,10,0,1
00NC,1996,5,0,1
00NC,2015,9,0,1
00R,2003,12,0,1
00R,2004,4,0,1
00R,2010,4,0,1
00R,2013,4,0,1
00R,2015,4,0,1
00R,2015,7,0,1
00S,1993,11,0,1
00S,2011,7,0,1
00S,2019,8,0,1
00V,1990,5,0,1
00V,1992,6,0,1
00V,1993,5,0,1
00V,1996,5,0,1
00V,1996,9,0,1
00V,1996,12,0,1
00V,1997,6,0,1
00V,1999,2,0,1
00V,1999,7,0,1
00V,1999,8,0,1
00V,2000,7,0,1
00V,2001,1,0,1
00V,2001,8,0,2
00V,2003,4,0,2
00V,2004,5,0,1
00V,2005,8,0,1
00V,2005,12,0,1
00V,2006,6,0,1
00V,2006,12,0,1
00V,2007,7,0,1
00V,2008,7,0,1
00V,2009,2,0,1
00V,2009,8,0,1
00V,2010,5,0,1
012,1988,7,0,1
017,1988,12,0,1
017,1989,6,0,1
017,1991,4,0,1
017,1991,10,0,1
017,1993,5,0,1
017,2000,9,0,1
017,2004,1,0,1
018,1988,4,0,1
018,1988,11,0,1
018,1989,4,0,1
018,1990,4,0,1
018,1996,2,0,1
019,1989,4,0,1
019,1996,7,0,1
01B,1989,5,0,1
01B,1993,6,0,1
01C,1995,2,0,1
01C,1995,12,0,1
01C,2000,6,0,1
01C,2002,5,0,1
01CL,2014,8,0,1
01G,2010,6,0,1
01G,2015,10,0,1
01GE,2008,5,0,1
01I,1988,4,0,1
01I,1997,11,0,1
01J,1991,7,0,2
01J,1999,8,0,1
01J,2009,4,0,1
01L,1994,10,0,1
01LA,2016,7,0,1
01NC,2000,1,0,1
01NC,2003,10,0,1
01NC,2005,2,0,1
01NC,2015,6,0,1
01SC,2013,5,0,1
01SC,2016,6,0,1
01SC,2019,7,0,1
01TN,2013,7,0,1
01TX,2019,1,0,1
01V,1989,4,0,1
01V,1991,7,0,1
01V,1991,12,0,1
01V,1997,6,0,1
01V,1998,11,0,1
01V,2001,9,0,1
01V,2003,7,0,1
022,1988,3,0,2
022,1991,2,0,1
022,1991,8,0,1
022,1997,6,0,1
023,1988,4,0,1
023,1990,4,0,1
023,1991,7,0,1
024,1990,11,0,1
024,1991,5,0,1
026,1990,1,0,1
027,1989,9,0,1
027,1998,3,0,1
027,2009,5,0,1
028,1991,5,0,1
028,2001,9,0,1
02A,1991,5,0,1
02A,2002,7,0,1
02A,2015,8,0,1
02C,1989,8,0,1
02C,1992,4,0,1
02C,1992,11,0,1
02C,1994,9,0,1
02C,1995,1,0,1
02C,2013,6,0,1
02C,2014,9,0,1
02C,2017,1,0,1
02G,1995,8,0,1
02G,2000,4,0,1
02G,2011,7,0,1
02G,2011,8,0,1
02J,1989,11,0,1
02J,1991,2,0,1
02K,1992,10,0,1
02MO,1999,9,0,1
02WA,2001,8,0,1
02WA,2002,5,0,1
02WA,2009,5,0,1
02WA,2014,6,0,1
030,1997,2,0,1
031,1988,6,0,1
031,1988,7,0,1
032,1988,5,0,1
032,1989,11,0,1
032,1990,1,0,1
032,1991,11,0,1
033,1989,9,0,1
036,1988,11,0,1
036,1989,2,0,1
036,1989,8,0,2
037,1988,11,0,1
037,2007,6,0,1
03B,2003,1,0,1
03D,2004,2,0,1
03ME,2010,8,0,1
03NC,2010,6,0,1
03S,1993,10,0,1
03S,2000,7,0,1
03S,2007,10,0,1
03S,2009,8,0,1
03S,2012,7,0,1
03TN,2007,4,0,1
043,1999,4,0,1
045,1988,10,0,1
045,1988,11,0,1
045,1991,7,0,1
046,1995,8,0,1
048,1991,7,0,1
04A,1988,9,0,1
04A,1998,5,0,1
04CA,2019,11,0,1
04FA,2005,4,0,1
04FA,2008,5,0,1
04FA,2008,6,0,1
04FA,2011,10,0,1
04G,1988,8,0,1
04G,1996,8,0,1
04IL,2003,8,0,1
04J,1989,11,0,1
04J,1992,8,0,1
04L,1996,6,0,1
04ND,1992,9,0,1
04NJ,2000,9,0,1
04NV,2013,4,0,1
04TN,2008,5,0,1
04TN,2012,10,0,1
04V,2011,8,0,1
04WI,2007,1,0,1
04Y,1990,8,0,1
04Y,2004,2,0,1
04Y,2019,7,0,1
051,1988,12,0,1
051,1990,2,0,2
051,1991,6,0,1
052,1990,4,0,1
054,1988,6,0,1
054,1988,7,0,1
054,1990,8,0,1
054,1999,6,0,1
054,2001,8,0,1
056,1989,1,0,1
056,1989,6,0,1
056,1990,5,0,1
056,1990,9,0,1
056,1991,6,0,1
056,1997,7,0,1
058,1988,6,0,1
059,2000,3,0,1
05C,1989,4,0,1
05C,1989,6,0,1
05C,1989,12,0,1
05C,1991,4,0,1
05C,1992,1,0,1
05C,1993,9,0,1
05C,1998,5,0,1
05C,2000,6,0,1
05C,2001,1,0,1
05C,2001,7,0,1
05C,2006,6,0,1
05C,2009,5,0,1
05C,2017,9,0,1
05CL,2012,5,0,1
05F,1997,4,0,1
05F,2002,9,0,1
05GA,1989,12,0,1
05KT,2016,9,0,1
05LA,2015,5,0,1
05MD,2013,8,0,1
05S,2004,5,0,1
06,1990,11,0,1
06,1991,6,0,2
061,1988,4,0,1
061,2012,6,0,1
063,1999,8,0,1
066,1990,5,0,1
068,1989,9,0,1
068,1991,7,0,1
068,1992,6,0,1
068,1995,9,0,1
069,1988,10,0,2
069,1988,12,0,1
069,1990,8,0,2
069,1991,2,0,1
06A,1990,5,0,1
06A,1993,4,0,1
06A,1993,6,0,1
06A,1995,5,0,1
06A,2002,10,0,1
06A,2009,8,0,1
06A,2017,10,0,1
06B,2009,5,0,1
06C,1988,9,0,1
06C,1990,8,0,1
06C,1991,4,0,1
06C,1991,6,0,1
06C,1992,6,0,1
06C,1995,4,0,1
06C,1996,7,0,1
06C,1999,1,0,1
06C,2000,2,0,1
06C,2003,7,0,1
06C,2003,10,0,1
06C,2004,5,0,1
06C,2004,10,0,1
06C,2010,9,0,1
06C,2010,11,0,1
06C,2013,8,0,1
06C,2018,5,0,1
06D,1991,1,0,1
06FA,2017,8,0,1
06FD,2015,3,0,1
06M,1996,4,0,1
06MO,1992,11,0,1
06MO,2007,7,0,1
06MO,2009,1,0,1
