,iata,wiki_title
aaf,ONT,Ontario International Airport - Wikipedia
abi,ABI,Abilene Regional Airport - Wikipedia
acapulco international,ACA,Acapulco International Airport - Wikipedia
adams,BGI,Grantley Adams International Airport - Wikipedia
adams strip,BGI,Grantley Adams International Airport - Wikipedia
adelanto,VCV,Southern California Logistics Airport - Wikipedia
agana international,GUM,Antonio B. Won Pat International Airport - Wikipedia
air acres,CVG,Cincinnati/Northern Kentucky International Airport - Wikipedia
air logistics sabine,BER,Berlin Brandenburg Airport - Wikipedia
air logistics venice n,FRA,Frankfurt Airport - Wikipedia
air sailing,HLE,Saint Helena Airport - Wikipedia
airman acres,MKC,Charles B. Wheeler Downtown Airport - Wikipedia
airport manatee,SRQ,Sarasota–Bradenton International Airport - Wikipedia
alamogordo white sands regional,ALM,Alamogordo–White Sands Regional Airport - Wikipedia
albemarle municipal,ESH,Brighton City Airport - Wikipedia
alexander salamon,none,Alexander Salamon Airport - Wikipedia
alpine,ALE,Alpine–Casparis Municipal Airport - Wikipedia
altus quartz mountain regional,AXS,Altus/Quartz Mountain Regional Airport - Wikipedia
amarillo municipal,AMA,Rick Husband Amarillo International Airport - Wikipedia
american falls municipal,IAG,Niagara Falls International Airport - Wikipedia
ammons,MHT,Manchester–Boston Regional Airport - Wikipedia
amsterdam airfield,AMS,Amsterdam Airport Schiphol - Wikipedia
anguilla municipal,AXG,Algona Municipal Airport - Wikipedia
ano,ANO,Angoche Airport - Wikipedia
arcata,ACV,Arcata–Eureka Airport - Wikipedia
argyle municipal,JFK,John F. Kennedy International Airport - Wikipedia
atwater municipal,MER,Castle Airport - Wikipedia
auburn lewiston municipal,LEW,Auburn/Lewiston Municipal Airport - Wikipedia
august acres,CNN,Kannur International Airport - Wikipedia
aurora medical center,AUZ,Aurora Municipal Airport - Wikipedia
barber,YVC,La Ronge (Barber Field) Airport - Wikipedia
barker municipal,SMO,Santa Monica Airport - Wikipedia
barnes,BAF,Westfield-Barnes Regional Airport - Wikipedia
barnes county municipal,BAF,Westfield-Barnes Regional Airport - Wikipedia
barnes municipal,BAF,Westfield-Barnes Regional Airport - Wikipedia
batavia municipal,AUZ,Aurora Municipal Airport - Wikipedia
bates field,MOB,Mobile Regional Airport - Wikipedia
bay bridge,none,Bay Bridge Airport - Wikipedia
bayview,MVW,Skagit Regional Airport - Wikipedia
beach city,LGB,Long Beach Airport - Wikipedia
beach city municipal,LGB,Long Beach Airport - Wikipedia
beef island,EIS,Terrance B. Lettsome International Airport - Wikipedia
benjamin taisacan mangiona international,ROP,Rota International Airport - Wikipedia
berlin international,TXL,Berlin Tegel Airport - Wikipedia
berry,BNA,Nashville International Airport - Wikipedia
bethel,BET,Bethel Airport - Wikipedia
bethel regional,none,Bethel Regional Airport - Wikipedia
beverly,BVY,Beverly Regional Airport - Wikipedia
big cypress airfield,LAX,Los Angeles International Airport - Wikipedia
big lake municipal,MCW,Mason City Municipal Airport - Wikipedia
biggin hill,BQH,London Biggin Hill Airport - Wikipedia
billy g ray field,SAN,San Diego International Airport - Wikipedia
blackwood airpark,BLK,Blackpool Airport - Wikipedia
blaine municipal,BWS,Blaine Municipal Airport - Wikipedia
blake field,MSY,Louis Armstrong New Orleans International Airport - Wikipedia
bluff,RBL,Red Bluff Municipal Airport - Wikipedia
bob lee flight strip,LAX,Los Angeles International Airport - Wikipedia
bondair,BON,Flamingo International Airport - Wikipedia
boone inc,HRO,Boone County Airport (Arkansas) - Wikipedia
boone national guard,DSM,Des Moines International Airport - Wikipedia
bowles,YYZ,Toronto Pearson International Airport - Wikipedia
bradford county,none,Bradford County Airport - Wikipedia
bradley field,BDL,Bradley International Airport - Wikipedia
brandon,YBR,Brandon Municipal Airport - Wikipedia
brandt,BER,Berlin Brandenburg Airport - Wikipedia
brandywine,,Brandywine Airport - Wikipedia
bridgeport international,BDR,Sikorsky Memorial Airport - Wikipedia
bristow us llc,GLS,Scholes International Airport at Galveston - Wikipedia
bronson,,Bronson Creek Airport - Wikipedia
brown's lakeside landings,SEN,London Southend Airport - Wikipedia
brownsville,BRO,Brownsville/South Padre Island International Airport - Wikipedia
buena municipal,FUL,Fullerton Municipal Airport - Wikipedia
buzz field,SFO,San Francisco International Airport - Wikipedia
bybee field,IND,Indianapolis International Airport - Wikipedia
byron,none,Byron Airport - Wikipedia
ca international,YUL,Montréal–Trudeau International Airport - Wikipedia
calgary international,YYC,Calgary International Airport - Wikipedia
camdenton memorial,OZS,Camdenton Memorial Airport - Wikipedia
campbell's,YBL,Campbell River Airport - Wikipedia
canadian lakes,SLC,Salt Lake City International Airport - Wikipedia
canapitsit,15MA,Canapitsit Airport - Wikipedia
canyon lake,GCN,Grand Canyon National Park Airport - Wikipedia
cape may municipal,HYA,Barnstable Municipal Airport - Wikipedia
casa de aero park,AGP,Málaga Airport - Wikipedia
cass,FAR,Hector International Airport - Wikipedia
cchcc,VKO,Vnukovo International Airport - Wikipedia
central county,CWA,Central Wisconsin Airport - Wikipedia
