iata_code,eventdate_conv,eventcity,eventstate,eventairport,lat,lon, Event Date ,Location , Country ,airportname_new,latitude_rounded,longitude_rounded,eventairport_conv,airportname_new_conv
GXY,03/20/2017,GREELEY,CO,GREELEY-WELD COUNTY,,, 03/20/2017 ,, United States ,Greeley–Weld County Airport,40.4,-104.65,greeley weld county,greeley–weld county
BTR,09/01/2011,BATON ROUGE,LA,"BATON ROUGE METROPOLITAN, RYAN FIELD",,, 09/01/2011 ,, United States ,Baton Rouge Metropolitan Airport,30.55,-91.15,baton rouge metropolitan ryan field,baton rouge metropolitan
ASE,12/26/2007,ASPEN,CO,ASPEN/PITKIN COUNTY,,, 12/26/2007 ,, United States ,Aspen-Pitkin Co/Sardy Field,39.2,-106.9,aspen pitkin county,aspen pitkin co sardy field
FNL,11/12/2004,FORT COLLINS,CO,FORT COLLINS-LOVELAND MUNI,,, 11/12/2004 ,, United States ,Northern Colorado Regional Airport,40.4,-105.0,fort collins loveland municipal,northern colorado regional
FNL,11/12/2004,FORT COLLINS,CO,FORT COLLINS-LOVELAND MUNI,,, 11/12/2004 ,, United States ,Northern Colorado Regional Airport,40.4,-105.0,fort collins loveland municipal,northern colorado regional
RKS,09/15/2002,ROCK SPRINGS,WY,ROCK SPRINGS-SWEETWATER COUNTY,,, 09/15/2002 ,, United States ,Southwest Wyoming Regional Airport,41.5,-109.1,rock springs sweetwater county,southwest wyoming regional
RKS,09/15/2002,ROCK SPRINGS,WY,ROCK SPRINGS-SWEETWATER COUNTY,,, 09/15/2002 ,, United States ,Southwest Wyoming Regional Airport,41.5,-109.1,rock springs sweetwater county,southwest wyoming regional
GXY,05/08/2001,GREELEY,CO,GREELEY-WELD COUNTY,,, 05/08/2001 ,, United States ,Greeley–Weld County Airport,40.4,-104.65,greeley weld county,greeley–weld county
CDK,09/04/1999,CEDAR KEY,FL,GEORGE T LEWIS,,, 09/04/1999 ,, United States ,GEORGETLEWISAIRPORT,29.1,-83.05,george t lewis,georgetlewisairport
MWH,08/24/1999,MOSES LAKE,WA,GRANT CO INTL,,, 08/24/1999 ,, United States ,Grant County International Airport,47.150000000000006,-119.3,grant co international,grant county international
FXE,04/20/1999,FORT LAUDERDALE,FL,FORT LAUDERDALE/HOLLYWOOD INTL,,, 04/20/1999 ,, United States ,Fort Lauderdale Executive Airport,26.2,-80.2,fort lauderdale hollywood international,fort lauderdale executive
HNL,02/09/1998,HONOLULU,HI,HONOLULU INTL,21.3,-157.9, 02/09/1998 ,, United States ,Daniel K Inouye International Airport,21.3,-157.9,honolulu international,daniel k inouye international
NGW,05/11/1997,CORPUS CHRISTI,TX,CABANISS FIELD,,, 05/11/1997 ,, United States ,CABANISSFIELD,999999.0,999999.0,cabaniss field,cabanissfield
FLG,11/04/1996,FLAGSTAFF,AZ,FLAGSTAFF PULLIUM,35.1,-111.7, 11/04/1996 ,, United States ,Flagstaff Pulliam Airport,35.150000000000006,-111.65,flagstaff pullium,flagstaff pulliam
HNL,08/08/1996,HONOLULU,HI,HONOLULU INTL,21.3,-157.9, 08/08/1996 ,, United States ,Daniel K Inouye International Airport,21.3,-157.9,honolulu international,daniel k inouye international
ROA,09/02/1995,ROANOKE,VA,ROANOKE RGNL/WOODRUM FIELD,,, 09/02/1995 ,, United States ,Roanoke–Blacksburg Regional Airport,37.349999999999994,-79.9,roanoke regional woodrum field,roanoke–blacksburg regional
SDF,05/13/1995,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,,, 05/13/1995 ,, United States ,Louisville Muhammad Ali International Airport,38.2,-85.7,louisville international standiford field,louisville muhammad ali international
ISN,01/12/1995,WILLISTON,ND,SLOULIN FIELD INT'L APT,,, 01/12/1995 ,, United States ,Sloulin Field International Airport,48.2,-103.6,sloulin field int'l apt,sloulin field international
HNL,04/26/1994,HONOLULU,HI,HONOLULU INTL,21.3,-157.9, 04/26/1994 ,, United States ,Daniel K Inouye International Airport,21.3,-157.9,honolulu international,daniel k inouye international
SXP,08/29/1992,SHELDON POINT,AK,SHELDON POINT,,, 08/29/1992 ,, United States ,Nunam Iqua Airport,999999.0,999999.0,sheldon point,nunam iqua
LAN,01/26/1992,LANSING,MI,CAPITAL REGION INTL,,, 01/26/1992 ,, United States ,Capital City Airport,42.8,999999.0,capital region international,capital city
LAN,01/26/1992,LANSING,MI,CAPITAL REGION INTL,,, 01/26/1992 ,, United States ,Capital City Airport,42.8,999999.0,capital region international,capital city
BZN,08/12/1990,BOZEMAN,MT,BOZEMAN YELLOWSTONE INTL,,, 08/12/1990 ,, United States ,Gallatin Field,45.849999999999994,999999.0,bozeman yellowstone international,gallatin field
SDF,01/31/1990,LOUISVILLE,KY,LOUISVILLE INTL-STANDIFORD FIELD,,, 01/31/1990 ,, United States ,Louisville Muhammad Ali International Airport,38.2,-85.7,louisville international standiford field,louisville muhammad ali international
