,airportname_new_conv,lat,lon
0,3m,27.40888888888889,89.42055555555557
1,7bays,48.371944444444445,-89.32166666666666
2,abbeyshrule,53.59139,-7.64278
3,abengourou,6.7155555555555555,-3.470277777777778
4,aberdeen regional,45.448278,-98.42275
5,aberdeenmunicipal,42.92111111111111,-112.88083333333333
6,abilene regional,32.41325,-99.683111
7,abilenemunicipal,38.90416666666667,-97.23583333333333
8,aboisso,5.46194,-3.23472
9,abraham lincoln capital,39.84417,-89.67806
10,abrams,42.77417,-84.73306
11,abramsmunicipal,42.77417,-84.73306
12,acadiana regional,30.03777777777778,-91.88388888888889
13,acadianaregional,30.03777777777778,-91.88388888888889
14,acme,51.45638888888889,-113.51527777777778
15,ada,40.79056,-83.82917
16,adado,6.095833333333333,46.6375
17,adana,36.981944444444444,35.280277777777776
18,addington field,37.68611,-85.925
19,addison,32.968611111111116,-96.83638888888889
20,adelanto,34.597500000000004,-117.38305555555554
21,adirondack regional,44.38527777777778,-74.20611111111111
22,aek godang,1.4001027777777777,99.43045277777779
23,aeroacres,45.31651,-122.605368889
24,aerocountry,33.20861111111111,-96.74194444444444
25,aeroflex,41.00861972222222,-74.73803388888889
26,aeroflexandover,41.00861972222222,-74.73803388888889
27,aeropark,52.83111111111111,-1.3277777777777777
28,aerotech,44.87972222222222,-63.51027777777778
29,aerovalley,33.051944444444445,-97.23194444444445
30,afton municipal,42.70888888888889,-110.94222222222223
31,agartala,23.89,91.24222222222222
32,aguacaliente,32.54083333333333,-116.97
33,aguadulce,8.251388888888888,-80.56527777777778
34,aiken regional,33.64944,-81.685
35,ainsworth regional,42.57916666666667,-99.99305555555556
36,airacres,51.33083333333334,0.0325
37,airestates,42.280578,-88.094524
38,airglades,26.735,-81.05111111111111
39,airlake,44.62777777777778,-93.22805555555556
40,airlakes,44.62777777777778,-93.22805555555556
41,airpark,48.779444444444444,8.080555555555556
42,airparkeast,32.81389,-96.35222
43,airrahe,44.62777777777778,-93.22805555555556
44,airstrip,26.753333333333334,82.15027777777779
45,aitutaki,-18.83083,-159.76417
46,aji pangeran tumenggung pranoto international,-0.37361111111111106,117.25555555555556
47,ajo,32.45277777777778,-112.86138888888888
48,akiachak,60.90611,-161.42694
49,akiak,60.90278,-161.23056
50,aknux,14.136944444444444,38.77611111111111
51,akron,43.02111111111111,-78.4825
52,akron canton regional,40.915,-81.44366666666667
53,akure,7.24861,5.30139
54,alakanuk,62.683055555555555,-164.72219444444445
55,alameda,35.198,-106.658
56,alamogordo white sands regional,32.84,-105.99055555555556
57,albany,42.74917,-73.80194
58,albany international,42.74917,-73.80194
59,albert j ellis,34.82916666666667,-77.61222222222221
60,albert lea municipal,43.68111,-93.36806
61,albert whitted,27.765,-82.62694
62,alberto carnevalli,8.582222222222223,-71.16111111111111
63,albertwhitted,27.765,-82.62694
64,albuquerque,35.039333,-106.610778
65,albuquerque international sunport,35.039333,-106.610778
66,aldan,58.60305555555556,125.40722222222223
67,aleknagik,59.2825,-158.61778
68,alexander,41.961111111111116,21.626944444444444
69,alexander field south wood county,44.36028,-89.83889
70,alexanderfield,55.97277777777778,37.414722222222224
71,algiers,36.69101388888888,3.2154083333333334
72,algonamunicipal,43.07778,-94.27194
73,alice international,27.740833333333335,-98.02694444444444
74,alice springs,-23.806944444444444,133.90222222222224
75,allahabad,25.44,81.73388888888888
76,allakaket,66.55194,-152.62222
77,alldays,-22.678333333333335,29.055
78,allegheny,40.35416666666667,-79.93
79,allegheny county,40.35416666666667,-79.93
80,alliance municipal,42.05333333333333,-102.80388888888889
81,allianceairport,32.98777777777778,-97.31888888888888
82,alma,48.50861111111111,-71.6413888888889
83,almeyers,42.02506944444444,-83.9391638888889
84,almyra,34.41222222222222,-91.46638888888889
85,alpena county regional,45.07805555555556,-83.56027777777777
86,alpine,30.38417,-103.68361
87,alpinecounty,38.73472,-119.76694
88,altamira,-3.2508333333333335,-52.25222222222222
89,altenburg nobitz,50.98056,12.51
90,alton downs,-26.48861,139.26
91,altoona blair county,40.296388888888885,-78.32
92,alturas,41.48305555555556,-120.56527777777778
93,alturasmunicipal,41.48305555555556,-120.56527777777778
94,altus quartz mountain regional,34.69880555555555,-99.33847222222222
95,ama,35.21944444444445,-101.70583333333333
96,americanfalls,43.581944444444446,-96.74194444444444
97,amery municipal,45.28111111111111,-92.37527777777777
98,ames municipal,41.99194,-93.62167
99,anaco,9.430277777777777,-64.47083333333333
100,anacortes,48.49889,-122.6625
101,anaktuvuk pass,68.13361111111112,-151.7433333333333
102,anchorage,61.174166666666665,-149.9983333333333
103,anchorageinternational,61.174166666666665,-149.9983333333333
104,anchornate,61.174166666666665,-149.9983333333333
105,andalusiaopp,31.308333333333334,-86.39222222222223
106,anderson municipal darlington field,40.10861111111111,-85.61305555555555
107,anderson regional,34.49472222222222,-82.7088888888889
108,andrews,50.05611111111111,-97.0325
109,andrewscounty,32.32888888888889,-102.52944444444444
110,andrewsmurphy,35.19528,-83.86306
111,andros town,24.698333333333334,-77.79555555555555
112,andulusiaopp,31.308333333333334,-86.39222222222223
113,angel fire,36.42200027777778,-105.289905
114,angelina,19.13111111111111,-70.21944444444445
115,angelina county,31.23389,-94.75
116,angers loire,47.56027777777778,-0.31222222222222223
117,angola,42.65783,-78.99033
118,aniak,61.58166666666667,-159.54305555555555
119,ankenyregional,41.69111,-93.56639
120,ankenyregionalairport,41.69111,-93.56639
121,ann arbor municipal,42.223055555555554,-83.74555555555555
122,anniston regional,33.588055555555556,-85.85805555555555
123,anokacounty,45.144999999999996,-93.21027777777778
124,ansoncounty,35.02056,-80.07722
125,anthony municipal,37.15861,-98.07972
126,antique,10.76583,121.93333
127,antiqueairfield,33.18333333333333,-84.37166666666666
128,antonio b. won pat international,13.48389,144.79722
129,antonio narino,1.3958333333333333,-77.2911111111111
130,antrim county,44.98861111111111,-85.19833333333334
131,anvik,62.64667,-160.19056
132,apalachicola regional,29.7275,-85.0275
133,apalapsili,-3.8847222222222224,139.31055555555557
134,apex,47.656666666666666,-122.73333333333333
135,appleton international,44.25805555555556,-88.51916666666666
136,aransas county,28.08611,-97.04361
137,arapahoecounty,39.57,-104.84944444444444
138,arcade,42.56666666666667,-78.42611111111111
139,arcadiamunicipal,27.191994444444443,-81.83730555555555
140,arco,9.852777777777778,-85.2375
141,arcola,49.63333333333333,-102.48333333333333
142,ardabil,38.32555555555556,48.424166666666665
143,ardmore municipal,34.30416666666667,-97.02055555555556
144,ardmoredowntown,34.14694,-97.12278
145,argyle,-16.636944444444445,128.45138888888889
146,arly,11.597323888888889,1.4814208333333334
147,armidale,-30.528333333333332,151.61666666666667
148,arnold palmer regional,40.27472222222222,-79.40666666666667
149,artesia municipal,32.8525,-104.46777777777778
150,arthur,47.11111,-97.20722
151,arthur n neu,42.04611,-94.78889
152,arthurairport,40.79528,-73.10028
153,arthurmunicipal,41.56167,-101.71139
154,arvidsjaur,65.59027777777777,19.281944444444445
155,asheboro,35.65444,-79.89472
156,ashecounty,36.4325,-81.41972222222223
157,asheville regional,35.43611111111111,-82.54166666666667
158,ashevilleregional,35.43611111111111,-82.54166666666667
159,ashlandmunicipal,42.19027777777777,-122.66055555555556
160,ashlandregional,38.55444444444444,-82.73805555555556
161,ashlandregionalairport,38.55444444444444,-82.73805555555556
162,ashley,46.02472222222222,-99.35166666666666
163,ashtabulacounty,41.77806,-80.69556
164,aspen pitkin co sardy field,39.223055555555554,-106.86888888888888
165,astoria regional,46.158055555555556,-123.8786111111111
166,astoriaregional,46.158055555555556,-123.8786111111111
167,aswan international,23.964166666666667,32.819722222222225
168,athens ben epps,33.948611111111106,-83.32638888888889
169,athensmunicipal,32.16361,-95.82833
170,atlanta,33.63666666666666,-84.42805555555556
171,atlantainternationalairport,33.63666666666666,-84.42805555555556
172,atlantaregional,33.35722222222223,-84.57194444444444
173,atlantic city international,39.4575,-74.57722222222222
174,atmautlauk,60.86667,-162.27306
175,atmautluak,60.86667,-162.27306
176,atmautulak,60.86667,-162.27306
177,atmore,31.016111111111112,-87.44666666666667
178,auburn lewiston municipal,44.04861111111111,-70.28361111111111
179,auburn university regional,32.615,-85.43388888888889
180,auburnmunicipalairport,47.3275,-122.22639
181,aucklandinternational,-37.00805555555556,174.79166666666666
182,augusta regional at bush field,33.37,-81.96444444444445
183,augusta state,44.32055555555556,-69.79722222222222
184,augustamunicipal,37.671388888888885,-97.07777777777777
185,aurorastate,45.24722222222222,-122.77
186,austin bergstrom international,30.194444444444446,-97.67
187,austin municipal,43.6625,-92.93277777777779
188,austin straubel international,44.484722222222224,-88.12972222222221
189,austinexecutive,30.3999,-97.5735
190,austinexecutiveairport,30.3999,-97.5735
191,auxiliary,40.79527777777778,-89.61333333333333
192,avenger field,32.467222222222226,-100.46638888888889
193,aviador c. campos,-40.075,-71.13611111111112
194,avignonprovince,43.906666666666666,4.901944444444445
195,avisupquilla,34.150555555555556,-114.27111111111111
196,avisuquilla,34.150555555555556,-114.27111111111111
197,avon park executive,27.591388888888886,-81.52888888888889
198,avravalley,32.409555555555556,-111.2183888888889
199,aztecmunicipal,36.83472555555556,-108.0284025
200,bachigualato federal international,24.764444444444443,-107.47444444444444
201,baderfield,-17.699166666666667,168.31972222222223
202,bagdad,33.2625,44.23444444444444
203,bahrain international,26.27083,50.63361
204,baita international,40.851422222222226,111.82410277777777
205,baker,35.28638888888889,-116.08166666666666
206,baker city municipal,44.83722222222222,-117.80916666666667
207,bakersfieldmunicipal,35.325,-118.99611
208,baldmountain,44.616944444,-117.871944444
209,baldwin,44.26722222222222,-79.34055555555555
210,baldwinairport,44.26722222222222,-79.34055555555555
211,baldwinco,44.26722222222222,-79.34055555555555
212,baldwincounty,33.15416666666667,-83.24138888888889
213,baltimore washington international thurgood marshall,39.17527777777777,-76.66833333333334
214,bamburi,-3.98,39.730000000000004
215,ban huoeisay,20.25777777777778,100.43694444444445
216,bancroft,45.073055555555555,-77.88055555555555
217,bandar lengeh,26.532,54.824847222222225
218,banderastate,47.39528,-121.53639
219,bandonstate,43.08646111111111,-124.4078638888889
220,bangkokinternationalairport,13.6925,100.75
221,bangor international,44.80722222222222,-68.82805555555555
222,bangui m'poko international,4.3984749999999995,18.518786111111112
223,banning municipal,33.9225,-116.850556
224,baracoa,20.36527777777778,-74.50611111111111
225,barcelona international,41.29694444444444,2.0783333333333336
226,barcelonaspain,41.29694444444444,2.0783333333333336
227,barcelos,-0.9808333333333333,-62.91888888888889
228,bardufoss,69.05583333333333,18.540277777777778
229,barkley regional,37.06027777777778,-88.77305555555556
230,barnaul,53.36333333333334,83.54166666666667
231,barnstable municipal boardman polando field,41.66944,-70.28028
232,barnwell regional,33.25805555555556,-81.38805555555557
233,barra do garças,-15.860833333333334,-52.38944444444444
234,barrettfield,45.8212444,-118.498025
235,barron,32.56444444444444,-82.98527777777778
236,barrow county,33.98278,-83.6675
237,barstow daggett,34.853611111111114,-116.78666666666666
238,bartlesville municipal,36.76416666666667,-96.0111111111111
239,bartow executive,27.943333333333335,-81.78333333333333
240,barwicklafayette,34.68861111111111,-85.29027777777777
241,baselmulhouse,47.59,7.529166666666667
242,batesville regional,35.726111111111116,-91.64750000000001
243,baton rouge metropolitan,30.532777777777778,-91.15
244,batten,42.760555555555555,-87.81527777777778
245,battle mountain,40.59972,-116.87611
246,baudette international,48.72833,-94.61222
247,bauerairport,27.40888888888889,89.42055555555557
248,baxterco,36.36888888888889,-92.47055555555556
249,baybridge,38.97639,-76.32972
250,baystlouis,38.74722222222222,-90.36138888888888
251,baytown,29.78611,-94.95278
252,beancreek,33.38916666666667,-84.33222222222221
253,bearlakecounty,42.249722222222225,-111.34166666666667
254,beatty,36.86111,-116.78694
255,beaufortcounty,32.41222222222222,-80.63444444444445
256,beaumont municipal,30.07027777777778,-94.215
257,beauregard regional,30.831666666666667,-93.33999999999999
258,beaverco,66.36222,-147.40667
259,beavercounty,40.7725,-80.39139
260,bedford,41.67611,-70.95694
261,beech factory,37.69444444444444,-97.215
262,beefisland,18.445555555555554,-64.54305555555555
263,beesemer,51.39333333333333,-113.47194444444445
264,belaga,2.636111111111111,113.76055555555556
265,belden,35.87778,-78.7875
266,belenmunicipal,26.740583333333333,-81.42827777777778
267,belfastinternationalairport,54.6575,-6.215833333333333
268,belize city municipal,17.5175,-88.19583333333334
269,belleglade,45.86083333333333,1.1802777777777778
270,bellingham,48.7925,-122.5375
271,bellingham international,48.7925,-122.5375
272,beloit,42.49777777777778,-88.9675
273,beluga,61.17305555555555,-151.04527777777778
274,bembridge,50.67805555555555,-1.1094444444444445
275,bemidji regional,47.51083,-94.93472
276,bendmunicipal,44.09444444444445,-121.2
277,bendmunicipalairport,44.09444444444445,-121.2
278,benjamin rivera noriega,18.313333333333333,-65.30444444444444
279,bennett,38.4125,-75.61667
280,bennetts,38.4125,-75.61667
281,bensbach,-8.856333333333334,141.256
282,bentcounty,44.09444444444445,-121.2
283,bentoncounty,36.00388888888889,-88.12944444444443
284,bergen flesland,60.29361111111111,5.218055555555556
285,berkeleycounty,33.18556,-80.03611
286,berkley,41.83905555555556,-71.02647222222222
287,berlin regional,44.57527777777778,-71.17583333333334
288,bermuda dunes,33.748333333333335,-116.27472222222222
289,bermudadunes,33.748333333333335,-116.27472222222222
290,bermudadunesairport,33.748333333333335,-116.27472222222222
