,0
ntsb_accidents,0
ntsb_incidents,0
faa_incidents,0
faa_ntsb_overlap,12758
ntsb_faa_incidents_total,12758
ntsb_faa_incidents_total_nodups,12758
state,13371
region,13371
ddso_service_area,13371
class,13371
tower_operations,14251
airport_operations,14251
total_operations,18220
faa_ntsb_overlap,12758
aircarrier_ifr_itnr,13371
aircarrier_ifr_ovrflt,13371
aircarrier_vfr_itnr,13532
aircarrier_vfr_ovrflt,13730
airtaxi_ifr_itnr,13371
airtaxi_ifr_ovrflt,13371
airtaxi_vfr_itnr,13371
airtaxi_vfr_ovrflt,13371
genaviation_ifr_itnr,13371
genaviation_ifr_ovrflt,13371
military_local,14251
civil_local,14251
total_local,14251
genaviation_vfr_itnr,13371
genaviation_vfr_ovrflt,13371
military_ifr_itnr,13371
military_ifr_ovrflt,13532
military_vfr_itnr,13371
military_vfr_ovrflt,13371
total_ifr_itnr,13371
total_ifr_ovrflt,13371
total_vfr_itnr,13371
total_vfr_ovrflt,13371
narr_avg_wc_1m,68
narr_avg_wc_3m,154
narr_avg_wc_6m,303
narr_avg_wc_12m,603
narr_wc_1m,68
narr_wc_3m,154
narr_wc_6m,303
narr_wc_12m,603
narr_wc_all_1m,68
narr_wc_all_3m,154
narr_wc_all_6m,303
narr_wc_all_12m,603
narr_wc_out_1m,68
narr_wc_out_3m,154
narr_wc_out_6m,303
narr_wc_out_12m,603
narr_wc_prop_1m,68
narr_wc_prop_3m,154
narr_wc_prop_6m,303
narr_wc_prop_12m,603
syn_avg_wc_1m,68
syn_avg_wc_3m,154
syn_avg_wc_6m,303
syn_avg_wc_12m,603
syn_wc_1m,68
syn_wc_3m,154
syn_wc_6m,303
syn_wc_12m,603
syn_wc_all_1m,68
syn_wc_all_3m,154
syn_wc_all_6m,303
syn_wc_all_12m,603
syn_wc_out_1m,68
syn_wc_out_3m,154
syn_wc_out_6m,303
syn_wc_out_12m,603
syn_wc_prop_1m,68
syn_wc_prop_3m,154
syn_wc_prop_6m,303
syn_wc_prop_12m,603
call_avg_wc_1m,68
call_avg_wc_3m,154
call_avg_wc_6m,303
call_avg_wc_12m,603
call_wc_1m,68
call_wc_3m,154
call_wc_6m,303
call_wc_12m,603
call_wc_all_1m,68
call_wc_all_3m,154
call_wc_all_6m,303
call_wc_all_12m,603
call_wc_out_1m,68
call_wc_out_3m,154
call_wc_out_6m,303
call_wc_out_12m,603
call_wc_prop_1m,12722
call_wc_prop_3m,12722
call_wc_prop_6m,12722
call_wc_prop_12m,12722
narrsyn_avg_wc_1m,68
narrsyn_avg_wc_3m,154
narrsyn_avg_wc_6m,303
narrsyn_avg_wc_12m,603
narrsyn_wc_1m,68
narrsyn_wc_3m,154
narrsyn_wc_6m,303
narrsyn_wc_12m,603
narrsyn_wc_all_1m,68
narrsyn_wc_all_3m,154
narrsyn_wc_all_6m,303
narrsyn_wc_all_12m,603
narrsyn_wc_out_1m,68
narrsyn_wc_out_3m,154
narrsyn_wc_out_6m,303
narrsyn_wc_out_12m,603
narrsyn_wc_prop_1m,68
narrsyn_wc_prop_3m,154
narrsyn_wc_prop_6m,303
narrsyn_wc_prop_12m,603
all_avg_wc_1m,68
all_avg_wc_3m,154
all_avg_wc_6m,303
all_avg_wc_12m,603
all_wc_1m,68
all_wc_3m,154
all_wc_6m,303
all_wc_12m,603
all_wc_all_1m,68
all_wc_all_3m,154
all_wc_all_6m,303
all_wc_all_12m,603
all_wc_out_1m,68
all_wc_out_3m,154
all_wc_out_6m,303
all_wc_out_12m,603
all_wc_prop_1m,68
all_wc_prop_3m,154
all_wc_prop_6m,303
all_wc_prop_12m,603
trcn_flfrm_narr_1m,10674
trcn_flfrm_ct_narr_1m,10674
trcn_flfrm_vol_narr_1m,10674
trcn_invout_flfrm_narr_1m,6327
trcn_invout_flfrm_ct_narr_1m,6327
trcn_out_flfrm_narr_1m,50
trcn_out_flfrm_ct_narr_1m,50
trcn_out_flfrm_vol_narr_1m,50
trcn_invall_flfrm_narr_1m,6327
trcn_invall_flfrm_ct_narr_1m,6327
trcn_all_flfrm_narr_1m,50
trcn_all_flfrm_ct_narr_1m,50
trcn_all_flfrm_vol_narr_1m,50
trcn_narr_1m,10674
trcn_ct_narr_1m,10674
trcn_vol_narr_1m,10674
trcn_invout_narr_1m,6327
trcn_invout_ct_narr_1m,6327
trcn_out_narr_1m,50
trcn_out_ct_narr_1m,50
trcn_out_vol_narr_1m,50
trcn_invall_narr_1m,6327
trcn_invall_ct_narr_1m,6327
trcn_all_narr_1m,50
trcn_all_ct_narr_1m,50
trcn_all_vol_narr_1m,50
trcn_flfrm_narr_3m,4860
trcn_flfrm_ct_narr_3m,4860
trcn_flfrm_vol_narr_3m,4860
trcn_invout_flfrm_narr_3m,2250
trcn_invout_flfrm_ct_narr_3m,2250
trcn_out_flfrm_narr_3m,150
trcn_out_flfrm_ct_narr_3m,150
trcn_out_flfrm_vol_narr_3m,150
trcn_invall_flfrm_narr_3m,2250
trcn_invall_flfrm_ct_narr_3m,2250
trcn_all_flfrm_narr_3m,150
trcn_all_flfrm_ct_narr_3m,150
trcn_all_flfrm_vol_narr_3m,150
trcn_narr_3m,4860
