,airport_code,airport_name,year,month,ntsb_accidents,ntsb_incidents,faa_incidents,dataset,tracon_month,pos_nonword_ct,pos_nonword_unique_ct,casa_ct,casa_unique_ct,faa_ct,faa_unique_ct,iata_iaco_ct,iata_iaco_unique_ct,nasa_ct,nasa_unique_ct,hand_ct,hand_unique_ct,tracon,Achieve_count,Adj_count,Adverb_count,Affect_count,Affiliation_count,Anger_count,Anx_count,Article_count,Assent_count,Auxverb_count,Bio_count,Body_count,Cause_count,Certain_count,CogProc_count,Compare_count,Conj_count,Death_count,Differ_count,Discrep_count,Drives_count,Family_count,Feel_count,Female_count,Filler_count,FocusFuture_count,FocusPast_count,FocusPresent_count,Friend_count,Function_count,Health_count,Hear_count,Home_count,I_count,Informal_count,Ingest_count,Insight_count,Interrog_count,Ipron_count,Leisure_count,Male_count,Money_count,Motion_count,Negate_count,Negemo_count,Netspeak_count,Nonflu_count,Number_count,Percept_count,Posemo_count,Power_count,Ppron_count,Prep_count,Pronoun_count,Quant_count,Relativ_count,Relig_count,Reward_count,Risk_count,Sad_count,See_count,Sexual_count,SheHe_count,Social_count,Space_count,Swear_count,Tentat_count,They_count,Time_count,Verb_count,We_count,Work_count,You_count,d2v_cos_sim
0,ABE,Lehigh Valley International Airport,1988,3,1.0,0.0,0.0,ntsb,ABE 1988/3,7,5,14,6,2,2,10,6,9,3,0,0,ABE,12,5,7,1,12,0,0,3,0,16,0,0,0,0,14,2,4,0,0,6,0,17,1,0,0,0,10,3,1,35,0,1,0,17,0,0,8,1,1,1,0,0,10,8,0,0,0,2,5,0,0,20,4,24,0,8,0,0,0,0,1,0,0,5,2,0,3,3,5,13,1,2,12,
1,ABE,Lehigh Valley International Airport,1995,5,1.0,0.0,0.0,ntsb,ABE 1995/5,4,3,4,3,1,1,3,2,1,1,0,0,ABE,1,8,5,1,0,0,1,1,0,4,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,5,5,0,11,0,0,0,4,0,0,3,0,0,0,0,0,2,2,0,0,0,1,1,0,0,5,2,8,0,6,0,0,0,0,0,0,0,1,4,0,0,0,3,4,4,2,0,
2,ABE,Lehigh Valley International Airport,1996,5,1.0,0.0,0.0,ntsb,ABE 1996/5,132,26,66,14,26,10,42,14,60,12,54,9,ABE,22,76,56,10,36,4,10,22,0,170,0,0,10,0,42,32,26,0,4,6,14,32,2,0,2,10,30,68,0,290,0,4,0,64,0,0,32,4,2,2,2,4,76,50,8,2,2,4,26,12,12,86,66,156,6,90,0,10,6,0,6,0,2,18,64,6,22,2,70,72,38,12,20,0.7365206877390543
3,ABE,Lehigh Valley International Airport,2003,4,1.0,0.0,0.0,ntsb,ABE 2003/4,21,12,20,11,9,4,9,6,5,5,3,3,ABE,0,16,11,0,1,0,0,11,0,28,0,0,3,0,7,5,8,0,0,1,1,7,1,1,0,3,7,12,0,55,0,0,0,21,3,0,5,1,1,0,0,0,5,8,1,3,0,2,3,1,0,32,20,47,0,10,0,1,1,0,1,0,0,4,8,0,0,2,2,11,18,4,0,
4,ABI,Abilene Regional Airport,1990,11,1.0,0.0,0.0,ntsb,ABI 1990/11,37,18,14,10,7,5,26,11,11,8,7,5,ABI,0,19,16,2,4,0,0,5,0,27,0,0,2,1,15,4,4,0,1,0,0,11,0,0,0,5,12,13,0,67,0,2,0,21,0,0,8,2,0,2,0,0,14,18,0,0,0,1,4,0,3,26,14,35,0,16,0,0,1,0,2,0,0,6,10,0,1,10,11,18,11,6,0,
5,ABI,Abilene Regional Airport,1998,5,1.0,0.0,0.0,ntsb,ABI 1998/5,16,5,18,6,6,2,14,4,6,2,0,0,ABI,0,8,4,0,8,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,6,4,0,24,0,0,0,10,0,0,2,0,4,2,0,0,8,6,0,0,0,0,2,0,6,10,6,18,0,2,0,2,0,0,0,0,0,6,4,0,4,0,4,8,6,2,0,0.9053854942321776
6,ABQ,Albuquerque International Sunport,1988,1,1.0,0.0,0.0,ntsb,ABQ 1988/1,38,19,17,8,13,7,10,5,22,12,18,10,ABQ,0,20,17,8,4,0,0,7,2,35,0,0,1,0,6,5,7,0,1,2,0,1,1,0,0,1,10,17,0,57,0,1,0,8,0,0,13,2,0,1,0,0,18,15,1,0,0,1,7,0,1,15,23,52,1,23,0,1,1,0,2,0,0,1,16,2,7,1,14,16,7,7,0,
7,ABQ,Albuquerque International Sunport,1988,10,3.0,0.0,0.0,ntsb,ABQ 1988/10,52,22,34,18,17,11,29,14,32,12,25,7,ABQ,26,27,21,4,28,0,0,5,0,61,0,2,0,0,7,12,9,0,3,3,1,24,0,2,0,4,14,18,0,90,0,0,0,23,0,0,22,1,0,1,0,0,35,28,2,0,0,5,12,2,2,28,25,82,0,46,1,1,1,0,0,0,0,7,16,0,8,0,29,32,1,12,22,
8,ABQ,Albuquerque International Sunport,1989,1,1.0,0.0,0.0,ntsb,ABQ 1989/1,46,20,14,7,12,6,18,9,24,9,18,7,ABQ,12,20,14,4,14,0,0,6,0,56,2,4,0,0,18,2,4,0,8,0,0,20,4,0,0,10,16,12,0,96,2,0,2,26,0,0,2,0,0,0,0,0,32,14,0,0,0,0,4,0,0,32,18,40,4,26,0,2,0,0,4,0,2,8,22,0,4,6,16,24,6,6,12,0.8344085216522217
9,ABQ,Albuquerque International Sunport,1992,1,1.0,0.0,0.0,ntsb,ABQ 1992/1,64,29,48,21,17,9,31,15,46,21,21,10,ABQ,9,65,47,18,21,0,4,23,4,122,2,4,4,0,21,24,29,0,2,4,14,15,6,0,0,11,26,42,0,209,0,4,0,36,0,0,29,9,4,0,1,1,55,44,4,2,2,7,20,5,15,59,104,185,3,71,0,9,1,0,9,0,0,10,48,8,15,3,51,43,21,10,8,0.4613786339759826
10,ABQ,Albuquerque International Sunport,1992,10,2.0,0.0,0.0,ntsb,ABQ 1992/10,44,23,23,13,10,6,22,11,22,14,11,6,ABQ,12,42,34,3,18,0,1,14,1,66,0,0,2,1,24,8,18,0,3,4,5,17,0,0,0,10,13,40,0,137,0,2,0,27,2,0,14,1,1,2,0,0,33,32,2,2,0,5,10,3,5,41,44,94,2,28,0,1,2,0,1,0,0,5,23,1,8,7,23,33,7,15,12,0.6713924407958984
11,ABQ,Albuquerque International Sunport,1993,10,2.0,0.0,0.0,ntsb,ABQ 1993/10,20,11,5,4,0,0,12,6,16,11,6,3,ABQ,6,14,10,5,8,0,0,3,1,24,0,0,0,0,1,6,5,0,0,2,2,7,0,1,0,7,0,5,0,38,0,0,0,7,0,0,6,3,1,0,0,0,7,11,0,1,0,2,2,0,2,10,11,30,1,13,0,0,0,0,0,0,0,1,8,2,4,0,11,5,0,4,6,
