,airport_code,year,month,ntsb_incidents,ntsb_accidents,faa_incidents,faa_ntsb_overlap,NTSB_FAA_incidents_total,NTSB_FAA_incidents_total_nodups,ATADS_Tracon_Tower,Airport Operations,Class,DDSO Service Area,Date,Facility,IFR Itinerant	Air Carrier,IFR Itinerant	Air Taxi,IFR Itinerant	General Aviation,IFR Itinerant	Military,IFR Itinerant	Total,IFR Overflight	Air Carrier,IFR Overflight	Air Taxi,IFR Overflight	General Aviation,IFR Overflight	Military,IFR Overflight	Total,Local	Civil,Local	Military,Local	Total,Region,State,Total Operations,Tower Operations,VFR Itinerant	Air Carrier,VFR Itinerant	Air Taxi,VFR Itinerant	General Aviation,VFR Itinerant	Military,VFR Itinerant	Total,VFR Overflight	Air Carrier,VFR Overflight	Air Taxi,VFR Overflight	General Aviation,VFR Overflight	Military,VFR Overflight	Total
0,ATL,1988,1,0.0,0.0,1.0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ATL,1988,3,1.0,0.0,4.0,1,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ATL,1988,4,1.0,0.0,0.0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ATL,1988,5,0.0,2.0,0.0,0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ATL,1988,6,0.0,0.0,2.0,0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ATL,1988,8,3.0,0.0,3.0,3,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ATL,1988,10,0.0,0.0,2.0,0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ATL,1988,11,0.0,0.0,1.0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ATL,1988,12,1.0,0.0,2.0,1,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ATL,1989,1,0.0,0.0,2.0,0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ATL,1989,6,0.0,1.0,0.0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ATL,1989,8,0.0,1.0,0.0,0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ATL,1989,9,0.0,0.0,5.0,0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ATL,1989,10,0.0,0.0,3.0,0,3.0,3.0,Tower,65572.0,Towers with Radar,ES,10/1989,ATL ,46660.0,14057.0,2048.0,100.0,62865.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,78.0,ASO,GA,,65572.0,1795.0,500.0,304.0,30.0,2629.0,0.0,0.0,0.0,0.0,0.0
14,ATL,1989,11,1.0,1.0,1.0,1,3.0,2.0,Tower,62032.0,Towers with Radar,ES,11/1989,ATL ,44747.0,13004.0,1771.0,87.0,59609.0,0.0,0.0,0.0,0.0,0.0,91.0,4.0,95.0,ASO,GA,,62032.0,1472.0,579.0,257.0,20.0,2328.0,0.0,0.0,0.0,0.0,0.0
15,ATL,1989,12,0.0,0.0,3.0,0,3.0,3.0,Tower,62297.0,Towers with Radar,ES,12/1989,ATL ,44763.0,13227.0,1287.0,90.0,59367.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,63.0,ASO,GA,,62297.0,2048.0,578.0,203.0,38.0,2867.0,0.0,0.0,0.0,0.0,0.0
16,ATL,1990,1,0.0,2.0,6.0,0,8.0,8.0,Tower,64314.0,Towers with Radar,ES,01/1990,ATL ,46482.0,14719.0,1650.0,100.0,62951.0,0.0,42.0,1719.0,78.0,1839.0,154.0,0.0,154.0,ASO,GA,,66894.0,836.0,373.0,0.0,0.0,1209.0,0.0,12.0,694.0,35.0,741.0
17,ATL,1990,2,0.0,0.0,2.0,0,2.0,2.0,Tracon,,Towers with Radar,ES,02/1990,ATL ,43325.0,14119.0,12377.0,1787.0,71608.0,0.0,48.0,1720.0,116.0,1884.0,,,,ASO,GA,73805.0,,0.0,11.0,33.0,4.0,48.0,0.0,8.0,239.0,18.0,265.0
18,ATL,1990,3,1.0,0.0,5.0,1,6.0,5.0,Tracon,,Towers with Radar,ES,03/1990,ATL ,49264.0,15885.0,13085.0,2058.0,80292.0,0.0,42.0,1904.0,163.0,2109.0,,,,ASO,GA,83673.0,,4.0,53.0,279.0,35.0,371.0,0.0,23.0,790.0,88.0,901.0
19,ATL,1990,5,1.0,0.0,2.0,0,3.0,3.0,Tracon,,Towers with Radar,ES,05/1990,ATL ,48466.0,16246.0,14635.0,1635.0,80982.0,0.0,42.0,2158.0,176.0,2376.0,,,,ASO,GA,84158.0,,2.0,34.0,94.0,14.0,144.0,0.0,7.0,598.0,51.0,656.0
20,ATL,1990,6,2.0,0.0,2.0,2,4.0,2.0,Tracon,,Towers with Radar,ES,06/1990,ATL ,48146.0,15879.0,13702.0,1625.0,79352.0,0.0,19.0,2049.0,148.0,2216.0,,,,ASO,GA,81831.0,,1.0,24.0,42.0,6.0,73.0,0.0,2.0,168.0,20.0,190.0
21,ATL,1990,8,0.0,0.0,3.0,0,3.0,3.0,Tracon,,Towers with Radar,ES,08/1990,ATL ,50038.0,16948.0,15429.0,1527.0,83942.0,0.0,0.0,1292.0,89.0,1381.0,,,,ASO,GA,85805.0,,1.0,34.0,95.0,11.0,141.0,0.0,3.0,308.0,30.0,341.0
22,ATL,1990,9,0.0,0.0,2.0,0,2.0,2.0,Tracon,,Towers with Radar,ES,09/1990,ATL ,48880.0,15691.0,13403.0,1482.0,79456.0,0.0,3.0,1292.0,42.0,1337.0,,,,ASO,GA,81323.0,,0.0,55.0,69.0,15.0,139.0,0.0,4.0,368.0,19.0,391.0
23,ATL,1990,10,0.0,0.0,2.0,0,2.0,2.0,Tracon,,Towers with Radar,ES,10/1990,ATL ,51065.0,16904.0,14338.0,1708.0,84015.0,0.0,0.0,1163.0,70.0,1233.0,,,,ASO,GA,85775.0,,3.0,63.0,75.0,20.0,161.0,0.0,11.0,332.0,23.0,366.0
24,ATL,1990,11,0.0,0.0,3.0,0,3.0,3.0,Tracon,,Towers with Radar,ES,11/1990,ATL ,48494.0,14857.0,13006.0,1730.0,78087.0,0.0,37.0,1220.0,53.0,1310.0,,,,ASO,GA,80200.0,,2.0,31.0,142.0,6.0,181.0,0.0,8.0,558.0,56.0,622.0
25,ATL,1990,12,0.0,0.0,1.0,0,1.0,1.0,Tracon,,Towers with Radar,ES,12/1990,ATL ,49091.0,14435.0,10469.0,1342.0,75337.0,0.0,2.0,688.0,18.0,708.0,,,,ASO,GA,76554.0,,3.0,60.0,96.0,8.0,167.0,0.0,4.0,316.0,22.0,342.0
26,ATL,1991,1,0.0,0.0,1.0,0,1.0,1.0,Tracon,,Towers with Radar,ES,01/1991,ATL ,42871.0,13628.0,12393.0,1430.0,70322.0,0.0,25.0,756.0,49.0,830.0,,,,ASO,GA,71152.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,ATL,1991,3,0.0,0.0,2.0,0,2.0,2.0,Tracon,,Towers with Radar,ES,03/1991,ATL ,32185.0,11358.0,12402.0,1752.0,57697.0,0.0,20.0,1214.0,65.0,1299.0,,,,ASO,GA,58996.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,ATL,1991,4,0.0,0.0,2.0,0,2.0,2.0,Tracon,,Towers with Radar,ES,04/1991,ATL ,32206.0,11911.0,12706.0,1665.0,58488.0,0.0,22.0,1203.0,77.0,1302.0,,,,ASO,GA,59790.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,ATL,1991,5,0.0,1.0,0.0,0,1.0,1.0,Tracon,,Towers with Radar,ES,05/1991,ATL ,34440.0,12909.0,14993.0,1925.0,64267.0,0.0,22.0,1404.0,78.0,1504.0,,,,ASO,GA,65771.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,ATL,1991,7,0.0,0.0,1.0,0,1.0,1.0,Tracon,,Towers with Radar,ES,07/1991,ATL ,36040.0,13009.0,13640.0,1714.0,64403.0,0.0,20.0,1728.0,118.0,1866.0,,,,ASO,GA,66269.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,ATL,1991,11,1.0,0.0,2.0,1,3.0,2.0,Tracon,,Towers with Radar,ES,11/1991,ATL ,34464.0,12088.0,12948.0,2016.0,61516.0,0.0,42.0,2028.0,132.0,2202.0,,,,ASO,GA,63718.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,ATL,1992,1,0.0,0.0,1.0,0,1.0,1.0,Tracon,,Towers with Radar,ES,01/1992,ATL ,36344.0,12337.0,12300.0,1764.0,62745.0,0.0,24.0,1698.0,83.0,1805.0,,,,ASO,GA,64550.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,ATL,1992,6,1.0,0.0,1.0,1,2.0,1.0,Tracon,,Towers with Radar,ES,06/1992,ATL ,37338.0,12501.0,13327.0,2066.0,65232.0,0.0,43.0,2119.0,287.0,2449.0,,,,ASO,GA,67681.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ATL,1992,7,0.0,0.0,1.0,0,1.0,1.0,Tracon,,Towers with Radar,ES,07/1992,ATL ,38475.0,12939.0,13331.0,1741.0,66486.0,0.0,68.0,2458.0,162.0,2688.0,,,,ASO,GA,69174.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,ATL,1992,10,0.0,1.0,2.0,0,3.0,3.0,Tracon,,Towers with Radar,ES,10/1992,ATL ,38824.0,13783.0,14039.0,1717.0,68363.0,0.0,35.0,3185.0,161.0,3381.0,,,,ASO,GA,71744.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,ATL,1992,11,0.0,1.0,1.0,0,2.0,2.0,Tracon,,Towers with Radar,ES,11/1992,ATL ,37074.0,12603.0,11645.0,1324.0,62646.0,0.0,18.0,2427.0,86.0,2531.0,,,,ASO,GA,65177.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,ATL,1993,2,0.0,0.0,1.0,0,1.0,1.0,Tracon,,Towers with Radar,ES,02/1993,ATL ,35675.0,12655.0,11263.0,1502.0,61095.0,0.0,19.0,2000.0,136.0,2155.0,,,,ASO,GA,63250.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ATL,1993,3,0.0,0.0,1.0,0,1.0,1.0,Tracon,,Towers with Radar,ES,03/1993,ATL ,38123.0,13673.0,12012.0,1545.0,65353.0,0.0,21.0,2174.0,149.0,2344.0,,,,ASO,GA,67697.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,ATL,1993,5,0.0,0.0,1.0,0,1.0,1.0,Tracon,,Towers with Radar,ES,05/1993,ATL ,40202.0,13943.0,12692.0,1473.0,68310.0,0.0,20.0,3126.0,201.0,3347.0,,,,ASO,GA,71657.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,ATL,1993,7,0.0,0.0,1.0,0,1.0,1.0,Tracon,,Towers with Radar,ES,07/1993,ATL ,41940.0,14096.0,11813.0,1415.0,69264.0,0.0,20.0,3380.0,197.0,3597.0,,,,ASO,GA,72861.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,ATL,1993,9,0.0,0.0,1.0,0,1.0,1.0,Tracon,,Towers with Radar,ES,09/1993,ATL ,41186.0,14273.0,14138.0,1537.0,71134.0,0.0,16.0,2955.0,188.0,3159.0,,,,ASO,GA,74293.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,ATL,1993,11,0.0,0.0,1.0,0,1.0,1.0,Tracon,,Towers with Radar,ES,11/1993,ATL ,40592.0,12817.0,12679.0,1435.0,67523.0,0.0,13.0,3193.0,168.0,3374.0,,,,ASO,GA,70897.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,ATL,1993,12,0.0,0.0,2.0,0,2.0,2.0,Tracon,,Towers with Radar,ES,12/1993,ATL ,43123.0,13643.0,11033.0,1068.0,68867.0,0.0,15.0,2319.0,154.0,2488.0,,,,ASO,GA,71355.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,ATL,1994,1,0.0,0.0,1.0,0,1.0,1.0,Tower,57910.0,Towers with Radar,ES,01/1994,ATL ,41786.0,12092.0,1647.0,111.0,55636.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,ASO,GA,,57910.0,1517.0,429.0,292.0,35.0,2273.0,0.0,0.0,0.0,0.0,0.0
45,ATL,1994,3,0.0,0.0,1.0,0,1.0,1.0,Tower,61080.0,Towers with Radar,ES,03/1994,ATL ,44051.0,12844.0,1921.0,180.0,58996.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,ASO,GA,,61080.0,1229.0,509.0,296.0,36.0,2070.0,0.0,0.0,0.0,0.0,0.0
46,ATL,1994,5,0.0,0.0,1.0,0,1.0,1.0,Tower,60580.0,Towers with Radar,ES,05/1994,ATL ,43796.0,12987.0,1702.0,179.0,58664.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,ASO,GA,,60580.0,1302.0,350.0,191.0,69.0,1912.0,0.0,0.0,0.0,0.0,0.0
47,ATL,1994,6,0.0,0.0,1.0,0,1.0,1.0,Tower,58212.0,Towers with Radar,ES,06/1994,ATL ,41323.0,12810.0,1834.0,165.0,56132.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,ASO,GA,,58212.0,1360.0,435.0,237.0,32.0,2064.0,0.0,0.0,0.0,0.0,0.0
48,ATL,1994,7,0.0,0.0,1.0,0,1.0,1.0,Tower,59730.0,Towers with Radar,ES,07/1994,ATL ,43323.0,12568.0,1540.0,179.0,57610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,59730.0,1424.0,433.0,221.0,42.0,2120.0,0.0,0.0,0.0,0.0,0.0
49,ATL,1994,12,0.0,0.0,1.0,0,1.0,1.0,Tower,61801.0,Towers with Radar,ES,12/1994,ATL ,44902.0,12564.0,1443.0,148.0,59057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,61801.0,1927.0,439.0,329.0,49.0,2744.0,0.0,0.0,0.0,0.0,0.0
