Group,City served,FAA,IATA,ICAO,Airport name,Role,Enpl.
Commercial Service – Primary airports,Alpena,APN,APN,KAPN,Alpena County Regional Airport,P-N,"10,031"
Commercial Service – Primary airports,Detroit,DTW,DTW,KDTW,Detroit Metropolitan Airport,P-L,"16,847,135"
Commercial Service – Primary airports,Escanaba,ESC,ESC,KESC,Delta County Airport,P-N,"16,822"
Commercial Service – Primary airports,Flint,FNT,FNT,KFNT,Bishop International Airport,P-S,"398,508"
Commercial Service – Primary airports,Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport,P-S,"1,334,979"
Commercial Service – Primary airports,Hancock,CMX,CMX,KCMX,Houghton County Memorial Airport,P-N,"25,439"
Commercial Service – Primary airports,Iron Mountain,IMT,IMT,KIMT,Ford Airport,P-N,"12,604"
Commercial Service – Primary airports,Kalamazoo,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,"154,242"
Commercial Service – Primary airports,Lansing,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,"161,863"
Commercial Service – Primary airports,Marquette,SAW,MQT,KSAW,Sawyer International Airport,P-N,"45,462"
Commercial Service – Primary airports,Muskegon,MKG,MKG,KMKG,Muskegon County Airport,P-N,"18,165"
Commercial Service – Primary airports,Pellston,PLN,PLN,KPLN,Pellston Regional Airport,P-N,"25,497"
Commercial Service – Primary airports,Saginaw,MBS,MBS,KMBS,MBS International Airport,P-N,"122,469"
Commercial Service – Primary airports,Sault Ste. Marie,CIU,CIU,KCIU,Chippewa County International Airport,P-N,"20,974"
Commercial Service – Primary airports,Traverse City,TVC,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark),P-N,"223,924 </onlyinclude>"
Commercial Service –Nonprimary airports,Beaver Island (St. James),SJX,,KSJX,Beaver Island Airport,CS,9
Commercial Service –Nonprimary airports,Charlevoix,CVX,,KCVX,Charlevoix Municipal Airport,CS,750
Commercial Service –Nonprimary airports,Ironwood,IWD,IWD,KIWD,Gogebic-Iron County Airport,CS,"5,069"
Commercial Service –Nonprimary airports,Detroit/Pontiac,PTK,PTK,KPTK,Oakland County International Airport,CS,"3,409"
Other airportswith scheduledpassenger service,Manistee,MBL,MBL,KMBL,Manistee County-Blacker Airport,GA,"4,243"
Reliever airports,Detroit / Grosse Ile,ONZ,,KONZ,Grosse Ile Municipal Airport,R,0
Reliever airports,Detroit / Ypsilanti,YIP,YIP,KYIP,Willow Run Airport,R,"4,093"
Reliever airports,Howell,OZW,,KOZW,Livingston County Spencer J. Hardy Airport,R,2
Reliever airports,New Hudson,Y47,,,Oakland Southwest Airport (Oakland/Southwest Airport),R,0
Reliever airports,Plymouth / Canton,1D2,,,Canton-Plymouth-Mettetal Airport (Canton-Plymouth Mettetal Airport),R,0
Reliever airports,Port Huron,PHN,PHN,KPHN,St. Clair County International Airport,R,9
Reliever airports,Romeo,D98,,,Romeo State Airport,R,0
Reliever airports,Troy,VLL,,KVLL,Oakland/Troy Airport,R,853
General Aviation airports,Adrian,ADG,ADG,KADG,Lenawee County Airport,GA,0
General Aviation airports,Allegan,35D,,,Padgham Field,GA,12
General Aviation airports,Alma,AMN,AMN,KAMN,Gratiot Community Airport,GA,0
General Aviation airports,Ann Arbor,ARB,ARB,KARB,Ann Arbor Municipal Airport,GA,16
General Aviation airports,Atlanta,Y93,,,Atlanta Municipal Airport,GA,0
General Aviation airports,Bad Axe,BAX,,KBAX,Huron County Memorial Airport,GA,0
General Aviation airports,Battle Creek,BTL,BTL,KBTL,W. K. Kellogg Airport (W. K. Kellogg Regional),GA,1
General Aviation airports,Bay City,3CM,,,James Clements Municipal Airport & SPB,GA,0
General Aviation airports,Bellaire,ACB,ACB,KACB,Antrim County Airport,GA,6
General Aviation airports,Benton Harbor,BEH,BEH,KBEH,Southwest Michigan Regional Airport,GA,6
General Aviation airports,Big Rapids,RQB,WBR,KRQB,Roben-Hood Airport,GA,0
General Aviation airports,Bois Blanc Island,6Y1,,,Bois Blanc Island Airport (Bois Blanc Airport),GA,0
General Aviation airports,Cadillac,CAD,CAD,KCAD,Wexford County Airport,GA,0
General Aviation airports,Caro,CFS,,KCFS,Tuscola Area Airport,GA,3
General Aviation airports,Charlotte,FPK,,KFPK,Fitch H. Beach Airport,GA,0
General Aviation airports,Cheboygan,SLH,,KSLH,Cheboygan County Airport,GA,0
General Aviation airports,Clare,48D,,,Clare Municipal Airport,GA,0
General Aviation airports,Coldwater,OEB,,KOEB,Branch County Memorial Airport,GA,0
General Aviation airports,Detroit,DET,DET,KDET,Coleman A. Young Municipal Airport  (was Detroit City),GA,557[1][2][3]
General Aviation airports,Dowagiac,C91,,,Dowagiac Municipal Airport,GA,0
General Aviation airports,Drummond Island,DRM,DRE,KDRM,Drummond Island Airport,GA,0
General Aviation airports,Evart,9C8,,,Evart Municipal Airport,GA,0
General Aviation airports,Frankfort,FKS,,KFKS,Frankfort Dow Memorial Field,GA,1
General Aviation airports,Fremont,FFX,,KFFX,Fremont Municipal Airport,GA,0
General Aviation airports,Gaylord,GLR,GLR,KGLR,Gaylord Regional Airport (Otsego County Airport),GA,975
General Aviation airports,Gladwin,GDW,GDW,KGDW,Gladwin Zettel Memorial Airport,GA,0
General Aviation airports,Grand Haven,3GM,,,Grand Haven Memorial Airpark,GA,14
General Aviation airports,Grand Ledge,4D0,,,Abrams Municipal Airport,GA,4
General Aviation airports,Grayling,GOV,,KGOV,Grayling Army Airfield,GA,0
General Aviation airports,Greenville,6D6,,,Greenville Municipal Airport,GA,0
General Aviation airports,Harbor Springs,MGN,,KMGN,Harbor Springs Airport (Harbor Springs Municipal),GA,"8,014"
General Aviation airports,Hart / Shelby,C04,,,Oceana County Airport,GA,0
General Aviation airports,Hastings,9D9,,,Hastings Airport (was Hastings City/Barry County),GA,0
General Aviation airports,Hillsdale,JYM,,KJYM,Hillsdale Municipal Airport,GA,0
General Aviation airports,Holland,BIV,,KBIV,West Michigan Regional Airport (was Tulip City Airport),GA,766
General Aviation airports,Houghton Lake,HTL,HTL,KHTL,Roscommon County - Blodgett Memorial Airport,GA,0
General Aviation airports,Ionia,Y70,,,Ionia County Airport,GA,0
General Aviation airports,Jackson,JXN,JXN,KJXN,Jackson County Airport (Reynolds Field),GA,4
General Aviation airports,Lakeview,13C,,,Lakeview Airport (Griffith Field),GA,0
General Aviation airports,Lambertville,DUH,,KDUH,Toledo Suburban Airport,GA,2
General Aviation airports,Lapeer,D95,,,Dupont-Lapeer Airport,GA,0
General Aviation airports,Ludington,LDM,LDM,KLDM,Mason County Airport,GA,5
General Aviation airports,Mackinac Island,MCD,MCD,KMCD,Mackinac Island Airport,GA,"2,549"
General Aviation airports,Manistique,ISQ,ISQ,KISQ,Schoolcraft County Airport,GA,3
General Aviation airports,Marlette,77G,,,Marlette Airport (Marlette Township Airport),GA,0
General Aviation airports,Marshall,RMY,,KRMY,Brooks Field,GA,2
General Aviation airports,Mason,TEW,,KTEW,Mason Jewett Field,GA,4
General Aviation airports,Menominee,MNM,MNM,KMNM,Menominee–Marinette Twin County Airport,GA,0
General Aviation airports,Midland,IKW,,KIKW,Jack Barstow Airport (Jack Barstow Municipal),GA,0
General Aviation airports,Mio,51M,,,Oscoda County Dennis Kauffman Memorial Airport,GA,0
General Aviation airports,Monroe,TTF,,KTTF,Custer Airport (Monroe Custer Airport),GA,0
General Aviation airports,Mount Pleasant,MOP,MOP,KMOP,Mount Pleasant Municipal Airport,GA,8
General Aviation airports,Newberry,ERY,,KERY,Luce County Airport,GA,0
General Aviation airports,Niles,3TR,NLE,,Jerry Tyler Memorial Airport,GA,0
General Aviation airports,Ontonagon,OGM,,KOGM,Ontonagon County Airport (Schuster Field),GA,0
General Aviation airports,Oscoda,OSC,OSC,KOSC,Oscoda-Wurtsmith Airport,GA,4
General Aviation airports,Owosso,RNP,,KRNP,Owosso Community Airport,GA,0
General Aviation airports,Rogers City,PZQ,,KPZQ,Presque Isle County Airport,GA,0
General Aviation airports,Saginaw,HYX,,KHYX,Saginaw County H.W. Browne Airport,GA,0
General Aviation airports,Sandusky,Y83,,,Sandusky City Airport,GA,0
General Aviation airports,South Haven,LWA,,KLWA,South Haven Area Regional Airport,GA,25
General Aviation airports,Sparta,8D4,,,Paul C. Miller - Sparta Airport,GA,10
General Aviation airports,St. Ignace,83D,,,Mackinac County Airport,GA,30
General Aviation airports,Sturgis,IRS,IRS,KIRS,Kirsch Municipal Airport,GA,0
