City,FAA,IATA,ICAO,Airport,Role,Enplanements
ALABAMA,,,,,,
Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport,P-S,"1,304,467"
Dothan,DHN,DHN,KDHN,Dothan Regional Airport,P-N,"49,411"
Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,"527,801"
Mobile,MOB,MOB,KMOB,Mobile Regional Airport,P-N,"288,209"
Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,"173,210"
ALASKA,,,,,,
Anchorage,LHD,,PALH,Lake Hood Seaplane Base (also see Lake Hood Airstrip),P-N,"23,382"
Anchorage,MRI,MRI,PAMR,Merrill Field,P-N,"19,144"
Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,"2,563,524"
Aniak,ANI,ANI,PANI,Aniak Airport,P-N,"13,688"
Barrow,BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport,P-N,"45,300"
Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,"155,791"
Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,"18,649"
Deadhorse,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,"51,205"
Dillingham,DLG,DLG,PADL,Dillingham Airport,P-N,"33,616"
Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport,P-S,"538,881"
Galena,GAL,GAL,PAGA,Edward G. Pitka Sr. Airport,P-N,"10,532"
Homer,HOM,HOM,PAHO,Homer Airport,P-N,"44,117"
Juneau,JNU,JNU,PAJN,Juneau International Airport,P-N,"420,442"
Kenai,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,"92,485"
Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport,P-N,"127,881"
King Salmon,AKN,AKN,PAKN,King Salmon Airport,P-N,"36,717"
Kodiak,ADQ,ADQ,PADQ,Kodiak Airport,P-N,"79,682"
Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,"64,481"
Nome,OME,OME,PAOM,Nome Airport,P-N,"60,655"
Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,"21,896"
Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,"83,404"
St. Mary's,KSM,KSM,PASM,St. Mary's Airport,P-N,"12,851"
Unalakleet,UNK,UNK,PAUN,Unalakleet Airport,P-N,"16,948"
Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen Airport),P-N,"31,055"
Valdez,VDZ,VDZ,PAVD,Valdez Airport (Pioneer Field),P-N,"12,631"
Wrangell,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,"12,569"
Yakutat,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),P-N,"10,756"
ARIZONA,,,,,,
Bullhead City,IFP,IFP,KIFP,Laughlin/Bullhead International Airport,P-N,"109,334"
Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam Airport,P-N,"64,578"
Grand Canyon,GCN,GCN,KGCN,Grand Canyon National Park Airport,P-N,"319,206"
Mesa,IWA,AZA,KIWA,Phoenix–Mesa Gateway Airport (formerly Williams AFB),P-S,"705,731"
Page,PGA,PGA,KPGA,Page Municipal Airport,P-N,"17,435"
Peach Springs,1G4,GCW,,Grand Canyon West Airport,P-N,"128,739"
Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,"20,896,265"
Tucson,TUS,TUS,KTUS,Tucson International Airport,P-S,"1,594,594"
Yuma,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma,P-N,"74,742"
ARKANSAS,,,,,,
Fayetteville,XNA,XNA,KXNA,Northwest Arkansas Regional Airport,P-S,"673,810"
Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport,P-N,"83,920"
Little Rock,LIT,LIT,KLIT,Clinton National Airport (Adams Field) (was Little Rock National),P-S,"958,824"
Texarkana,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field),P-N,"33,565"
CALIFORNIA,,,,,,
Arcata/Eureka,ACV,ACV,KACV,Arcata Airport,P-N,"69,732"
Bakersfield,BFL,BFL,KBFL,Meadows Field,P-N,"100,433"
Burbank,BUR,BUR,KBUR,Hollywood Burbank Airport (was Bob Hope Airport),P-M,"2,077,892"
Fresno,FAT,FAT,KFAT,Fresno Yosemite International Airport,P-S,"761,298"
Long Beach,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field),P-S,"1,386,357"
Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport,P-L,"39,636,042"
Mammoth Lakes,MMH,MMH,KMMH,Mammoth Yosemite Airport,P-N [nb 1],"21,826"
Monterey,MRY,MRY,KMRY,Monterey Regional Airport (was Monterey Peninsula Airport),P-N,"192,136"
Oakland,OAK,OAK,KOAK,Oakland International Airport,P-M,"5,934,639"
Ontario,ONT,ONT,KONT,Ontario International Airport,P-M,"2,104,625"
Orange County,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport),P-M,"5,217,242"
Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport,P-S,"995,801"
Redding,RDD,RDD,KRDD,Redding Municipal Airport,P-N,"43,414"
Sacramento,SMF,SMF,KSMF,Sacramento International Airport,P-M,"4,969,366"
San Diego,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field),P-L,"10,340,164"
San Francisco,SFO,SFO,KSFO,San Francisco International Airport,P-L,"25,707,101"
San Jose,SJC,SJC,KSJC,Norman Y. Mineta San José International Airport,P-M,"5,321,603"
San Luis Obispo,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),P-N,"162,719"
Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport),P-N,"329,751"
Santa Maria,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),P-N,"40,120"
Santa Rosa,STS,STS,KSTS,Charles M. Schulz–Sonoma County Airport,P-N,"167,151"
Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport,P-N,"93,076"
COLORADO,,,,,,
Aspen,ASE,ASE,KASE,Aspen-Pitkin County Airport (Sardy Field),P-N,"254,392"
Colorado Springs,COS,COS,KCOS,City of Colorado Springs Municipal Airport,P-S,"657,694"
Denver,DEN,DEN,KDEN,Denver International Airport,P-L,"28,267,394"
Durango,DRO,DRO,KDRO,Durango-La Plata County Airport,P-N,"187,789"
Eagle/Vail,EGE,EGE,KEGE,Eagle County Regional Airport,P-N,"163,840"
Grand Junction,GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field),P-N,"218,319"
Gunnison,GUC,GUC,KGUC,Gunnison-Crested Butte Regional Airport,P-N,"30,780"
Hayden,HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional),P-N,"34,979"
Montrose,MTJ,MTJ,KMTJ,Montrose Regional Airport,P-N,"116,272"
CONNECTICUT,,,,,,
Hartford,BDL,BDL,KBDL,Bradley International Airport,P-M,"2,982,194"
New Haven,HVN,HVN,KHVN,Tweed New Haven Regional Airport,P-N,"27,911"
DELAWARE,,,,,,
Wilmington,ILG,ILG,KILG,Wilmington Airport,P-N,"30,355"
Middletown,EVY,,KEVY,Summit Airport,R,12
FLORIDA,,,,,,
Daytona Beach,DAB,DAB,KDAB,Daytona Beach International Airport,P-N,"340,815"
Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport,P-L,"17,950,989"
Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,"5,044,024"
Fort Walton Beach,VPS,VPS,KVPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base,P-S,"813,600"
Gainesville,GNV,GNV,KGNV,Gainesville Regional Airport,P-N,"273,253"
Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport,P-M,"3,479,923"
Key West,EYW,EYW,KEYW,Key West International Airport,P-S,"497,656"
Melbourne,MLB,MLB,KMLB,Orlando Melbourne International Airport,P-N,"241,289"
Miami,MIA,MIA,KMIA,Miami International Airport,P-L,"21,421,031"
Orlando,MCO,MCO,KMCO,Orlando International Airport,P-L,"24,562,271"
Panama City Beach,ECP,ECP,KECP,Northwest Florida Beaches International Airport  [nb 2],P-S,"621,406"
Pensacola,PNS,PNS,KPNS,Pensacola International Airport,P-S,"1,098,889"
Punta Gorda,PGD,PGD,KPGD,Punta Gorda Airport,P-S,"821,557"
Sanford,SFB,SFB,KSFB,Orlando Sanford International Airport,P-S,"1,601,614"
Sarasota,SRQ,SRQ,KSRQ,Sarasota–Bradenton International Airport,P-S,"977,530"
St. Augustine,SGJ,UST,KSGJ,Northeast Florida Regional Airport,P-N,"28,462"
St. Petersburg,PIE,PIE,KPIE,St. Pete–Clearwater International Airport,P-S,"1,143,483"
Tallahassee,TLH,TLH,KTLH,Tallahassee International Airport,P-N,"415,272"
Tampa,TPA,TPA,KTPA,Tampa International Airport,P-L,"10,941,173"
West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport,P-M,"3,100,624"
GEORGIA,,,,,,
Albany,ABY,ABY,KABY,Southwest Georgia Regional Airport,P-N,"34,226"
